"","merge","lng","lat","population"
"1","Acchabal, india","75.21835","33.68409","0"
"2","Ach'igvara, georgia","41.63732","42.68391","0"
"3","Adzvi, georgia","44.18556","42.14278","0"
"4","Aghione, france","9.40048","42.11223","267"
"5","Agua Tibia, guatemala","-91.78333","14.95","0"
"6","Aijal (in Mizoram), india","92.71791","23.72894","265331"
"7","Ajas, india","74.68014","34.33158","0"
"8","Amarateca, honduras","-87.36667","14.23333","0"
"9","Alauca, honduras","-86.71667","13.81667","0"
"10","Alexandroupolis, greece","25.87644","40.84995","52979"
"11","Algajola, france","8.86252","42.6079","242"
"12","Amatillo, honduras","-88.8","14.5","0"
"13","Amrapara, india","87.57053","24.51572","0"
"14","Andhra, Pradesh State, india","83.20161","17.68009","1063178"
"15","Arigam, india","74.68904","33.92749","0"
"16","Arraute, france","-1.10498","43.39611","349"
"17","Asberg, germany","6.661","51.4408","0"
"18","Aspretto, france","8.76107","41.92642","0"
"19","Atal, india","72.97938","20.26752","0"
"20","Avnevi, georgia","43.87778","42.19264","0"
"21","Avrainville, france","2.24553","48.56289","685"
"22","Ayikuma, ghana","-0.05379","5.92092","0"
"23","Baba Bakala, india","75.26389","31.55545","0"
"24","Bad Cannstatt, germany","9.2145","48.8048","0"
"25","Bad Godesberg, germany","7.15393","50.68457","0"
"26","Badgom, india","74.7205","34.01554","0"
"27","Bagiata, georgia","44.07083","42.50722","0"
"28","Balla, india","119.4803","-3.1185","0"
"29","Baltal, india","75.41977","34.25303","0"
"30","Bangalore City, india","77.59369","12.97194","5104047"
"31","Bania, india","82.45562","22.78437","0"
"32","Bardiha, india","83.73497","24.37526","0"
"33","Barranca Grande, guatemala","-91.76667","14.88333","0"
"34","Barrancas de Galvez, guatemala","-91.85","14.98333","0"
"35","Bastelica, france","9.04996","42.0008","499"
"36","Beliabera, india","86.95414","22.27207","0"
"37","Belvedere-Campomoro, france","8.86703","41.6458","0"
"38","Bengal, india","88.36304","22.56263","4631392"
"39","Bergern, germany","11.28157","50.91834","0"
"40","Bhagana, india","76.66814","28.03547","0"
"41","Bhairamgarh, india","81.05917","19.00641","0"
"42","Bharuamunda, india","83.00794","20.63783","0"
"43","Bhatghar, india","73.86245","18.16425","0"
"44","Bhimpura, india","75.6165","25.35585","0"
"45","Bholi, india","74.6809","25.28241","0"
"46","Bicalama, guatemala","-91.21972","15.51167","0"
"47","Bidarray, france","-1.34711","43.26605","698"
"48","Bilai, india","110.6","0.38333","0"
"49","Binnaguri, india","89.07669","26.7617","0"
"50","Boca del Monte, guatemala","-89.42917","16.47611","0"
"51","Boda, india","81.24982","22.29626","0"
"52","Boko, india","91.2397","25.98083","0"
"53","Brito, guatemala","-90.66111","14.14056","0"
"54","Budafok, hungary","19.03167","47.42391","0"
"55","Bundala, india","74.98032","31.53178","0"
"56","Cachar, india","92.79787","24.82733","152393"
"57","Cagnano, france","9.43066","42.87754","0"
"58","Calante, guatemala","-90.83333","15.46667","0"
"59","Casabianca, france","9.36214","42.44523","73"
"60","Chacalte, guatemala","-90.2","15.5","0"
"61","Chamac, guatemala","-90.83333","15.43333","0"
"62","Chamelecon, honduras","-88.01667","15.38333","2098"
"63","Chandipur, india","87.02827","21.44408","0"
"64","Changsari, india","91.6839","26.26433","0"
"65","Channa, india","76.17705","30.56562","0"
"66","Chansolme, haiti","-72.85","19.85","0"
"67","Charar-i-Sharif, india","74.76524","33.86319","8036"
"68","Charar Sharif, india","74.76524","33.86319","8036"
"69","Chateauneuf-d'Ille-et-Vilaine, france","-1.92838","48.56083","0"
"70","Chatillon-sous-Bagneux, france","2.29346","48.8024","32383"
