"","merge","lng","lat","population"
"1","Aarhus, denmark","10.21076","56.15674","237551"
"2","Abole, ethiopia","38.45","9.86667","0"
"3","Agua Bonita, colombia","-76.05328","2.19989","0"
"4","Akhaura, bangladesh","91.20768","23.87243","0"
"5","Alisales, colombia","-77.18415","1.02742","0"
"6","Altaquer, colombia","-78.09143","1.24663","0"
"7","Alto de Mulatos, colombia","-76.53407","8.12941","0"
"8","Alto de San Juan, colombia","-75.32255","4.20575","0"
"9","alvira, colombia","-71.7186","2.90402","0"
"10","Amaceri, colombia","-74.7225","7.73727","0"
"11","Amanatpur, bangladesh","88.42595","24.42703","0"
"12","Ambo, ethiopia","37.85","8.98333","43920"
"13","Am Dam, chad","19.4702","13.2771","0"
"14","Anderlecht, belgium","4.31454","50.83619","0"
"15","Angkor, cambodia","105.42472","10.99284","0"
"16","Angostura de Paine, chile","-70.70806","-33.92726","0"
"17","Anholt, denmark","11.54552","56.70361","160"
"18","Anjouan, comoros","44.39944","-12.16672","23594"
"19","Anlong Veng, cambodia","105.36646","11.82434","0"
"20","Antuco, chile","-71.67467","-37.33007","0"
"21","Las Flores, colombia","-73.1792","11.27128","0"
"22","Aserrio, colombia","-77.34583","3.32778","0"
"23","Astillero, colombia","-73.81137","7.19811","0"
"24","Atacora, benin","1.37962","10.30416","80892"
"25","Atghoria, bangladesh","89.53493","24.48515","0"
"26","Baghmara, bangladesh","91.90533","22.04727","0"
"27","Bagmara, bangladesh","90.6174","24.48418","0"
"28","Bagre, colombia","-74.80951","7.60347","40798"
"29","Bahar Dar, ethiopia","37.39077","11.59364","168899"
"30","Bajo Calima, colombia","-76.97444","3.99639","0"
"31","Bajo Lircay, chile","-71.31721","-35.49772","0"
"32","Balsillas, colombia","-74.85373","2.66744","0"
"33","Bardai, chad","17.00121","21.35494","0"
"34","Belleza, colombia","-73.96167","5.86371","1649"
"35","Bello Antioquia, colombia","-75.55795","6.33732","392939"
"36","Berlin, colombia","-74.76145","4.39316","0"
"37","Bermeja, ecuador","-77.07944","0.28306","0"
"38","Bete, colombia","-76.7812","5.99458","0"
"39","Bhabanipur, bangladesh","88.10062","22.21455","0"
"40","Bierset, belgium","5.45102","50.65496","0"
"41","Birohe, burundi","29.9581","-3.4341","0"
"42","Bishnupur, bangladesh","87.31991","23.0738","64041"
"43","Bitare, burundi","29.9031","-3.2657","0"
"44","Blanqueado, chile","-70.7183","-33.43435","0"
"45","Borovac, croatia","17.97766","43.68276","0"
"46","Bosa, colombia","-75.43333","9.21667","0"
"47","Buhonga, burundi","29.4094","-3.4328","0"
"48","Bukeye, burundi","29.6383","-3.1921","0"
"49","Burambi, burundi","29.6232","-3.3401","0"
"50","Buruhukiro, burundi","29.6336","-3.2856","0"
"51","Busoni, burundi","30.105","-2.8616","0"
"52","Butezi, burundi","30.15167","-3.42278","0"
"53","Butwe, burundi","30.068","-3.2536","0"
"54","Buyengero, burundi","29.54262","-3.81985","0"
"55","Buyenzi, burundi","29.3584","-3.3692","0"
"56","Bwambarangwe, burundi","30.33284","-2.58314","0"
"57","Cabanas, colombia","-74.68083","6.39333","0"
"58","Cacarica, colombia","-77.18064","7.72368","0"
"59","Cagizo, burundi","30.293","-2.6776","0"
"60","Cajapi, colombia","-78.71199","1.5966","0"
"61","Calala, bolivia","-67.55","-21.55","0"
"62","Calasanz, colombia","-75.5985","6.26076","0"
"63","Calderas, colombia","-76.04749","2.63901","0"
"64","Calima, colombia","-76.48306","3.8775","0"
"65","Callejas, colombia","-76.14807","8.1475","0"
"66","Campanario, colombia","-75.76132","8.42911","0"
"67","Campo Capote, colombia","-73.91889","6.61719","0"
"68","Campos de Jordao, brazil","-45.59139","-22.73944","53319"
"69","Canaveral, colombia","-75.90629","9.01456","0"
"70","Canito, colombia","-75.41968","9.61708","0"
"71","Caqueta P., colombia","-75.54667","1.65952","0"
"72","Casacara, colombia","-73.26087","9.83276","0"
"73","Casanare, colombia","-72.39586","5.33775","61029"
"74","Castilla, colombia","-73.67987","3.82845","1543"
