"","merge","lng","lat","population"
"1","Abdan, afghanistan","66.12163","36.04126","0"
"2","Abdurrahim, afghanistan","64.61664","31.68691","0"
"3","Acheral, argentina","-65.47061","-27.12144","0"
"4","Adadkhel, afghanistan","70.21652","34.26364","0"
"5","Aftis, algeria","5.15308","36.50104","0"
"6","Aghajan, afghanistan","66.21633","32.73568","0"
"7","Aghrib, algeria","4.31158","36.79361","23958"
"8","Ahmadzai, afghanistan","70.34283","34.42379","0"
"9","Ahmer El Ain, algeria","2.56593","36.47688","0"
"10","Ahmeur El-Ain, algeria","2.56593","36.47688","0"
"11","Ain Berda, algeria","7.59104","36.6476","0"
"12","Ain Boudinar, algeria","0.1872","36.00856","0"
"13","Ain El Hadid, algeria","0.88479","35.05783","0"
"14","Ain Lechiakh, algeria","2.40514","36.15848","0"
"15","Ain Oulmene, algeria","5.29604","35.92296","0"
"16","Ain Sebt, algeria","1.93023","36.16951","0"
"17","Ain Soltane, algeria","1.12741","36.27216","0"
"18","Ain Tarik, algeria","2.14558","35.99377","0"
"19","Ain Torki, algeria","2.30182","36.33511","0"
"20","Ait Aissi, algeria","4.43612","36.7699","0"
"21","Ait Said, algeria","4.16667","36.65","0"
"22","Ajristan, afghanistan","67.19254","33.5093","0"
"23","Akazai, afghanistan","63.29853","35.62922","0"
"24","Akhundkhel, afghanistan","69.01676","33.45056","0"
"25","Alam Khel, afghanistan","69.02274","33.99529","13247"
"26","Alam Lek, afghanistan","65.95161","37.02576","0"
"27","Al Aouana, algeria","0.32828","35.64583","0"
"28","Alasay, afghanistan","69.72049","34.8965","0"
"29","Alejandro Korn, argentina","-58.3825","-34.98278","0"
"30","Alikhel, afghanistan","69.85195","33.30778","0"
"31","Aliser, afghanistan","70.09067","33.466","0"
"32","Aliwat, afghanistan","69.82091","33.31683","0"
"33","Alma, algeria","3.34018","36.73587","54962"
"34","Al Manamah, bahrain","50.5832","26.21536","147074"
"35","Altamur, afghanistan","67.51424","34.39581","0"
"36","Ambokhak, afghanistan","68.73351","34.1461","0"
"37","Ambriz, angola","13.11935","-7.86232","0"
"38","Amoura, algeria","0.92139","35.71861","0"
"39","Aqcha, afghanistan","67.11441","36.22431","0"
"40","Aq Tapa, afghanistan","68.57","36.97","0"
"41","Arabmazari, afghanistan","66.62614","36.68712","0"
"42","Archi, afghanistan","69.16667","37.13333","8263"
"43","Arghan, afghanistan","69.22532","34.9712","0"
"44","Asadly, azerbaijan","48.52096","40.01214","0"
"45","Asqalan, afghanistan","68.82432","36.82525","0"
"46","Atba, algeria","-0.11667","35.6","0"
"47","Atucha, argentina","-59.3512","-35.54484","0"
"48","Atul, afghanistan","68.43912","33.30914","0"
"49","Aygepar, armenia","45.46626","40.92953","0"
"50","Ayub Khel, afghanistan","69.70931","33.63463","0"
