"","merge","lng","lat","population"
"1","Abim, uganda","33.66944","2.68167","0"
"2","Aboke, uganda","32.68861","2.33528","0"
"3","Abu Kershola, sudan","30.8","12.15","0"
"4","Adakli, turkey","41.54489","41.25927","0"
"5","Adwari, uganda","33.19944","2.45278","0"
"6","Aflao, togo","1.1988","6.17972","0"
"7","Akarca, turkey","26.94902","41.33268","0"
"8","Akcay, turkey","43.27008","40.10983","0"
"9","Akdana, turkey","43.07431","39.96604","0"
"10","Akdemir, turkey","39.14942","38.9857","0"
"11","Aktas, turkey","41.80611","37.95167","501"
"12","Aktutun, turkey","44.30799","37.24269","0"
"13","Akyurek, turkey","39.91667","38.58333","0"
"14","Alekan, turkey","44.16909","37.52712","0"
"15","Al-Hamrah, sudan","33.31","14.1354","0"
"16","Alokolum, uganda","32.22665","2.75757","0"
"17","Alwi, uganda","31.36262","2.4618","0"
"18","Amgamwa, uganda","34.28056","2.805","0"
"19","Anakara, turkey","32.85427","39.91987","3517182"
"20","Apoera, suriname","-57.16667","5.2","0"
"21","Ara, turkey","38.91667","40.23333","0"
"22","Ardicli, turkey","37.00169","40.6181","0"
"23","Asagiaratan, turkey","44.55271","39.82824","0"
"24","Asagidoseme, turkey","40.12378","38.22295","0"
"25","Aswa, uganda","32.6","2.96667","0"
"26","Atanga, uganda","32.76154","3.02531","0"
"27","Aydogdu, turkey","40.14","36.95","506"
"28","Bachevsk, ukraine","34.27588","51.84485","0"
"29","Baglarbasi, turkey","41.45639","37.45639","388"
"30","Bakacak, turkey","40.59194","37.88361","280"
"31","Ban Don Rak, thailand","100.25617","15.24489","0"
"32","Bang Klong, thailand","100.99783","13.43936","0"
"33","Bang Nak, thailand","100.37917","16.02781","15616"
"34","Ba-ngo Sato, thailand","101.69406","6.28522","0"
"35","Bang Po, thailand","102.00097","6.08481","0"
"36","Bang Por, thailand","101.84903","6.04767","0"
"37","Ban Kalapho, thailand","101.53426","6.55968","0"
"38","Ban Kha, thailand","100.95","19.55","0"
"39","Ban Klang, thailand","100.60832","14.46281","15008"
"40","Ban Lua, thailand","100.08333","20.21667","0"
"41","Ban Mae La, thailand","99.64539","8.12344","0"
"42","Ban Mai Kan, thailand","102.71494","16.83042","0"
"43","Ban Mano, thailand","103.73111","14.55264","0"
"44","Ban Pa Mai, thailand","103.36611","17.18361","0"
"45","Ban Ri-Ngae, thailand","101.69308","6.08822","0"
"46","Ban Rueso, thailand","101.51847","6.39364","0"
"47","Ban Samo, thailand","100.96667","16.63333","0"
"48","Ban Si Thai, thailand","100.57589","14.22783","20484"
"49","Ban To Deng, thailand","101.85753","6.119","0"
"50","Ban Ton Makham, thailand","100.71667","14.4","0"
"51","Ban Ton Phai, thailand","98.84969","8.35908","0"
"52","Ban Yaba, thailand","100.30155","6.9633","0"
"53","Ban Yang Daeng, thailand","101.13497","6.71456","0"
"54","Ban Yo, thailand","101.28333","6.08333","0"
"55","Baro, thailand","101.34392","6.49117","0"
"56","Batikarakoc, turkey","40.18333","37.81667","0"
"57","Bayirli, turkey","34.13786","41.47671","0"
"58","Baykoy, turkey","43.72165","37.55102","0"
"59","Belenoluk, turkey","42.7769","37.91537","910"
"60","Bellitas, turkey","41.84279","39.30947","0"
"61","Bespinarlar, turkey","42.52918","40.67624","0"
"62","Birlik, turkey","42.52043","37.24561","76"
"63","Bobi, uganda","32.35737","2.55573","0"
"64","Bogazkoy, turkey","41.3025","37.64111","435"
"65","Bolukbasi, turkey","42.31667","39.83333","0"
"66","Bolukcam, turkey","37.2065","37.4507","0"
