"","merge","lng","lat","population"
"1","Aarsal, lebanon","36.42083","34.17944","0"
"2","Abadam, nigeria","13.26438","13.6169","0"
"3","Abdeh, lebanon","35.96833","34.51694","0"
"4","Abia, nigeria","7.36667","5.10658","897560"
"5","Ablah, lebanon","36.27306","34.1525","0"
"6","Abobo, nigeria","8.28333","9.8","0"
"7","Acteal, mexico","-92.51707","16.98483","320"
"8","Adadama, nigeria","8.08435","5.92688","0"
"9","Adeje, nigeria","5.76376","5.68333","0"
"10","Adina, pakistan","72.26904","34.22241","0"
"11","Adsheet, lebanon","35.48028","33.27722","0"
"12","Afao, nigeria","5.31233","7.69704","0"
"13","Aghal, pakistan","72.33852","35.02616","0"
"14","Agoro, nigeria","6.12491","5.06202","0"
"15","Ajaylat, libya","12.37717","32.75772","0"
"16","Akassa, nigeria","6.06642","4.32336","0"
"17","Al Abraq, libya","21.99778","32.78653","0"
"18","Al Ain, lebanon","35.24833","33.34278","0"
"19","Alamba, niger","10.64151","13.79161","0"
"20","Alamicamba, nicaragua","-84.22357","13.49849","0"
"21","Alpuri, pakistan","72.64247","34.90455","0"
"22","Al-Qantarah, lebanon","35.30083","33.46389","0"
"23","Al-Qubbah, lebanon","35.85694","34.43556","0"
"24","Al Qulaylah, lebanon","35.22861","33.19806","0"
"25","Al-Rayhan, lebanon","35.56722","33.445","0"
"26","Al-Urubah, libya","20.12927","32.11766","0"
"27","Amakouladji, mali","-0.10611","16.60528","0"
"28","Ambohidahy, madagascar","46.9","-16.35","0"
"29","Amichi, nigeria","6.9828","5.98701","0"
"30","Rawat, pakistan","68.08536","27.21467","0"
"31","Anan, lebanon","35.50889","33.56806","0"
"32","Angel Albino, mexico","-93.26881","16.1851","9123"
"33","Askira, nigeria","12.91104","10.64697","0"
"34","Atagara, nigeria","4.48527","12.21899","0"
"35","Atoyaquillo, mexico","-100.0422","17.10486","477"
"36","Ayetoro, nigeria","6.067","7.1934","0"
"37","Ayn Qinya, lebanon","35.70796","33.39663","0"
"38","Babban Gida, nigeria","11.7539","12.1076","0"
"39","Badawa, nigeria","5.12997","12.97389","0"
"40","Bagh, pakistan","70.08252","30.06995","0"
"41","Bahn, liberia","-9.48481","5.98493","0"
"42","Bajung, nepal","83.7309","28.27694","0"
"43","Baka, nicaragua","-84.55287","13.69509","0"
"44","Bakuliya, nepal","82.88143","27.68749","0"
"45","Balaju, nepal","85.3","27.73333","0"
"46","Balakot, pakistan","72.60699","35.3235","0"
"47","Balambu, nepal","85.24525","27.68825","0"
"48","Balat, lebanon","35.83583","33.88528","0"
"49","Bandipur, nepal","84.41684","27.93921","0"
"50","Bankilare, niger","0.72669","14.57653","0"
"51","Banouta, nepal","85.81479","26.76869","0"
"52","Baragadawa, nepal","83.26753","27.5428","0"
"53","Barahathawa, nepal","85.46892","26.99861","0"
"54","Bariyarpur, nepal","85.35264","26.92927","0"
"55","Barpak, nepal","84.74755","28.20301","0"
"56","Bartola, nicaragua","-85.21579","12.10439","0"
