"","merge","lng","lat","population"
"1","Abband, afghanistan","68.28861","34.49009","0"
"2","Abdulkhel, afghanistan","70.56469","34.51288","0"
"3","Abeibara, mali","1.75","19.11667","0"
"4","Abisinia, nicaragua","-85.77948","13.29787","0"
"5","Abonema, nigeria","6.77223","4.73171","0"
"6","Abra, philippines","120.7076","17.4135","4054"
"7","Abra, lebanon","35.40583","33.56667","0"
"8","Abu Sayda, iraq","44.77289","33.92815","0"
"9","Abu Saydah, iraq","44.76113","33.92359","0"
"10","Abyei, sudan","28.43493","9.59525","0"
"11","Aceh, indonesia","95.3222","5.5577","250757"
"12","Aceh Province, indonesia","95.3222","5.5577","250757"
"13","Acosvinchos, peru","-74.09718","-13.10885","0"
"14","Adekar, algeria","4.67152","36.69314","0"
"15","Adezai, pakistan","71.59964","34.16826","0"
"16","Adhaim, iraq","44.53853","34.27544","0"
"17","Adraskan, afghanistan","62.24977","33.62496","0"
"18","Afmadow, somalia","42.07962","0.51265","0"
"19","Agri Province, turkey","43.05139","39.71944","92022"
"20","Agua Caliente, guatemala","-89.73333","14.9","0"
"21","Aguas Blancas, colombia","-74.74185","8.71471","0"
"22","Aguas Blancas, mexico","-99.41667","20.65889","287"
"23","Aguas Calientes, nicaragua","-86.20175","11.62017","0"
"24","Aguaytia, peru","-75.50906","-9.03778","0"
"25","Agusan del Sur, philippines","125.7675","8.75611","40561"
"26","Ahmadabad, afghanistan","62.41732","34.24485","0"
"27","Ahmadabad, pakistan","71.79658","29.95659","0"
"28","Ahmad Khel, afghanistan","67.77892","32.7677","0"
"29","Aija, peru","-77.61686","-9.7352","0"
"30","Ain El Hamra, algeria","5.32194","35.81083","0"
"31","Ain Zaouia, algeria","3.89416","36.54828","0"
"32","Akhtarabad, pakistan","66.94269","30.12511","0"
"33","Akkar, lebanon","36.23889","34.54639","0"
"34","Akuressa, srilanka","80.4693","6.1007","0"
"35","Alam, iraq","44.03634","34.79904","0"
"36","Amarah, iraq","47.14399","31.83588","323302"
"37","Al-Arish, iraq","42.94104","36.09291","0"
"38","Al-Baghdadi, iraq","45.08611","32.89867","0"
"39","Alegria, spain","-2.09107","43.0907","0"
"40","Aley, lebanon","35.6","33.80528","0"
"41","Ali Shir, afghanistan","66.82147","31.64914","0"
"42","Al-Hadid, iraq","44.99395","34.05149","0"
"43","Al-Hussainiyah, iraq","44.41417","33.54806","0"
"44","Aliabad, afghanistan","68.8893","36.49853","0"
"45","Ali Masjid, pakistan","72.80893","34.01058","0"
"46","Alingar, afghanistan","70.3593","34.83529","0"
"47","Alishang, afghanistan","68.51934","34.08057","0"
"48","Alishing, afghanistan","70.15369","34.7038","0"
"49","Almar, afghanistan","68.08869","32.83942","0"
"50","Al-Saadiyh, iraq","45.11746","34.18749","0"
"51","Al-Salam, sudan","32.9193","15.1162","0"
"52","Al-Salam, iraq","44.53471","32.08062","0"
"53","Alutgama, srilanka","80.3639","8.4666","0"
"54","Amadiyah, iraq","44.6075","32.34954","0"
"55","Ama Khel, pakistan","70.52333","32.38333","0"
"56","Amarilis, peru","-76.1667","-9.92643","0"
"57","Amarliya, iraq","44.58453","34.72558","0"
"58","Amiriyah, iraq","45.63182","32.34043","0"
"59","Rawa, iraq","41.91898","34.48229","20580"
"60","Anco, peru","-73.71869","-13.10075","0"
"61","Andajes, peru","-76.95","-10.85","0"
"62","Andamarca, peru","-76.52833","-11.14417","0"
"63","Andar, afghanistan","67.52218","32.60597","0"
"64","Andhra Pradesh, india","83.20161","17.68009","1063178"
"65","Angoor Ada, pakistan","69.27589","32.51859","0"
"66","An-Nabatiyah, lebanon","35.48389","33.37889","120000"
"67","Antigua, guatemala","-90.73444","14.56111","39368"
"68","Antigua, nicaragua","-86.30815","13.6406","1787"
"69","Aomar, algeria","3.77396","36.501","0"
"70","Aouf, algeria","0.44773","35.44891","0"
"71","Aramta, lebanon","35.575","33.465","0"
"72","Arghandab, afghanistan","67.03713","32.55547","0"
"73","Arib, algeria","2.06961","36.29167","0"
"74","Arnoun, lebanon","35.52639","33.33167","0"
"75","Eshkolot, israel","35.03333","32.11667","0"
"76","Arsal, lebanon","36.42083","34.17944","0"
"77","Ashaka, nigeria","11.51179","10.83342","0"
"78","Asillo, peru","-72.89694","-15.71972","0"
"79","Assam, india","91.7458","26.1844","899094"
"80","Asturias, nicaragua","-85.89707","13.2431","0"
"81","Ataghar, afghanistan","67.3574","31.73506","0"
"82","Ataikula, bangladesh","88.93333","24.86667","0"
"83","Aterk, azerbaijan","46.51392","40.16502","0"
"84","Qatif, israel","34.31667","31.36667","0"
"85","Aucayacu, peru","-76.11315","-8.93139","0"
"86","Awaran, pakistan","65.2312","26.4555","0"
"87","Awdiinle, somalia","43.40875","3.17079","0"
"88","Awjah, iraq","44.57969","32.0978","0"
"89","Aydinlikevler, turkey","32.87465","39.96266","0"
"90","Ayn Al Hulwah, lebanon","35.38167","33.54694","0"
"91","Azeffoun, algeria","4.42","36.89306","0"
"92","Azizabad, afghanistan","62.32879","33.35495","0"
"93","Azores, portugal","-25.66667","37.73333","20056"
"94","Baaj, iraq","41.71632","36.0426","0"
"95","Baghaichhari, bangladesh","92.03895","23.32875","0"
"96","Baghlia, algeria","3.85722","36.81694","0"
"97","Baguio City, philippines","120.59306","16.41639","272714"
"98","Bagzai, pakistan","70.33339","33.52998","0"
"99","Bajoga, nigeria","11.43135","10.8509","0"
"100","Bak, afghanistan","70.02136","33.53192","0"
"101","Baka Khel, pakistan","70.50255","32.97245","0"
"102","Bakka Khel, pakistan","70.50374","32.97293","0"
"103","Baksa, india","91.55522","26.73233","0"
"104","Bakwa, afghanistan","62.94936","32.24139","0"
"105","Balad Ruz, iraq","44.79472","33.70111","0"
"106","Bala Murghab, afghanistan","63.32886","35.58408","0"
"107","Balcon, peru","-74.78968","-13.7321","0"
"108","Baliki, philippines","124.54889","7.13111","0"
"109","Banadia, colombia","-71.85","6.9","0"
"110","Banda Daud Shah, pakistan","71.18465","33.27012","0"
"111","Bani Bangou, niger","2.7037","15.0416","0"
"112","Bani Jamra, bahrain","50.45972","26.20972","0"
"113","Bani Saad, iraq","44.5461","33.5706","0"
"114","Banke, nepal","81.61667","28.03333","0"
"115","Banki, nigeria","7.45575","10.63102","0"
"116","Bara, nepal","84.98333","27.16667","0"
"117","Bara, mali","-12.2356","12.0351","0"
"118","Barama, india","91.34944","26.52506","0"
"119","Bardiya, nepal","81.3536","28.30058","0"
"120","Bargi Matal, afghanistan","71.34339","35.67283","0"
"121","Barkan, israel","35.1","32.1","0"
"122","Barwana, iraq","42.38882","34.09579","0"
"123","Bastar, india","82.02331","19.0836","76465"
"124","Bataan, philippines","120.48569","14.43385","84567"
"125","Bataan Province, philippines","120.48569","14.43385","84567"
"126","Bati Kot, afghanistan","70.72738","34.24563","0"
"127","Batman Province, turkey","41.13221","37.88738","381990"
"128","Battagram, pakistan","73.02329","34.67719","0"
"129","Batwar, pakistan","71.51414","34.92564","0"
"130","Bayt Lif, lebanon","35.33278","33.13417","0"
"131","Bazai, pakistan","72.4831","34.74049","0"
"132","Behsud, afghanistan","67.90567","34.3436","0"
"133","Beida, libya","21.75506","32.76272","74594"
"134","Beit Yahoun, lebanon","35.4225","33.15917","0"
"135","Belbari, nepal","87.40961","26.62507","0"
"136","Belpahari, india","86.76426","22.63207","0"
"137","Ben Choud, algeria","3.88035","36.86318","0"
"138","Bengo Province, angola","13.66425","-8.57848","28224"
"139","Beni Bouateb, algeria","1.5372","36.05169","0"
"140","Ben Zerga, algeria","3.25009","36.76516","0"
"141","Berne, switzerland","7.44744","46.94809","121631"
"142","Betoyes, colombia","-71.55881","6.49165","0"
"143","Bhojpur, india","84.67137","25.56314","223676"
"144","Bigha, india","85.7332","25.21855","41758"
"145","Bilampi, nicaragua","-85.03333","12.93333","0"
"146","Bilis Qooqaani, somalia","41.7141","0.2837","0"
"147","Bingol Province, turkey","40.49389","38.88472","80568"
"148","Bint Jubayl, lebanon","35.43333","33.11944","0"
"149","Bishenpur, india","93.76095","24.62817","0"
"150","Bishkan, iraq","44.29139","34.07222","0"
"151","Bitlis Province, turkey","42.28167","38.50667","73222"
"152","Boca de Cupe, panama","-77.58333","8.05","0"
"153","Bo-ngo, thailand","101.72147","6.17031","0"
"154","Bongo, angola","15.34444","-12.99361","0"
"155","Bordj Menaiel, algeria","3.7173","36.74328","0"
"156","Bou Haroun, algeria","2.65747","36.62503","0"
"157","Boya, pakistan","69.92243","32.95754","0"
"158","Buale, somalia","42.03472","4.62722","0"
"159","Buena Vista, nicaragua","-83.64879","14.64733","0"
"160","Buena Vista, guatemala","-89.23333","14.61667","0"
"161","Buenavista, peru","-76.68167","-10.03278","0"
"162","Bugarama, rwanda","29.0077","-2.6924","0"
"163","Bugarama, burundi","29.5466","-3.2915","0"
"164","Bukardi, turkey","40.1725","38.46806","0"
"165","Buldon, philippines","124.37139","7.50972","0"
"166","Buleda, pakistan","63.15936","26.30971","0"
"167","Buni Yadi, nigeria","12.00852","11.27441","0"
"168","Cabana, peru","-69.46389","-17.0925","0"
"169","Cagayan Province, philippines","124.64722","8.48222","445103"
"170","Cagwait, philippines","126.30111","8.91861","0"
"171","Calera, colombia","-73.96926","4.72069","10175"
"172","Candelaria, guatemala","-91.53333","14.95","0"
"173","Candelaria, honduras","-86.28333","15.6","0"
"174","Canete, peru","-76.31719","-13.07541","32344"
"175","Cangallo, peru","-74.72694","-13.56722","0"
"176","Cano Negro, colombia","-74.34778","5.96167","0"
"177","Cantabria (Province), spain","-3.80444","43.46472","182700"
"178","Cap Djinet, algeria","3.72306","36.87806","0"
"179","Caqueta, colombia","-75.60623","1.61438","130337"
"180","Carhuanca, peru","-73.75962","-13.76633","0"
"181","Carhuapampa, peru","-77.25","-10.5","0"
"182","El Carmen, colombia","-75.12023","9.7174","47957"
"183","El Carmen, guatemala","-91.12833","15.03528","0"
"184","Casabianda, france","9.50307","42.09466","0"
"185","Casamance, senegal","-16.27194","12.58333","159778"
"186","Cassoalala, angola","14.21138","-9.28726","0"
"187","Castrovirreyna, peru","-75.48917","-13.52333","0"
"188","Catembe, mozambique","32.55738","-26.00295","0"
"189","Cayara, peru","-73.99333","-13.79417","0"
"190","Cerro Grande, nicaragua","-86.2178","11.72279","0"
"191","Cerro Grande, colombia","-74.71622","9.76778","0"
"192","Chacarilla, peru","-77.09028","-11.85361","0"
"193","Chaclacayo, peru","-76.79162","-11.9789","0"
"194","Chaharikar, afghanistan","69.17139","35.01361","53676"
"195","Chainpur, india","84.40353","25.99547","0"
