"","merge","lng","lat","population"
"1","Achini Bala, pakistan","71.46633","33.96109","0"
"2","Acikkoy, turkey","41.1335","37.16529","423"
"3","Acomayo, peru","-71.47278","-14.12","3802"
"4","Acre, israel","35.07647","32.92814","45603"
"5","Adado, somalia","41.73333","-1.1","0"
"6","Ade, chad","21.9","12.66667","0"
"7","Aderbissinat, niger","7.8945","15.6275","0"
"8","Afir, algeria","3.86699","36.61795","0"
"9","Aghia Paraskevi, greece","24.55951","35.35464","0"
"10","Agua Fria, mexico","-106.02224","35.65448","2800"
"11","Agua Fria, nicaragua","-87.28486","12.77337","0"
"12","Aguelhok, mali","0.85889","19.46139","0"
"13","Ahmadgarh, india","78.1218","28.23806","0"
"14","Ahmad Wal, pakistan","65.93542","29.42069","0"
"15","Ahuacuotzingo, mexico","-98.85194","17.67083","1838"
"16","Ain Fezza, algeria","-1.23364","34.87775","0"
"17","Ain Maabed, algeria","3.13333","34.8","0"
"18","Ain N'Sour, algeria","2.26667","36.35","0"
"19","Akhund, afghanistan","69.01676","33.45056","0"
"20","Aktobe, kazakhstan","57.20718","50.27969","262457"
"21","Albu-Hashmah, iraq","44.89119","33.78341","0"
"22","Alchin, afghanistan","69.04087","37.13784","0"
"23","Alisher, afghanistan","66.82147","31.64914","0"
"24","Al-Jadidah, iraq","43.09065","36.33091","2065597"
"25","Al-Jazirah, iraq","44.92205","33.98559","0"
"26","Al-Kazimiyah, iraq","43.74621","35.38602","0"
"27","Kutaisi, georgia","42.69459","42.26791","178338"
"28","Al-Mahawil, iraq","44.50236","32.67081","0"
"29","Alman, lebanon","36.01694","34.50111","0"
"30","Al-Minyah, lebanon","35.93663","34.48093","0"
"31","Al-Mukhaysah, iraq","44.72528","33.90556","0"
"32","Al-Riyad, iraq","44.45724","33.30212","0"
"33","Altinsu, turkey","40.05781","37.1677","0"
"34","Ambar, peru","-77.38319","-10.77935","0"
"35","Ambar, pakistan","70.04069","31.55701","0"
"36","Ambarli, turkey","28.72315","40.98272","0"
"37","Amparai, srilanka","81.68202","7.29754","18348"
"38","Anahao Daan, philippines","126.155","8.96361","0"
"39","Anamaduwa, srilanka","80.008","7.8786","0"
"40","Anar Dara, afghanistan","61.65397","32.7587","10023"
"41","Anchihuay, peru","-73.73333","-13.01667","0"
"42","Ancos, peru","-78.10429","-8.48942","0"
"43","Andrada, angola","21.36362","-7.69648","0"
"44","Andulo, angola","16.69663","-11.48676","0"
"45","Anguiatu, guatemala","-89.45","14.41667","0"
"46","Angulana, srilanka","79.872","6.7993","0"
"47","Anilmis, turkey","42.51243","37.39843","0"
"48","Arabe, peru","-76.04361","-9.05583","0"
"49","Arabia, kenya","41.49908","3.52541","0"
"50","Aramtah, lebanon","35.575","33.465","0"
"51","Arapai, uganda","33.62854","1.7795","0"
"52","Arghastan, afghanistan","66.48926","31.55981","894"
"53","Arhanga, pakistan","70.78952","33.77761","0"
"54","Ariari, colombia","-73.62162","3.46263","3609"
"55","Arwal, india","84.81104","25.1243","0"
"56","Arzew, algeria","-0.318","35.85048","0"
"57","Arzo, afghanistan","69.27245","35.61606","0"
"58","Askeran, azerbaijan","46.83278","39.93667","1639"
"59","Assouaf, algeria","3.88692","36.90864","0"
"60","Atanquez, colombia","-73.35203","10.70144","0"
"61","Atarot, israel","34.91288","32.02364","0"
"62","Atiak, uganda","32.12273","3.26075","0"
"63","Atlanta, nicaragua","-84.01188","11.57655","0"
"64","Atrai, bangladesh","88.97585","24.61141","0"
"65","Awja, iraq","43.73333","34.53333","0"
"66","Ayacucho, colombia","-81.38333","13.35","0"
"67","Ayahuanco, peru","-74.2","-12.53333","0"
"68","Ayapal, nicaragua","-85.40118","13.77888","0"
"69","Aza Khel, pakistan","71.88324","33.99006","0"
"70","Azhara, georgia","41.75944","43.12528","0"
"71","Baal, germany","6.13205","51.61141","0"
"72","Baal, lebanon","36.21806","34.00583","30916"
"73","Bab El Oued, algeria","3.05217","36.79239","0"
"74","Babil, iraq","44.41963","32.46367","289709"
"75","Bacolor, philippines","120.65191","15.0491","0"
"76","Badiabad, afghanistan","70.28462","34.74112","0"
"77","Badiana, senegal","-16.43806","12.91611","0"
"78","Badillo, colombia","-73.1285","10.63011","0"
