"","merge","lng","lat","population"
"1","Aba Khel, pakistan","70.38283","32.24466","0"
"2","Abungabung, philippines","121.91215","6.48643","0"
"3","acco, peru","-75.30083","-13.59361","0"
"4","Achini, pakistan","71.46633","33.96109","0"
"5","Achini Payan, pakistan","71.46712","33.9676","0"
"6","Acocro, peru","-74.0019","-13.23266","0"
"7","Acopampa, peru","-77.61278","-9.30472","0"
"8","Acoria, peru","-74.81667","-12.5","0"
"9","Adams, philippines","120.9","18.46667","0"
"10","Adam Zai, pakistan","70.80763","32.76975","0"
"11","Agoncillo, philippines","120.93261","13.93556","0"
"12","Agua Blanca, peru","-76.98028","-10.45778","0"
"13","Agusan del Norte, philippines","125.50194","8.94417","250353"
"14","Agustino, peru","-77","-12.05","0"
"15","Ahmedwal, pakistan","65.93542","29.42069","0"
"16","Ahuac, peru","-75.35","-12.06667","0"
"17","Albay, philippines","123.73444","13.13722","179481"
"18","Algamarca, peru","-78.24662","-7.60903","0"
"19","Ali Abbas, pakistan","69.37427","24.87994","0"
"20","Allpa-Orccuna, peru","-74.38388","-13.16995","0"
"21","Alto Huallaga, peru","-76.81464","-6.76539","0"
"22","Alto Limon, peru","-76.18744","-5.85981","0"
"23","Alto Villa Victoria, peru","-74.63437","-11.06082","0"
"24","Amankot, pakistan","71.56883","34.77031","0"
"25","Amlan, philippines","123.2222","9.4647","0"
"26","Ananea, peru","-69.44638","-14.63126","29678"
"27","Ancobamba, peru","-73.10081","-14.0354","0"
"28","Anda, peru","-77.5941","-7.95055","0"
"29","Andabamba, peru","-76.24319","-10.00771","0"
"30","Andahua, peru","-72.35723","-15.49948","0"
"31","Andes, peru","-76.51416","-10.70585","0"
"32","Angasmarca, peru","-78.07891","-8.17245","0"
"33","Angor Ada, pakistan","69.27589","32.51859","0"
"34","Angori Region, peru","-75.07583","-13.5125","0"
"35","Anjira, pakistan","66.33346","28.30479","0"
"36","Antacolpa, peru","-77.25583","-8.30667","0"
"37","Apurimac, peru","-72.88139","-13.63389","55111"
"38","Arahuay, peru","-75.68484","-11.43305","0"
"39","Aram Bagh, pakistan","72.02812","34.18975","0"
"40","Arandu, pakistan","71.5606","35.32168","0"
"41","Aranhuay, peru","-74.29617","-12.68753","0"
"42","Arapa, peru","-70.15652","-15.10539","0"
"43","Asacasi, peru","-72.26556","-13.98028","0"
"44","Asid, philippines","123.54301","12.26824","0"
"45","Astania, peru","-73.85047","-13.56276","0"
"46","Azul de Magdalena, peru","-76.19617","-8.83568","0"
"47","Baas, philippines","124.78139","10.37472","0"
"48","Baay-Licuan, philippines","120.9059","17.6089","0"
"49","Babagam, pakistan","71.79162","35.0346","0"
"50","Babri Banda, pakistan","71.56321","33.53557","0"
"51","Babuzai, pakistan","72.16647","34.41502","0"
"52","Bacha Garhi, pakistan","71.63146","34.22364","0"
"53","Badami, pakistan","72.13733","35.07665","0"
"54","Badan, pakistan","72.92573","34.2687","0"
"55","Badani, pakistan","68.69319","25.9428","0"
"56","Badar, pakistan","70.37778","28.54598","0"
"57","Bagan, pakistan","73.34607","34.02739","0"
"58","Baja, pakistan","74.25194","31.22083","24407"
"59","Bakhmal Ahmadzai, pakistan","70.79682","32.78061","0"
"60","Bakra Mandi, pakistan","73.04413","33.58179","0"
"61","Baleguian, philippines","125.5575","9.35667","0"
"62","Baliguian, philippines","123.51667","13.73333","0"
"63","Balintawak, philippines","121.1587","13.9529","0"
"64","Balobo, philippines","122.83333","7.5","0"
"65","Banate, philippines","123.6755","12.9498","0"
"66","Bangaga, philippines","126.56","7.57389","10106"
"67","Bango, pakistan","71.87719","34.64032","0"
"68","Barang, pakistan","71.58358","34.68036","0"
"69","Barit, philippines","120.5975","18.2375","0"
"70","Barlas, pakistan","70.72883","33.65708","0"
"71","Barranco, peru","-79.89611","-5.65556","0"
"72","Barrera, philippines","122.9237","13.8276","0"
"73","Batkot, pakistan","72.93361","34.84639","0"
"74","Bazargai, pakistan","71.51389","34.46722","0"
"75","Besham, pakistan","72.87908","34.92995","0"
"76","Besima, pakistan","65.8173","27.8959","0"
"77","Bicol, philippines","123.73444","13.13722","179481"
"78","Billitang, pakistan","71.55772","33.52367","0"
"79","Binogsacan, philippines","123.5778","13.2054","0"
"80","Bishbanr, pakistan","72.51455","34.79292","0"
"81","Bitu, philippines","124.27139","7.15389","0"
"82","Bojelebung, philippines","122.19194","6.5225","0"
"83","Bongbong, philippines","120.81667","17.81667","0"
"84","Bostan, pakistan","70.32036","33.67777","0"
"85","Brena, peru","-78.07684","-9.1648","0"
"86","Buadiposo-Buntong, philippines","124.38333","7.96667","0"
"87","Buenaventura, peru","-80.97949","-4.92672","0"
"88","Bukidnon, philippines","125.09417","7.90639","83591"
"89","Bulawan, philippines","122.9402","13.7637","0"
"90","Bulucan, philippines","120.3397","13.6735","0"
"91","Bunaguit, philippines","125.4875","8.61778","0"
"92","Bunao, philippines","120.34341","15.75609","0"
"93","Bungiao, philippines","122.19639","7.10444","6728"
"94","Cabantian, philippines","124.4484","9.7249","0"
"95","Cabasagan, philippines","126.37139","7.84333","0"
"96","Cachachi, peru","-78.31615","-7.63578","0"
