"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"1484","lathi",51.0857179953616,1,71.383333,21.716667,71.7110875,22.062042,"pathie"
"1485","latur",46.7229721723962,1,76.58,18.41,77.0219019,18.3947111,"lohara"
"1486","leh",42.6690325634487,1,77.583333,34.166667,78,34,"ladakh"
"1487","limbdi",19.0705837577744,1,71.8,22.566667,71.921609,22.4367067,"vanala"
"1488","lingsugur",32.5270738318672,1,76.516667,16.166667,76.8201976,16.1855905,"hira"
"1489","lodhikheda",14.3504013837621,1,78.833333,21.583333,78.8579764,21.7108722,"maghyapradeshstate"
"1490","lodhikheda",14.3504013837621,1,78.833333,21.583333,78.8579764,21.7108722,"madhyapradeshstate"
"1491","lohardaga",29.4682337883827,1,84.68,23.43,84.9635478,23.3818822,"narkopi"
"1492","loharu",63.3749992456981,1,75.816667,28.45,76.2392217,28.8836899,"chang"
"1493","lonar",28.8622998222224,1,76.533333,19.983333,76.631885,20.2268569,"mola"
"1494","lonavale",10.2039272628638,1,73.42,18.75,73.5027202,18.7021835,"logar"
"1495","londa",22.0451994777046,1,74.516667,15.466667,74.5492576,15.2699631,"badgund"
"1496","lormi",59.6855429148947,1,81.733333,22.283333,81.6089873,22.809793,"khati"
"1497","losal",45.2016991741428,1,74.916667,27.4,74.6543156,27.0662162,"ratanhira"
"1498","lucknow",1.31989744459041,1,81.19,26.94,81.196968,26.9298563,"rasoolpur"
"1499","lucknow",1.31989744459041,1,81.19,26.94,81.196968,26.9298563,"rasulpar"
"1500","lucknow",1.31989744459041,1,81.19,26.94,81.196968,26.9298563,"rasulpur"
"1501","ludhiana",1.9315696296746,1,75.84,30.91,75.8572758,30.900965,"ludhianna"
"1502","ludhiana",1.9315696296746,1,75.84,30.91,75.8572758,30.900965,"ludhianacity"
"1503","ludhiana",1.9315696296746,1,75.84,30.91,75.8572758,30.900965,"ludhigna"
"1504","lumding",30.6942285156587,1,93.166667,25.75,92.8826534,25.8532698,"kheroni"
"1505","lunavada",103.510826413522,1,73.616667,23.133333,72.6209841,22.9762443,"sailya"
"1506","lunglei",21.6808269158239,1,92.73,22.88,92.7216916,22.684372,"sailen"
"1507","machalpur",73.950155471697,1,76.3,24.133333,76.782702,24.6336199,"dohni"
"1508","macherla",55.0033234008277,1,79.43,16.48,79.0390799,16.8040486,"chintagudam"
"1509","machhlishahr",10.229521156898,1,82.416667,25.683333,82.5158778,25.7044526,"raiya"
"1510","machilipatnam",61.5093788666097,1,81.14,16.19,80.611367,16.409781,"pedavadlapadu"
"1511","madanapalle",49.3665363079174,1,78.5,13.55,78.9432133,13.6556359,"pileru"
"1512","maddur",57.1935807786148,1,77.066667,12.6,77.164167,13.108056,"kudur"
"1513","madgaon",2.06424214202313,1,73.94,15.28,73.958056,15.273611,"margao"
"1514","madhipura",0.366047934185703,1,86.78,25.92,86.778611,25.916944,"madhepura"
"1515","madhoganj",36.6717936827897,1,80.15,27.116667,80.361689,26.8454351,"tikana"
"1516","madhogarh",7.24287979900749,1,80.9,24.566667,80.83,24.58,"satnala"
"1517","madhubani",14.1855740192296,1,86.06,26.37,86.167546,26.4537546,"bokhajhuli"
"1518","madhugiri",51.9102606939783,1,77.209167,13.660556,77.5741212,13.9654177,"bapanpalli"
"1519","madhupur",25.0381026551316,1,86.65,24.25,86.7441518,24.0411047,"baghber"
"1520","madikeri",50.8050277179055,1,75.733333,12.416667,75.6208088,11.9709472,"kannurdistrict"
"1521","madukkur",52.0512825152509,1,79.4,10.483333,79.3834088,10.9536193,"koilamati"
"1522","madurai",0.57576217797741,1,78.12,9.92,78.1197754,9.9252007,"madura"
"1523","maghar",24.4106275434992,1,83.127778,26.757222,83.3731675,26.7605545,"gorakphur"
"1524","mahabaleshwar",36.1132485363231,1,73.666667,17.916667,73.3266559,17.8942612,"bhatghar"
"1525","mahaban",26.2223141358663,1,77.75,27.433333,77.949593,27.5893062,"matu"
"1526","mahad",22.9956798960005,1,73.416667,18.083333,73.3266559,17.8942612,"bhatghar"
"1527","mahalingpur",37.5141267730268,1,75.116667,16.383333,74.78,16.48,"raibaga"
"1528","maham",12.5333507858204,1,76.3,28.983333,76.2392217,28.8836899,"chang"
"1529","maharajganj",15.9727255420001,1,84.483333,26.116667,84.6250199,26.0502233,"saran"
"1530","mahasamund",23.3672186965886,1,82.1,21.1,81.8995904,21.0043452,"lakhana"
"1531","mahbubabad",57.4301691997602,1,80.016667,17.616667,79.5964435,17.9440328,"warangelandhrapradesh"
"1532","mahbubnagar",55.811480800445,1,77.98,16.74,78.2889005,17.1473513,"kothur"
"1533","mahendragarh",61.3358568495833,1,76.15,28.283333,76.6571775,28.6079115,"sajjar"
"1534","mahesana",1.72193126626657,1,72.38,23.6,72.3693252,23.5879607,"mehsana"
"1535","maheshwar",66.5849920367497,1,75.583333,22.183333,75.869849,22.7224312,"nehrupark"
"1536","mahmudabad",41.7795984968093,1,81.116667,27.3,81.196968,26.9298563,"rasoolpur"
"1537","mahmudabad",41.7795984968093,1,81.116667,27.3,81.196968,26.9298563,"rasulpur"
"1538","mahmudabad",41.7795984968093,1,81.116667,27.3,81.196968,26.9298563,"rasulpar"
"1539","mahoba",49.0301373873906,1,79.87,25.3,80.12,25.68,"maduaha"
"1540","maholi",15.0308484741871,1,80.466667,27.666667,80.3714326,27.5608279,"matan"
"1541","mahroni",37.4825923185878,1,78.7288,24.5862,78.5258423,24.3033693,"maltoha"
"1542","mahudha",36.5967147193097,1,72.933333,22.816667,72.6209841,22.9762443,"sailya"
"1543","mahur",9.97939458149123,1,93.116667,25.166667,93.0178839,25.1608968,"northcacharhillsdistrict"
"1544","mahuva",43.7744301529021,1,71.75,21.1,71.3505205,21.2260857,"jabal"
"1545","mahwa",97.5322927512244,1,76.933333,27.05,76.139243,27.5711448,"manda"
"1546","maibong",11.1395533476851,1,93.166667,25.3,93.119896,25.391134,"mupa"
"1547","maihar",35.6418406829772,1,80.75,24.266667,80.83,24.58,"satnala"
"1548","mailani",26.1594242992984,1,80.35,28.283333,80.1512317,28.4408215,"bakhtapur"
"1549","mainaguri",8.0645660627784,1,88.816667,26.566667,88.7902709,26.6354771,"kumarpara"
"1550","maindargi",13.6113068761222,1,76.3,17.466667,76.3579401,17.5763706,"hiroli"
"1551","mainpuri",1.10807220896154,1,79.02,27.24,79.02,27.23,"mainaopuri"
"1552","mairang",16.8465509558226,1,91.633333,25.566667,91.7849239,25.5017855,"ladmawreng"
"1553","mairwa",16.2889203445666,1,84.15,26.233333,84.0097939,26.158388,"kharacho"
"1554","majalgaon",86.0712407164576,1,76.233333,19.15,75.7138884,19.7514798,"maharashtra"
"1555","majholi",79.7846391058999,1,79.916667,23.5,79.4056784,24.0456942,"sumblar"
"1556","makhu",2.08272828688561,1,74.997778,31.103333,74.9764024,31.1071528,"makoo"
"1557","makrana",6.75934260923568,1,74.72,27.05,74.6543156,27.0662162,"ratanhira"
"1558","maksi",56.872607332096,1,76.15,23.266667,75.6510381,23.4937408,"nadimarg"
"1559","makum",9.79845328221328,1,95.45,27.5,95.3540495,27.5223561,"gelapukhuri"
"1560","malappuram",22.6520370159324,1,75.92,10.78,76.08,10.65,"kunjikulam"
"1561","malaut",7.90245086235551,1,74.48,30.23,74.4093258,30.1937521,"kabarwala"
"1562","malavalli",80.6540118899189,1,77.083333,12.383333,77.164167,13.108056,"kudur"
"1563","malegaon",26.8434083491631,1,74.52,20.56,74.6861497,20.3748736,"panzan"
"1564","malerkotla",15.8449746314275,1,75.87,30.54,75.827,30.678,"ahmadgarh"
"1565","malerkotla",15.8449746314275,1,75.87,30.54,75.827,30.678,"ahmedgarh"
"1566","malhargarh",32.4955798110757,1,74.983333,24.283333,75.2601233,24.136267,"kachnara"
"1567","malia",89.3609482540594,1,70.766667,23.083333,69.901433,23.1872223,"ratnal"
"1568","malkangiri",12.5759959606917,1,81.9,18.35,81.8825279,18.2376115,"mariwada"
"1569","malkapur",16.8566702086671,1,76.19,20.9,76.3520193,20.9009338,"rureasal"
"1570","mallapuram",8.20710568951495,1,78.25,11.966667,78.2162833,11.9003197,"akhrur"
"1571","mallasamudram",44.4198380418828,1,78.033333,11.483333,78.4012626,11.6554807,"vazhapadi"
"1572","mallur",31.4637988270122,1,78.133333,11.55,78.4012626,11.6554807,"vazhapadi"
"1573","malpe",52.2277182529776,1,74.716667,13.35,75.1983113,13.37129,"sunkadamakki"
"1574","malpur",94.2954496198556,1,73.45,23.35,72.610398,23.0001194,"karachi"
"1575","malpura",71.4346594385037,1,75.383333,26.283333,75.8130254,26.7993966,"shekhawal"
"1576","malwan",39.4259827534619,1,73.466667,16.066667,73.7654173,15.8583238,"konkan"
"1577","mamit",21.2760184648003,1,92.483333,23.933333,92.2773457,23.9659161,"jampui"
"1578","manali",71.1457877822984,1,77.166667,32.266667,76.4501628,32.0661513,"kharout"
"1579","manalurpet",34.2803742064436,1,79.1,12.016667,78.9609096,11.7387012,"kalakuchi"
"1580","manamadurai",17.0095306741266,1,78.483333,9.7,78.5012983,9.8527485,"nadustate"
"1581","manapparai",37.9031321345448,1,78.416667,10.6,78.7046725,10.7904833,"tichy"
"1582","manapparai",37.9031321345448,1,78.416667,10.6,78.7046725,10.7904833,"tiruchirappalli"
"1583","manasa",40.0342081339518,1,75.15,24.483333,75.2601233,24.136267,"kachnara"
"1584","manavadar",31.8864724876822,1,70.133333,21.5,70.4394719,21.5294789,"ogaad"
"1585","manavalakurichi",33.3362932656468,1,77.3,8.133333,77.6020092,8.1503901,"tsunaminagar"
"1586","manawar",92.1819598528524,1,75.083333,22.233333,75.7669461,22.7713701,"budhaniya"
"1587","manchar",11.6096682581506,1,73.933333,19,73.8330844,19.0436986,"ghodagaon"
"1588","mancheral",11.0009385726891,1,79.45,18.88,79.3838637,18.8031097,"brahmanpalli"
"1589","mandal",56.1831990396622,1,71.916667,23.3,72.3693252,23.5879607,"mehsana"
"1590","mandalgarh",48.0999153442913,1,75.1,25.2,74.736462,25.4817609,"kuntwar"
"1591","mandamarri",20.5821677442747,1,79.47,18.97,79.3838637,18.8031097,"brahmanpalli"
"1592","mandapam",92.3593611892105,1,79.116667,9.283333,78.5012983,9.8527485,"nadustate"
"1593","mandapeta",32.8317972039256,1,81.933333,16.866667,82.230426,16.9454846,"eastgodavariforest"
"1594","mandasa",34.4112305258152,1,84.466667,18.866667,84.4605822,19.1774859,"khariaguda"
"1595","mandawar",52.089086795842,1,76.55,27.866667,76.139243,27.5711448,"manda"
"1596","mandi",20.0737690650719,1,76.916667,31.716667,76.9153281,31.5356306,"mahadev"
"1597","mandla",6.64263623146835,1,80.383333,22.6,80.4098492,22.5453027,"kudhwan"
"1598","mandleshwar",63.255104013379,1,75.666667,22.183333,75.869849,22.7224312,"nehrupark"
"1599","mandsaur",20.6765000912345,1,75.07,24.07,75.2601233,24.136267,"kachnara"
"1600","mandvi",7.0917076010954,1,73.3,21.25,73.2433624,21.2141858,"mashhad"
"1601","mandya",69.53541500872,1,76.89,12.54,77.164167,13.108056,"kudur"
"1602","mangalam",20.4880924522704,1,78.666667,9.766667,78.5012983,9.8527485,"nadustate"
"1603","mangaldai",0.496888837505078,1,92.033333,26.433333,92.03,26.43,"mangaldoi"
"1604","mangaluru",6.35144217424089,1,74.84,12.88,74.8887224,12.8482049,"bajala"
"1605","mangan",2.75965009989747,1,88.533333,27.516667,88.5122178,27.5329718,"sikkim"
"1606","mangawan",30.7776575471337,1,81.55,24.683333,81.4848785,24.9547532,"nagma"
