"","pop","country.etc","name","lat","long","capital","Region","largestC"
"42690",25756,"india","masuri",30.45,78.083333,NA,"39",0
"42691",25756,"malawi","nkhotakota",-12.91,34.3,"0",NA,0
"42688",25755,"india","annigeri",15.433333,75.433333,NA,"19",0
"42689",25755,"unitedstates","southlake",32.9411111,-97.1338889,NA,"TX",0
"42687",25754,"netherlands","leiderdorp",52.16,4.52,"0",NA,0
"42685",25753,"iranislamicrep","gerash",27.67,54.1,"0",NA,0
"42686",25753,"peru","sanvicentedecanete",-13.09,-76.4,"0",NA,0
"42683",25752,"japan","sukumo",32.93,132.72,"0",NA,0
"42684",25752,"unitedstates","pikecreek",39.7308333,-75.7044444,NA,"DE",0
"42682",25750,"southafrica","hermanus",-34.41,19.23,"0",NA,0
"42680",25747,"japan","innoshima",34.29,133.18,"0",NA,0
"42681",25747,"syrianarabrepublic","kafrnabl",35.6,36.57,"0",NA,0
"42677",25730,"czechrepublic","hodonin",48.87,17.13,"0",NA,0
"42678",25730,"germany","schlossholte-stukenbrock",51.92,8.66,"0",NA,0
"42679",25730,"india","mahendragarh",28.283333,76.15,NA,"10",0
"42676",25729,"india","jais",26.25,81.533333,NA,"36",0
"42675",25726,"japan","haibara",34.74,138.23,"0",NA,0
"42674",25725,"unitedstates","wooster",40.805,-81.9352778,NA,"OH",0
"42673",25718,"libya","surman",32.77,12.58,"0",NA,0
"42672",25717,"tanzania","mbinga",-10.93,35.02,"0",NA,0
"42671",25713,"unitedkingdom","shotton-hawarden",53.19,-3.03,"0",NA,0
"42670",25710,"india","pawayan",28.066667,80.1,NA,"36",0
"42668",25705,"colombia","cajica",4.92,-74.03,"0",NA,0
"42669",25705,"japan","omigawa",35.85,140.61,"0",NA,0
"42667",25701,"unitedstates","vicksburg",32.3525,-90.8777778,NA,"MS",0
"42665",25699,"brazil","pojuca",-12.43,-38.33,"0",NA,0
"42666",25699,"uganda","bushenyi",-0.54,30.18,"0",NA,0
"42664",25698,"brazil","saobento",-6.28,-37.75,"0",NA,0
"42663",25694,"philippines","cabagan",17.43,121.76,"0",NA,0
"42662",25689,"koreademrep","hukkyo",38.8,125.8,"0",NA,0
"42659",25687,"brazil","osvaldocruz",-21.79,-50.88,"0",NA,0
"42660",25687,"russianfederation","zavodoukovsk",56.51,66.54,"0",NA,0
"42661",25687,"saudiarabia","al-bukayriyah",26.15,43.66,"0",NA,0
"42658",25686,"malaysia","kerteh",4.52,103.45,"0",NA,0
"42657",25685,"southafrica","wembezi",-29.03,29.82,"0",NA,0
"42656",25682,"france","lesulis",48.67,2.17,"0",NA,0
"42655",25681,"india","khajuraho",24.85,79.933333,NA,"35",0
"42653",25680,"algeria","banitamu",36.53,2.83,"0",NA,0
"42654",25680,"italy","pompei",40.75,14.48,"0",NA,0
"42652",25678,"india","chhabra",24.666667,76.833333,NA,"24",0
"42651",25677,"austria","wolfsberg",46.85,14.85,"0",NA,0
"42648",25672,"brazil","buritizeiro",-17.37,-44.93,"0",NA,0
"42649",25672,"latvia","ogre",56.81,24.61,"0",NA,0
"42650",25672,"unitedstates","lochearn",39.3405556,-76.7225,NA,"MD",0
"42647",25671,"kazakhstan","chardara",41.26,67.96,"0",NA,0
"42646",25667,"oman","ibra",22.72,58.53,"0",NA,0
"42645",25666,"unitedkingdom","staveley",53.27,-1.35,"0",NA,0
"42644",25665,"brazil","saolourencodosul",-31.37,-51.98,"0",NA,0
"42643",25661,"unitedstates","hazelwood",38.7713889,-90.3708333,NA,"MO",0
"42642",25659,"niger","madaoua",14.07,5.96,"0",NA,0
"42641",25654,"netherlands","beuningen",51.87,5.78,"0",NA,0
"42639",25648,"brazil","rancharia",-22.23,-50.89,"0",NA,0
"42640",25648,"tanzania","kakonko",-3.28,30.96,"0",NA,0
"42637",25639,"germany","ubach-palenberg",50.94,6.11,"0",NA,0
"42638",25639,"japan","hamaoka",34.65,138.12,"0",NA,0
"42636",25636,"unitedstates","pullman",46.7313889,-117.1786111,NA,"WA",0
"42635",25635,"malaysia","batuberendam",2.25,102.25,"0",NA,0
"42633",25634,"brazil","salinas",-16.17,-42.3,"0",NA,0
"42634",25634,"india","sadri",25.183333,73.433333,NA,"24",0
"42632",25633,"india","jandiala",31.166667,75.616667,NA,"23",0
"42631",25629,"poland","bartoszyce",54.25,20.81,"0",NA,0
"42628",25626,"brazil","saomateusdosul",-25.88,-50.39,"0",NA,0
"42629",25626,"indonesia","sooko",-7.48,112.42,"0",NA,0
"42630",25626,"unitedstates","eureka",40.8022222,-124.1625,NA,"CA",0
"42627",25625,"russianfederation","fokino",42.98,132.4,"0",NA,0
"42624",25621,"isleofman","douglas",54.15,-4.48,"1",NA,1
"42625",25621,"netherlands","dongen",51.63,4.94,"0",NA,0
"42626",25621,"unitedstates","pascagoula",30.3655556,-88.5561111,NA,"MS",0
"42623",25615,"russianfederation","severobaykalsk",55.65,109.32,"0",NA,0
"42621",25613,"brazil","paudosferros",-6.11,-38.21,"0",NA,0
"42622",25613,"sweden","trelleborg",55.38,13.15,"0",NA,0
"42620",25612,"unitedstates","waxahachie",32.3863889,-96.8480556,NA,"TX",0
"42619",25609,"tanzania","uvinza",-5.12,30.39,"0",NA,0
"42618",25607,"namibia","katimamulilo",-17.5,24.26,"0",NA,0
"42617",25605,"brazil","goiatuba",-18.01,-49.37,"0",NA,0
"42615",25604,"france","oullins",45.72,4.8,"0",NA,0
"42616",25604,"italy","bagnoaripoli",43.75,11.31,"0",NA,0
"42610",25602,"ghana","navrongo",10.89,-1.09,"0",NA,0
"42611",25602,"italy","legnago",45.2,11.3,"0",NA,0
"42612",25602,"poland","jarocin",51.98,17.5,"0",NA,0
"42613",25602,"spain","coriadelrio",37.3,-6.06,"0",NA,0
"42614",25602,"unitedstates","cavespring",37.2275,-80.0130556,NA,"VA",0
"42609",25600,"india","uran",18.876944,72.939722,NA,"16",0
"42608",25598,"israel","qiryatono",32.07,34.86,"0",NA,0
"42607",25597,"uzbekistan","paytug",40.8941667,72.2436111,NA,"1",0
"42606",25596,"turkey","gelibolu",40.42,26.68,"0",NA,0
"42605",25592,"uruguay","treintaytres",-33.23,-54.38,"0",NA,0
"42604",25584,"india","pasighat",28.066667,95.333333,NA,"30",0
"42603",25579,"japan","yoshida",37.68,138.88,"0",NA,0
"42601",25577,"germany","meckenheim",50.64,7.01,"0",NA,0
"42602",25577,"serbia","smederevskapalanka",44.37,20.96,"0",NA,0
"42599",25572,"ethiopia","kemise",10.72,39.87,"0",NA,0
"42600",25572,"russianfederation","krasnoarmeysk",56.1,38.13,"0",NA,0
"42597",25569,"japan","mimata",31.74,131.11,"0",NA,0
"42598",25569,"mexico","jiquilpan",19.98,-102.72,"0",NA,0
"42596",25564,"mexico","tejupilco",18.9,-100.15,"0",NA,0
"42595",25563,"ukraine","selidove",48.13,37.3,"0",NA,0
"42594",25561,"unitedstates","sunprairie",43.1836111,-89.2136111,NA,"WI",0
"42593",25560,"colombia","anserma",5.33,-75.8,"0",NA,0
"42592",25559,"westbankandgaza","ar-ram",31.85,35.24,"0",NA,0
"42591",25558,"russianfederation","nevyansk",57.49,60.21,"0",NA,0
"42590",25554,"unitedstates","marshalltown",42.0494444,-92.9077778,NA,"IA",0
"42589",25553,"unitedstates","marana",32.4366667,-111.2247222,NA,"AZ",0
"42588",25550,"italy","ventimiglia",43.8,7.6,"0",NA,0
"42586",25540,"costarica","sanfelipe",9.9,-84.1,"0",NA,0
"42587",25540,"india","mauganj",24.683333,81.883333,NA,"35",0
"42585",25532,"india","tekkalakota",15.533333,76.883333,NA,"19",0
"42584",25531,"france","orvault",47.27,-1.62,"0",NA,0
"42582",25529,"mexico","tequila",20.88,-103.82,"0",NA,0
"42583",25529,"uzbekistan","boysun",38.21,67.2,"0",NA,0
"42581",25526,"spain","quartdepoblet",39.49,-0.44,"0",NA,0
"42580",25525,"tunisia","jarbahajim",33.73,10.75,"0",NA,0
"42579",25515,"india","kallidaikurichchi",8.666667,77.483333,NA,"25",0
"42578",25513,"unitedstates","eastcleveland",41.5330556,-81.5791667,NA,"OH",0
"42576",25509,"koreademrep","pyonggang",38.41,127.29,"0",NA,0
"42577",25509,"serbia","becej",45.63,20.04,"0",NA,0
"42575",25507,"ukraine","berehove",48.21,22.63,"0",NA,0
"42574",25506,"india","colonelganj",27.133333,81.7,NA,"36",0
"42572",25503,"germany","wiesloch",49.3,8.69,"0",NA,0
"42573",25503,"italy","portogruaro",45.79,12.83,"0",NA,0
"42571",25500,"korearep","yongwol",37.18,128.48,"0",NA,0
"42569",25499,"ethiopia","asasa",7.11,39.19,"0",NA,0
"42570",25499,"israel","netivot",31.43,34.6,"0",NA,0
"42568",25498,"india","mehndawal",26.975278,83.111667,NA,"36",0
"42567",25493,"israel","yehud-neweefrayim",32.04,34.89,"0",NA,0
"42566",25492,"japan","kushikino",31.7,130.26,"0",NA,0
"42565",25491,"unitedstates","collinsville",38.6702778,-89.9844444,NA,"IL",0
"42564",25490,"netherlands","gilzeenrijen",51.55,4.94,"0",NA,0
"42563",25486,"uruguay","rocha",-34.5,-54.32,"0",NA,0
"42562",25485,"korearep","kumsan",36.1,127.49,"0",NA,0
"42560",25481,"india","kagal",16.583333,74.316667,NA,"16",0
"42561",25481,"japan","ijuin",31.61,130.38,"0",NA,0
"42559",25480,"brazil","carangola",-20.74,-42.04,"0",NA,0
"42558",25479,"canada","val-d'or",48.11,-77.79,"0",NA,0
"42557",25475,"nepal","inaruwa",26.61,87.1,"0",NA,0
"42556",25469,"germany","zittau",50.9,14.81,"0",NA,0
"42555",25467,"germany","griesheim",49.87,8.56,"0",NA,0
"42553",25466,"germany","badhonnef",50.65,7.22,"0",NA,0
"42554",25466,"netherlands","heemstede",52.35,4.61,"0",NA,0
"42551",25457,"germany","herdecke",51.4,7.43,"0",NA,0
"42552",25457,"india","bannur",12.330833,76.863056,NA,"19",0
"42550",25455,"pakistan","ahmadpursial",30.68,71.76,"0",NA,0
"42549",25454,"italy","sulmona",42.06,13.93,"0",NA,0
"42548",25453,"germany","rottweil",48.17,8.62,"0",NA,0
"42547",25452,"kazakhstan","saryagash",41.46,69.15,"0",NA,0
"42546",25450,"serbia","paracin",43.87,21.41,"0",NA,0
"42544",25448,"brazil","afogadosdaingazeira",-7.75,-37.64,"0",NA,0
"42545",25448,"guinea","tougue",11.44,-11.67,"0",NA,0
"42541",25441,"germany","unterschleissheim",48.28,11.58,"0",NA,0
"42542",25441,"indonesia","plered",-6.63,107.38,"0",NA,0
"42543",25441,"turkey","vezirkopru",41.15,35.45,"0",NA,0
"42540",25438,"germany","heppenheim",49.65,8.63,"0",NA,0
"42538",25437,"indonesia","teluknibung",3.02,99.81,"0",NA,0
"42539",25437,"japan","kukizaki",35.99,140.11,"0",NA,0
"42535",25433,"brazil","piraju",-23.2,-49.39,"0",NA,0
"42536",25433,"india","budhlada",29.933333,75.566667,NA,"23",0
"42537",25433,"ukraine","kaniv",49.75,31.47,"0",NA,0
"42534",25432,"westbankandgaza","ramallah",31.9,35.2,"0",NA,0
"42531",25429,"romania","tarnaveni",46.33,24.27,"0",NA,0
"42532",25429,"tanzania","luchingu",-10.9,39.33,"0",NA,0
"42533",25429,"turkey","akyazi",40.69,30.63,"0",NA,0
"42530",25427,"saudiarabia","al-muzahimiyah",24.47,46.28,"0",NA,0
"42529",25426,"czechrepublic","breclav",48.76,16.89,"0",NA,0
"42528",25425,"turkey","gursu",40.21,29.22,"0",NA,0
"42527",25424,"spain","santapola",38.19,-0.56,"0",NA,0
"42525",25423,"czechrepublic","krnov",50.09,17.68,"0",NA,0
"42526",25423,"tunisia","manubah",36.8,10.1,"0",NA,0
"42524",25419,"france","herblay",49,2.16,"0",NA,0
"42523",25417,"brazil","novaesperanca",-23.18,-52.21,"0",NA,0
"42522",25416,"ecuador","puyo",-1.48,-77.99,"0",NA,0
"42521",25412,"ukraine","kozyatyn",49.72,28.83,"0",NA,0
"42519",25409,"france","lecreusot",46.81,4.42,"0",NA,0
"42520",25409,"indonesia","tanjungtiram",4.05,98.38,"0",NA,0
"42518",25404,"india","nileshwar",12.25,75.1,NA,"13",0
"42516",25402,"germany","reinbek",53.52,10.25,"0",NA,0
"42517",25402,"syrianarabrepublic","al-muhassan",35.23,40.33,"0",NA,0
"42515",25396,"mauritania","buqah",16.59,-14.27,"0",NA,0
"42514",25389,"madagascar","farafangana",-22.82,47.82,"0",NA,0
"42512",25388,"argentina","victoria",-32.61,-60.18,"0",NA,0
"42513",25388,"unitedstates","goldengate",26.1875,-81.6952778,NA,"FL",0
"42511",25387,"germany","ellwangen",48.97,10.13,"0",NA,0
"42510",25381,"algeria","sillalah",35.93,3.41,"0",NA,0
"42509",25379,"brazil","capaodeleao",-31.77,-52.5,"0",NA,0
"42508",25378,"thailand","chaibadan",15.2,101.13,"0",NA,0
"42507",25377,"brazil","boaviagem",-5.12,-39.74,"0",NA,0
"42504",25376,"india","karkal",13.2,74.983333,NA,"19",0
"42505",25376,"tanzania","igurusi",-8.85,33.85,"0",NA,0
"42506",25376,"uzbekistan","sho'rchi",38.01,67.79,"0",NA,0
"42503",25375,"italy","copertino",40.27,18.03,"0",NA,0
"42502",25373,"japan","maruko",36.32,138.26,"0",NA,0
"42500",25372,"angola","m'banza-kongo",-6.27,14.24,"0",NA,0
"42501",25372,"germany","helmstedt",52.23,11,"0",NA,0
"42499",25365,"uzbekistan","paxtaobod",40.93,72.49,"0",NA,0
"42497",25360,"argentina","dolores",-36.33,-57.69,"0",NA,0
"42498",25360,"mexico","tepeaca",18.97,-97.9,"0",NA,0
"42495",25359,"cuba","guanajay",22.94,-82.68,"0",NA,0
"42496",25359,"netherlands","waddinxveen",52.6,4.65,"0",NA,0
"42494",25353,"syrianarabrepublic","jarabulus",36.82,38.01,"0",NA,0
"42492",25352,"pakistan","phalia",32.43,73.58,"0",NA,0
"42493",25352,"philippines","bagabag",16.5,121.18,"0",NA,0
"42491",25350,"spain","camas",37.4,-6.02,"0",NA,0
"42490",25346,"peru","santaana",-12.87,-72.72,"0",NA,0
"42488",25345,"brazil","obidos",-1.91,-55.52,"0",NA,0
"42489",25345,"philippines","himamaylan",10.1,122.87,"0",NA,0
"42486",25341,"france","henin-beaumont",50.41,2.93,"0",NA,0
"42487",25341,"turkey","yahyali",38.1,35.37,"0",NA,0
"42485",25340,"india","sundarnagar",31.533333,76.883333,NA,"11",0
"42484",25337,"france","coudekerque-branche",51.04,2.4,"0",NA,0
"42483",25334,"brazil","assischateaubriand",-24.41,-53.51,"0",NA,0
"42482",25332,"india","kurali",30.833056,76.573333,NA,"23",0
"42480",25325,"india","asandh",29.516667,76.6,NA,"10",0
"42481",25325,"india","banganapalle",15.316667,78.233333,NA,"2",0
"42479",25322,"uganda","ibanda",-0.12,30.5,"0",NA,0
"42478",25321,"antiguaandbarbuda","saintjohn's",17.11,-61.85,"1",NA,1
"42477",25320,"brazil","santaquiteria",-4.32,-40.17,"0",NA,0
"42476",25316,"cameroon","bamusso",4.43,8.9,"0",NA,0
"42475",25315,"hungary","budaors",47.46,18.96,"0",NA,0
"42474",25311,"unitedstates","marylandheights",38.7130556,-90.4297222,NA,"MO",0
"42473",25310,"unitedstates","myrtlebeach",33.6888889,-78.8869444,NA,"SC",0
"42472",25309,"greece","argos",37.63,22.73,"0",NA,0
"42470",25308,"india","anupshahr",28.366667,78.266667,NA,"36",0
"42471",25308,"russianfederation","mostovskoy",44.41,40.79,"0",NA,0
"42469",25306,"unitedstates","paducah",37.0833333,-88.6,NA,"KY",0
"42467",25305,"brazil","ilhasoltera",-20.38,-51.34,"0",NA,0
"42468",25305,"india","jalalabad",29.618611,77.438333,NA,"36",0
"42466",25302,"philippines","nagcarlan",14.14,121.42,"0",NA,0
"42465",25301,"tanzania","nyalikungu",-3.18,33.78,"0",NA,0
"42464",25299,"egyptarabrep","elqusir",26.11,34.28,"0",NA,0
"42462",25297,"germany","varel",53.4,8.14,"0",NA,0
"42463",25297,"tanzania","chimala",-8.85,34.02,"0",NA,0
"42461",25296,"venezuelarb","laguaira",10.61,-66.89,"0",NA,0
"42460",25294,"turkey","cayeli",41.09,40.73,"0",NA,0
"42459",25288,"israel","sakhnin",32.87,35.29,"0",NA,0
"42458",25275,"uzbekistan","yangirobod",40.04,65.96,"0",NA,0
"42457",25273,"unitedstates","poncacity",36.7069444,-97.0852778,NA,"OK",0
"42456",25272,"slovakrepublic","rimavskasobota",48.39,20.02,"0",NA,0
"42455",25271,"unitedstates","castlewood",39.5847222,-104.9005556,NA,"CO",0
"42454",25270,"india","songadh",21.166667,73.566667,NA,"9",0
"42452",25268,"india","shamsabad",27.533333,79.433333,NA,"36",0
"42453",25268,"mexico","reforma",18.1,-91.02,"0",NA,0
"42451",25267,"ukraine","novoyavorivs'k",49.91,23.73,"0",NA,0
"42450",25264,"unitedstates","kingsville",27.5155556,-97.8558333,NA,"TX",0
"42449",25263,"ireland","ennis",52.86,-8.99,"0",NA,0
"42448",25259,"russianfederation","kireyevsk",53.94,37.92,"0",NA,0
"42447",25257,"spain","oliva",38.92,-0.12,"0",NA,0
"42446",25255,"korearep","yonmu",36.12,127.1,"0",NA,0
"42445",25252,"tanzania","shelui",-4.37,34.2,"0",NA,0
"42444",25251,"italy","sangiovanniinpersiceto",44.64,11.18,"0",NA,0
"42443",25250,"india","machhlishahr",25.683333,82.416667,NA,"36",0
"42442",25248,"saudiarabia","bisa",17.37,42.54,"0",NA,0
"42441",25245,"japan","itsukaichi",35.74,139.23,"0",NA,0
"42440",25239,"spain","almansa",38.87,-1.11,"0",NA,0
"42439",25238,"india","balodabazar",21.666667,82.166667,NA,"37",0
"42438",25236,"germany","arnstadt",50.85,10.95,"0",NA,0
"42436",25235,"france","muret",43.47,1.31,"0",NA,0
"42437",25235,"germany","norden",53.61,7.2,"0",NA,0
"42434",25233,"nigeria","takum",7.26,9.99,"0",NA,0
"42435",25233,"unitedstates","crofton",39.0016667,-76.6877778,NA,"MD",0
"42433",25230,"india","devanhalli",13.2325,77.699167,NA,"19",0
"42431",25227,"japan","kokubunji",34.28,133.97,"0",NA,0
"42432",25227,"turkey","susurluk",39.92,28.15,"0",NA,0
"42430",25223,"uzbekistan","gagarin",40.66,68.16,"0",NA,0
"42429",25218,"germany","netphen",50.92,8.1,"0",NA,0
"42428",25206,"philippines","manibaug",15.11,120.56,"0",NA,0
"42427",25202,"netherlands","wassenaar",52.16,4.39,"0",NA,0
"42426",25195,"thailand","nan",18.78,100.77,"0",NA,0
"42425",25193,"india","gursarai",25.6148,79.1788,NA,"36",0
"42424",25189,"guatemala","nebaj",15.41,-91.15,"0",NA,0
"42423",25185,"netherlands","tholen",51.54,4.21,"0",NA,0
"42422",25183,"germany","lohne",52.66,8.25,"0",NA,0
"42421",25177,"brazil","saobenedito",-4.05,-40.76,"0",NA,0
"42420",25175,"cuba","campechuela",20.24,-77.28,"0",NA,0
"42419",25173,"india","ringas",27.35,75.566667,NA,"24",0
"42417",25172,"libya","gat",24.97,10.17,"0",NA,0
"42418",25172,"mexico","champoton",19.35,-90.72,"0",NA,0
"42415",25171,"albania","lac",41.64,19.71,"0",NA,0
"42416",25171,"chile","puertovaras",-41.33,-72.99,"0",NA,0
"42413",25168,"cameroon","lagdo",9.05,13.73,"0",NA,0
"42414",25168,"germany","roth",49.25,11.09,"0",NA,0
"42412",25167,"mexico","ocoyoacac",19.27,-99.46,"0",NA,0
"42411",25161,"newcaledonia","mont-dore",-22.28,166.58,"0",NA,0
"42410",25159,"france","ris-orangis",48.66,2.41,"0",NA,0
"42409",25158,"spain","villarrobledo",39.27,-2.61,"0",NA,0
"42408",25154,"india","arumuganeri",8.566667,78.116667,NA,"25",0
"42407",25149,"turkey","devrek",41.23,31.95,"0",NA,0
"42406",25147,"macedoniafyr","radovis",41.65,22.47,"0",NA,0
"42405",25145,"cambodia","tbengmeanchey",13.82,104.97,"0",NA,0
"42402",25139,"pakistan","yazman",29.14,71.75,"0",NA,0
"42403",25139,"russianfederation","nerekhta",57.46,40.57,"0",NA,0
"42404",25139,"thailand","kutchap",17.42,102.57,"0",NA,0
"42401",25137,"russianfederation","omutninsk",58.67,52.18,"0",NA,0
"42399",25135,"netherlands","duiven",51.96,6.01,"0",NA,0
"42400",25135,"poland","pszczyna",49.98,18.95,"0",NA,0
"42397",25134,"canada","brandon",49.84,-99.96,"0",NA,0
"42398",25134,"cotedivoire","ndouci",5.863835,-4.760897,NA,"82",0
"42396",25129,"kenya","kapsabet",0.21,35.09,"0",NA,0
"42395",25127,"spain","vinaros",40.49,0.46,"0",NA,0
"42394",25126,"brazil","saofranciscodoconde",-12.62,-38.67,"0",NA,0
"42392",25124,"japan","kagawa",34.23,134.03,"0",NA,0
"42393",25124,"unitedkingdom","frome",51.24,-2.33,"0",NA,0
"42391",25120,"unitedstates","coralterrace",25.7455556,-80.3047222,NA,"FL",0
"42390",25119,"mexico","rinconderomos",22.24,-102.33,"0",NA,0
"42389",25115,"germany","butzbach",50.44,8.66,"0",NA,0
"42387",25113,"iranislamicrep","malekan",38.07,46.53,"0",NA,0
"42388",25113,"philippines","alicia",16.78,121.7,"0",NA,0
"42386",25108,"brazil","igarape-acu",-1.12,-47.63,"0",NA,0
"42384",25102,"india","bagru",26.8084,75.5435,NA,"24",0
"42385",25102,"japan","ishige",36.12,139.97,"0",NA,0
"42383",25100,"ghana","axim",4.87,-2.24,"0",NA,0
"42382",25099,"hungary","szigetszentmiklos",47.35,19.05,"0",NA,0
"42381",25098,"uruguay","sancarlos",-34.79,-54.91,"0",NA,0
"42380",25094,"india","vayalar",9.7,76.333333,NA,"13",0
"42379",25093,"russianfederation","yablonovskiy",44.99,38.94,"0",NA,0
"42378",25092,"brazil","tupaciguara",-18.59,-48.7,"0",NA,0
"42377",25091,"italy","palmadimontechiaro",37.2,13.76,"0",NA,0
"42376",25087,"russianfederation","nelidovo",56.22,32.78,"0",NA,0
"42375",25081,"germany","pfungstadt",49.81,8.6,"0",NA,0
"42374",25078,"india","ahraura",25.016667,83.016667,NA,"36",0
"42373",25075,"indonesia","gunungstoli",1.28,97.61,"0",NA,0
"42372",25074,"india","chodavaram",17.45,81.766667,NA,"2",0
"42371",25072,"spain","pinedademar",41.63,2.69,"0",NA,0
"42370",25071,"saudiarabia","al-midnab",25.86,44.23,"0",NA,0
"42369",25067,"chile","laligua",-32.46,-71.24,"0",NA,0
"42368",25066,"algeria","buhanafis",35.05,-0.72,"0",NA,0
"42366",25064,"namibia","grootfontein",-19.56,18.09,"0",NA,0
"42367",25064,"peru","laredo",-8.1,-78.95,"0",NA,0
"42365",25063,"japan","iiyama",36.85,138.36,"0",NA,0
"42363",25062,"germany","bedburg",51,6.57,"0",NA,0
"42364",25062,"southafrica","ladyfrere",-31.69,27.23,"0",NA,0
"42362",25056,"india","malkangiri",18.35,81.9,NA,"37",0
"42361",25055,"moldova","rascani",47.957222,27.553889,NA,"84",0
"42359",25046,"germany","mosbach",49.36,9.15,"0",NA,0
"42360",25046,"india","chengannur",9.333333,76.633333,NA,"13",0
"42357",25045,"india","kanigiri",15.4,79.516667,NA,"2",0
"42358",25045,"unitedstates","spanaway",47.1041667,-122.4333333,NA,"WA",0
"42356",25039,"brazil","soledade",-28.83,-52.52,"0",NA,0
"42355",25038,"india","chandauli",25.266667,83.266667,NA,"36",0
"42353",25036,"cuba","cruces",22.34,-80.27,"0",NA,0
"42354",25036,"thailand","pakphanang",8.35,100.21,"0",NA,0
"42352",25033,"brazil","campoverde",-20.42,-54.07,"0",NA,0
"42351",25031,"france","saint-laurent-du-maroni",5.5,-54.04,"0",NA,0
"42350",25030,"koreademrep","kosan",38.85,127.42,"0",NA,0
"42349",25027,"nigeria","igbeti",8.75,4.14,"0",NA,0
"42348",25022,"germany","hattersheim",50.08,8.48,"0",NA,0
"42347",25021,"sudan","al-hawatah",13.45,34.62,"0",NA,0
"42345",25020,"belgium","flemalle",50.62,5.47,"0",NA,0
"42346",25020,"india","dakor",22.75,73.15,NA,"9",0
"42344",25019,"spain","martos",37.72,-3.98,"0",NA,0
"42343",25017,"uzbekistan","payshanba",40.04,66.22,"0",NA,0
"42342",25013,"hungary","mako",46.22,20.47,"0",NA,0
"42340",25010,"france","sucy-en-brie",48.76,2.52,"0",NA,0
"42341",25010,"india","sandi",27.3,79.95,NA,"36",0
"42337",25005,"belgium","lanaken",50.88,5.65,"0",NA,0
"42338",25005,"france","bourgoin-jallieu",45.6,5.27,"0",NA,0
"42339",25005,"netherlands","aaenhunze",53.05,6.7,"0",NA,0
"42336",25003,"nigeria","zungeru",9.81,6.16,"0",NA,0
"42335",25002,"belarus","ivacevicy",52.72,25.35,"0",NA,0
"42334",24994,"unitedstates","southpasadena",34.1161111,-118.1494444,NA,"CA",0
"42333",24991,"spain","cangas",42.28,-8.78,"0",NA,0
"42332",24990,"france","grigny",48.65,2.39,"0",NA,0
"42331",24989,"romania","petrila",45.45,23.42,"0",NA,0
"42330",24986,"austria","baden",48.01,16.24,"0",NA,0
"42328",24985,"germany","wertheim",49.76,9.51,"0",NA,0
"42329",24985,"russianfederation","ozyory",54.85,38.54,"0",NA,0
"42327",24983,"finland","salo",60.39,23.13,"0",NA,0
"42326",24982,"india","mountabu",24.6,72.7,NA,"24",0
"42325",24980,"brazil","piresdorio",-17.3,-48.28,"0",NA,0
"42324",24979,"switzerland","kriens",47.03,8.27,"0",NA,0
"42323",24976,"unitedstates","zanesville",39.9402778,-82.0133333,NA,"OH",0
"42322",24975,"russianfederation","vikhorevka",56.09,101.25,"0",NA,0
"42321",24974,"afghanistan","hazartimam",37.22,68.76,"0",NA,0
"42320",24973,"liberia","yekepa",7.58,-8.53,"0",NA,0
"42319",24972,"unitedstates","russellville",35.2783333,-93.1336111,NA,"AR",0
"42318",24969,"unitedstates","bayshore",40.725,-73.2458333,NA,"NY",0
"42317",24966,"argentina","lincoln",-34.88,-61.54,"0",NA,0
"42315",24962,"nigeria","yenagoa",4.93,6.25,"0",NA,0
"42316",24962,"unitedkingdom","aylesford-eastmalling",51.29,0.46,"0",NA,0
"42312",24961,"japan","enzan",35.72,138.73,"0",NA,0
"42313",24961,"pakistan","rajajang",31.22,74.27,"0",NA,0
"42314",24961,"unitedstates","mapleheights",41.4152778,-81.5661111,NA,"OH",0
"42311",24958,"mexico","contla",19.33,-98.17,"0",NA,0
"42309",24955,"italy","parabiago",45.56,8.94,"0",NA,0
"42310",24955,"japan","yamasaki",35.02,134.53,"0",NA,0
"42308",24952,"mexico","moyotzingo",19.25,-98.4,"0",NA,0
"42307",24951,"india","kunda",25.716667,81.516667,NA,"36",0
"42306",24947,"russianfederation","metallostroy",59.8,30.58,"0",NA,0
"42303",24946,"brazil","guararema",-23.42,-46.04,"0",NA,0
"42304",24946,"germany","rudolstadt",50.72,11.33,"0",NA,0
"42305",24946,"israel","migdalha'emeq",32.68,35.24,"0",NA,0
"42302",24942,"brazil","acopiara",-6.1,-39.46,"0",NA,0
"42301",24938,"turkey","kelkit",40.13,39.44,"0",NA,0
"42299",24937,"bangladesh","muktagachha",24.76,90.25,"0",NA,0
"42300",24937,"india","deorikhas",23.4,79.016667,NA,"35",0
"42298",24934,"india","sakleshpur",12.966667,75.783333,NA,"19",0
"42297",24931,"netherlands","vught",51.66,5.29,"0",NA,0
"42296",24930,"algeria","abual-hassan",36.42,1.18,"0",NA,0
"42295",24929,"brazil","santaritadopassaquatro",-21.7,-47.47,"0",NA,0
"42294",24927,"philippines","pio",15.05,120.52,"0",NA,0
"42293",24925,"poland","sandomierz",50.69,21.74,"0",NA,0
"42292",24921,"turkmenistan","yilanli",41.88,59.63,"0",NA,0
"42291",24917,"pakistan","samasatta",29.34,71.54,"0",NA,0
"42289",24912,"benin","bembereke",10.22,2.67,"0",NA,0
