"","pop","country.etc","name","lat","long","capital","Region","largestC"
"57824",2491662,"china","taipei",25.02,121.45,"1",NA,1
"57823",2491404,"ukraine","kiev",50.43,30.52,"1",NA,1
"57822",2468625,"egyptarabrep","gizeh",30.01,31.21,"0",NA,0
"57821",2445713,"colombia","cali",3.44,-76.52,"0",NA,0
"57820",2406598,"senegal","dakar",14.72,-17.48,"1",NA,1
"57819",2399577,"brazil","belohorizonte",-19.92,-43.94,"0",NA,0
"57818",2387734,"iranislamicrep","mashhad",36.27,59.57,"0",NA,0
"57817",2366850,"indonesia","surabaya",-7.24,112.74,"0",NA,0
"57816",2349632,"brazil","fortaleza",-3.78,-38.59,"0",NA,0
"57815",2272891,"india","nagpur",21.16,79.08,"0",NA,0
"57814",2260541,"brazil","brasilia",-15.78,-47.91,"1",NA,0
"57813",2253437,"dominicanrepublic","santodomingo",18.48,-69.91,"1",NA,1
"57812",2194748,"japan","nagoya",35.15,136.91,"0",NA,0
"57811",2163132,"cuba","havanna",23.13,-82.39,"1",NA,1
"57810",2143094,"iraq","al-mawsil",36.34,43.14,"0",NA,0
"57809",2141839,"france","paris",48.86,2.34,"1",NA,1
"57808",2141270,"iraq","al-basrah",30.5,47.83,"0",NA,0
"57807",2131620,"china","changsha",28.2,112.97,"3",NA,0
"57806",2109987,"china","jinan",36.67,117,"3",NA,0
"57805",2091491,"southafrica","johannesburg",-26.19,28.04,"0",NA,0
"57804",2090001,"sudan","khartoum",15.58,32.52,"1",NA,0
"57803",2080120,"china","shijiazhuang",38.05,114.48,"3",NA,0
"57802",2076179,"china","dalian",38.92,121.65,"0",NA,0
"57801",2043005,"unitedstates","houston",29.77,-95.39,"0",NA,0
"57800",2029936,"algeria","algiers",36.77,3.04,"1",NA,1
"57799",2029143,"ghana","accra",5.56,-0.2,"1",NA,1
"57798",2023495,"china","zhengzhou",34.75,113.67,"3",NA,0
"57797",2021392,"colombia","medellin",6.29,-75.54,"0",NA,0
"57796",2000482,"venezuelarb","maracaibo",10.73,-71.66,"0",NA,1
"57795",1983415,"china","jiulong",22.32,114.17,"0",NA,0
"57794",1970382,"guinea","conakry",9.55,-13.67,"1",NA,1
"57793",1967879,"uzbekistan","tashkent",41.31,69.3,"1",NA,1
"57792",1955804,"china","jilin",43.85,126.55,"0",NA,0
"57791",1952029,"ecuador","guayaquil",-2.21,-79.9,"0",NA,1
"57790",1934445,"china","nanchang",28.68,115.88,"3",NA,0
"57789",1921589,"yemenrep","san'a",15.38,44.21,"1",NA,1
"57788",1901271,"india","indore",22.72,75.86,"0",NA,0
"57787",1895505,"japan","sapporo",43.06,141.34,"0",NA,0
"57786",1894655,"china","hangzhou",30.25,120.17,"3",NA,0
"57785",1891999,"australia","brisbane",-27.46,153.02,"0",NA,0
"57784",1862930,"romania","bucharest",44.44,26.1,"1",NA,1
"57783",1844447,"mexico","ecatepec",19.6,-99.05,"0",NA,0
"57782",1839314,"canada","vancouver",49.28,-123.13,"0",NA,0
"57781",1808937,"venezuelarb","caracas",10.54,-66.93,"1",NA,0
"57780",1793197,"pakistan","rawalpindi",33.6,73.04,"0",NA,0
"57779",1766824,"southafrica","soweto",-26.28,27.84,"0",NA,0
"57778",1757817,"indonesia","medan",3.59,98.67,"0",NA,0
"57777",1747482,"belarus","minsk",53.91,27.55,"1",NA,1
"57776",1746484,"brazil","curitiba",-25.42,-49.29,"0",NA,0
"57775",1743891,"germany","hamburg",53.55,10,"0",NA,0
"57774",1700019,"hungary","budapest",47.51,19.08,"1",NA,1
"57773",1688738,"morocco","rabat",34.02,-6.84,"1",NA,0
"57772",1687779,"southafrica","pretoria",-25.73,28.22,"1",NA,0
"57771",1676048,"indonesia","bandung",-6.91,107.6,"0",NA,0
"57770",1673131,"cambodia","phnumpenh",11.57,104.92,"1",NA,1
"57769",1668503,"china","qingdao",36.07,120.32,"0",NA,0
"57768",1660126,"india","patna",25.62,85.13,"0",NA,0
"57767",1653171,"china","xinyang",32.13,114.07,"0",NA,0
"57766",1643049,"india","bhopal",23.24,77.4,"0",NA,0
"57765",1642982,"brazil","manaus",-3.12,-60.02,"0",NA,0
"57764",1637213,"mexico","guadalajara",20.67,-103.35,"0",NA,0
"57763",1634441,"poland","warsaw",52.26,21.02,"1",NA,1
"57762",1626638,"sudan","al-hartumbahri",15.64,32.52,"0",NA,0
"57761",1626218,"syrianarabrepublic","aleppo",36.23,37.17,"0",NA,1
"57760",1619164,"nigeria","kaduna",10.52,7.44,"0",NA,0
"57759",1610214,"china","tangshan",39.62,118.19,"0",NA,0
"57758",1591485,"spain","barcelona",41.4,2.17,"0",NA,0
"57757",1584743,"india","ludhiana",30.91,75.84,"0",NA,0
"57756",1580909,"syrianarabrepublic","damascus",33.5,36.32,"1",NA,0
"57755",1575127,"zimbabwe","harare",-17.82,31.05,"1",NA,1
"57754",1573378,"iranislamicrep","esfahan",32.68,51.68,"0",NA,0
"57753",1570976,"austria","vienna",48.22,16.37,"1",NA,1
"57752",1569289,"indonesia","bekasi",-6.22,106.97,"0",NA,0
"57751",1548351,"india","thana",19.2,72.97,"0",NA,0
"57750",1538778,"china","urumqi",43.8,87.58,"3",NA,0
"57749",1535478,"ghana","kumasi",6.69,-1.63,"0",NA,0
"57748",1535384,"japan","kobe",34.68,135.17,"0",NA,0
"57747",1523085,"iranislamicrep","karaj",35.8,50.97,"0",NA,0
"57746",1516276,"china","kaohsiung",22.63,120.27,"0",NA,0
"57745",1495342,"korearep","taejon",36.33,127.43,"0",NA,0
"57744",1489055,"brazil","recife",-8.08,-34.92,"0",NA,0
"57743",1482359,"malaysia","kualalumpur",3.16,101.71,"1",NA,1
"57742",1475091,"india","agra",27.19,78.01,"0",NA,0
"57741",1472075,"australia","perth",-31.96,115.84,"0",NA,0
"57740",1471978,"pakistan","multan",30.2,71.45,"0",NA,0
"57739",1463754,"madagascar","antananarivo",-18.89,47.51,"1",NA,1
"57738",1460961,"iranislamicrep","tabriz",38.08,46.3,"0",NA,0
"57737",1458459,"turkey","bursa",40.2,29.08,"0",NA,0
"57736",1458183,"japan","kyoto",35.01,135.75,"0",NA,0
"57735",1452055,"vietnam","hanoi",21.03,105.84,"1",NA,0
"57734",1450884,"unitedstates","phoenix",33.54,-112.07,"0",NA,0
"57733",1442911,"argentina","cordoba",-31.4,-64.19,"0",NA,0
"57732",1439814,"unitedstates","philadelphia",40.01,-75.13,"0",NA,0
"57731",1436287,"brazil","belem",-1.44,-48.5,"0",NA,0
"57730",1435716,"india","vadodara",22.31,73.18,"0",NA,0
"57729",1431171,"china","lanzhou",36.05,103.68,"3",NA,0
"57728",1427118,"mexico","tijuana",32.53,-117.02,"0",NA,0
"57727",1425001,"congodemrep","lubumbashi",-11.66,27.48,"0",NA,0
"57726",1421834,"pakistan","gujranwala",32.16,74.18,"0",NA,0
"57725",1421205,"ukraine","kharkiv",49.98,36.22,"0",NA,0
"57724",1421142,"venezuelarb","valencia",10.23,-67.98,"0",NA,0
"57723",1417107,"russianfederation","novosibirsk",55.04,82.93,"0",NA,0
"57722",1417082,"pakistan","hyderabad",25.38,68.37,"0",NA,0
"57721",1410771,"china","fushun",41.87,123.88,"0",NA,0
"57720",1406741,"china","hefei",31.85,117.28,"3",NA,0
"57719",1405405,"colombia","barranquilla",10.96,-74.8,"0",NA,0
"57718",1404609,"bolivia","santacruz",-17.77,-63.21,"0",NA,1
"57717",1403619,"uganda","kampala",0.32,32.58,"1",NA,1
"57716",1402674,"japan","fukuoka",33.59,130.41,"0",NA,0
"57715",1402600,"indonesia","tangerang",-6.18,106.63,"0",NA,0
"57714",1399814,"ecuador","quito",-0.19,-78.5,"1",NA,0
"57713",1380983,"brazil","portoalegre",-30.04,-51.22,"0",NA,0
"57712",1371448,"cameroon","douala",4.06,9.71,"0",NA,1
"57711",1371363,"bangladesh","khulna",22.84,89.56,"0",NA,0
"57710",1370361,"china","shantou",23.37,116.67,"0",NA,0
"57709",1369601,"china","handan",36.58,114.48,"0",NA,0
"57708",1366010,"india","pimpri",18.62,73.8,"0",NA,0
"57707",1353480,"saudiarabia","mecca",21.43,39.82,"0",NA,0
"57706",1351104,"indonesia","makasar",-5.14,119.41,"0",NA,0
"57705",1348872,"india","nashik",20.01,73.78,"0",NA,0
"57704",1344617,"cameroon","yaounde",3.87,11.52,"1",NA,0
"57703",1344436,"india","faridabad",28.38,77.3,"0",NA,0
