"","name","DistKM","fake","long","lat.x","lon","lat.y","CityGTD"
"271","mirwah",21.9951874337804,1,69.05,25.32,69.25,25.4,"dehgan"
"272","mithatiwana",15.884155753574,1,72.11,32.25,72.271908,32.2899398,"joharabad"
"273","mithi",0.328183287980416,1,69.8,24.74,69.8009464,24.7428339,"janichowk"
"274","moro",21.3816664487022,1,67.99,26.67,68.1336554,26.8135409,"nausheroferoz"
"275","multan",3.32390349135937,1,71.45,30.2,71.4692667,30.1751224,"ghallamandi"
"276","murree",31.8275495300383,1,73.39,33.91,73.242439,34.169308,"southwaziristandistrict"
"277","murree",31.8275495300383,1,73.39,33.91,73.242439,34.169308,"northwaziristandistrict"
"278","mustafabad",17.5437210044053,1,73.5,30.9,73.6815807,30.9229809,"akhtarabad"
"279","muzaffarabad",5.41576323740246,1,73.48,34.35,73.4426978,34.3122378,"tani"
"280","nabisar",22.6126525117925,1,69.65,25.07,69.5802999,25.2640251,"murtazagoth"
"281","nankanasahib",30.8198668249189,1,73.69,31.45,73.9003415,31.2386314,"dhand"
"282","narowal",18.0746374478362,1,74.87,32.11,74.8525407,32.2723183,"mandar"
"283","nasirabad",0.504784120259664,1,67.91,27.38,67.915103,27.3799987,"naseerabad"
"284","naudero",1.09352250551588,1,68.37,27.67,68.3778981,27.6630769,"phulpota"
"285","naukot",37.419060822582,1,69.45,24.85,69.8009464,24.7428339,"janichowk"
"286","naushahrofiroz",3.23070180451233,1,68.12,26.84,68.1336554,26.8135409,"nausheroferoz"
"287","nawabshah",1.10621011484323,1,68.4,26.24,68.4100338,26.2442211,"nawashah"
"288","nowshera",7.78815511328477,1,75.18,32.14,75.2220166,32.2004611,"dogar"
"289","nushki",1.03915039835906,1,66.01,29.56,66.0195894,29.5558052,"nushkidistrict"
"290","nushki",1.03915039835906,1,66.01,29.56,66.0195894,29.5558052,"naushkidistrict"
"291","nushki",1.03915039835906,1,66.01,29.56,66.0195894,29.5558052,"naushki"
"292","nushki",1.03915039835906,1,66.01,29.56,66.0195894,29.5558052,"noshki"
"293","okara",24.3608412732305,1,73.45,30.81,73.6496658,30.6738393,"saidon"
"294","ormara",62.4951342661127,1,64.63,25.22,64.0391575,25.3926454,"kalatdistrict"
"295","padidan",11.5683689539169,1,68.3,26.78,68.3667192,26.8655428,"paccachang"
"296","paharpur",23.4370660187532,1,70.97,32.11,71.1656462,31.9799845,"shahalam"
"297","pakpattan",9.07497176424623,1,73.38,30.35,73.362396,30.2695761,"jora"
"298","panoaqil",19.2014996807167,1,69.1,27.86,69.2914784,27.8927394,"dari"
"299","pasni",1.71898297883063,1,63.45,25.27,63.466667,25.266667,"pasani"
"300","pasrur",19.0838965648239,1,74.65,32.27,74.8525407,32.2723183,"mandar"
"301","pattoki",19.9906728675978,1,73.85,31.03,73.6815807,30.9229809,"akhtarabad"
"302","peshawar",1.1911064197465,1,71.54,34.01,71.5479282,34.0015317,"mohallahsunehri"
"303","phalia",20.94076354389,1,73.58,32.43,73.4618318,32.5901004,"mianmandi"
"304","phulji",29.931292459072,1,67.68,26.89,67.5708536,26.6382554,"dadudistrict"
