"","CityGTD","DistKM","fake","long","lat.x","name","lon","lat.y"
"14","shopian",0.258420033901524,1,74.833333,33.716667,"shupiyan",74.8360918,33.7170033
"2","brahmanbaria",0.369155593269463,1,91.1,23.97,"brahmanbariya",91.1,23.966667
"7","hermel",0.417900923896626,1,36.39,34.4,"alhirmil",36.3871708,34.3970517
"13","seiyun",2.18235226900665,1,48.77965,15.94727,"alhamdi",48.783333,15.966667
"8","jezzine",5.88222739769759,1,35.61,33.59,"beirut",35.5862413,33.5408371
"16","tipaza",5.92497369401935,1,2.4475,36.58972,"tipasa",2.3912362,36.6178786
"10","muttur",6.75503496998079,1,80.17,9.82,"valvedditturai",80.2,9.7666667
"4","chaparhar",12.673554811213,1,70.44,34.44,"jalalabad",70.4074861,34.3289766
"9","mayo",17.7101479790206,1,101.37,6.87,"yaring",101.4168819,6.7168673
"12","sadda",18.4434949524531,1,70.35,33.54,"alizai",70.3320446,33.7056042
"17","westsinghbhum",19.0232253054091,1,85.266667,22.3,"chiria",85.4375574,22.3650858
"15","siniyah",21.2615357699315,1,42.83,33.65,"hit",42.716667,33.816667
"3","chanae",23.2986605360231,1,101.87172,6.07239,"bansungaipadi",101.6612934,6.0682259
"11","sabari",25.4249721703788,1,69.92,33.34,"khowst",69.8783536,33.5665606
"5","dalton",31.5113566394431,1,30.59,-29.06,"greytown",30.6300567,-29.3421175
"6","dibis",37.9554545868428,1,44.41,35.47,"kirkuk",44.1,35.7
"1","bakwa",80.3945028267978,1,62.79055,31.52919,"khash",62.9478073,32.2416937
