"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"40","cebollal",3.71513136244048,1,-86.87,13.23,"cincopinos",1442,-86.855843,13.2605833
"123","laesmeralda",3.80597334958875,1,-74.81,3.38,"colombia",857,-74.80419,3.41392
"183","santodomingo",3.92793451321739,1,-88.82,13.72,"sansebastian",355,-88.8563016,13.7190461
"23","barwana",4.09967414741334,1,42.37724,34.13477,"hadithah",929,42.389167,34.099167
"148","mindanao",4.16776161181431,1,123.32,8.53,"olingan",1588,123.3034062,8.49613
"205","torkham",4.38404136283154,1,71.14667,34.10167,"landikotal",469,71.1047,34.1202
"33","botleng",4.38695623236234,1,28.68,-26.14,"johannesburg",595,28.699391,-26.1044823
"159","omerbegovaca",4.5877516525113,1,18.81,44.87,"brcko",516,18.783333,44.833333
"81","gaziyurt",4.73979144681695,1,44.82,43.22,"ekazhevo",1604,44.839596,43.260186
"47","chirang",4.82508161323893,1,90.702977,26.495883,"bijni",544,90.6939122,26.5386619
"132","ligoniel",4.95173139459185,1,-5.93,54.6,"belfast",332,-5.9878052,54.6292101
"111","khakeafghan",5.05490156084477,1,69.27,34.49,"kabul",1142,69.3250022,34.4884697
"214","yoloaiquin",5.07689358495769,1,-88.08,13.77,"cacaopera",357,-88.1266983,13.7652858
"108","katutura",5.10730183496529,1,17.09,-22.56,"windhoek",962,17.060278,-22.523056
"186","sharpeville",5.11686738016552,1,27.82,-26.69,"johannesburg",1635,27.871389,-26.688611
"129","lavainilla",5.12695820012269,1,-86.18,13.3,"sansebastiandeyali",1456,-86.2255771,13.312456
"190","silverbridge",5.15674914222198,1,-6.6,54.08333,"crossmaglen",616,-6.52781,54.10192
"6","ainzaouia",5.29601202557476,1,3.95306,36.54222,"boghni",511,3.8947975,36.5504491
"56","countyarmagh",5.37893010674479,1,-6.7,54.25,"keady",1712,-6.6659185,54.2940148
"95","imphalwest",5.52934302560255,1,93.94,24.79,"imphal",360,93.8858955,24.7827837
"150","mizrana",5.54906755595398,1,4.15,36.82,"bujima",652,4.0962,36.8451
"77","finaghy",5.6062658129344,1,-5.93,54.6,"belfast",330,-5.9843935,54.56078
"65","dobrosin",5.65223073766029,1,21.59889,42.49222,"ranilug",1613,21.636111,42.449444
"122","laceiba",5.65346320780778,1,-90.02,13.85,"sanfranciscomenendez",883,-90.0621414,13.8197445
"109","keciorem",5.70184120193578,1,32.85,39.93,"ankara",1707,32.8712951,39.978667
"215","zarit",5.79106810806226,1,35.31,33.05,"fassuta",943,35.288522,33.098985
"157","narengi",6.10036593564553,1,91.788889,26.1425,"guwahati",1348,91.832294,26.1811985
"58","dardpora",6.21719480638906,1,74.76524,33.86319,"srinagar",1334,74.8178134,33.8981037
"164","ouledaissa",6.44003762730143,1,3.83,36.75,"nasiriyah",515,3.814444,36.806667
"41","cerrodeguazapa",6.48018111950522,1,-89.17,13.89,"sansalvador",879,-89.1112924,13.9018897
"182","santafedebogota",6.5328446571023,1,-74.09,4.63,"bogota",864,-74.0417628,4.5961285
"201","tercerpueblo",6.64617431912392,1,-90.28,15.82,"chisec",1320,-90.230759,15.783471
"62","deliciasdeconcepcion",6.86737051890241,1,-88.08,13.77,"cacaopera",291,-88.1401188,13.790003
"188","shenzen",6.88453329366049,1,114.12,22.52,"shenzhen",851,114.057868,22.543099
"160","oratoriodeconcepcion",6.95022436974299,1,-89,13.79,"sansalvador",1289,-89.057347,13.8183783
"177","samore",7.01792227404103,1,-74.09,4.63,"bogota",521,-74.1320705,4.5826131
"156","myawaddy",7.02178389989087,1,98.57,16.71,"maesot",1426,98.508333,16.687778
"83","glassdrummond",7.02505990775134,1,-6.7,54.25,"keady",1714,-6.8073192,54.2558506
"124","lahormiga",7.23132958931629,1,-75.74,7.19,"ituango",519,-75.8054552,7.1885428
"125","lahorminga",7.23132958931629,1,-75.74,7.19,"ituango",1239,-75.8054552,7.1885428
"85","guarjila",7.49598684351412,1,-88.95,14.04,"chalatenango",1280,-88.8826846,14.0235381
"24","bataan",7.56410502139851,1,120.54,14.68,"manila",1576,120.4818446,14.6416842
"94","ifugao",7.70867134518297,1,121.1,16.82,"lagawe",1583,121.1710389,16.8330792
"163","oueddjer",7.99768728162159,1,2.61,36.47,"alafrun",824,2.55,36.416667
"28","belleek",8.3119944643196,1,-8.21,54.51,"ballyshannon",267,-8.09252,54.48001
"197","tallouseh",8.43562908427933,1,35.57,33.21,"qiryatshemona",1414,35.4850698,33.2362587
"72","elparaiso",8.43798325119447,1,-89.05,14.18,"sanfranciscomorazan",292,-89.0728633,14.1070716
"16","arib",9.12863842473624,1,1.9679,36.26405,"aindefla",1177,2.066667,36.283333
"206","transvaal",9.37886060265217,1,24.77,-28.75,"kimberley",760,24.7762279,-28.6655552
"134","lourdes",9.40134583138702,1,-89.29,13.68,"sansalvador",673,-89.365369,13.7223145
"213","xalbal",9.47193715028343,1,-91.07,15.82,"ixcan",902,-91.0023857,15.8751649
"64","djebahia",9.50452787573544,1,3.8334,36.53628,"draaelmizan",821,3.75,36.483333
"145","middletown",9.70478164267209,1,-6.97,54.25,"monaghan",489,-6.84091,54.29351
"70","elgavilan",9.80061781070251,1,-87.97,13.43,"sanalejo",1273,-87.9604345,13.3419103
"4","ainelhamra",9.9243615826422,1,1.53299,36.18503,"ouedfodda",1173,1.5411111,36.0958333
"66","durban",10.169119500954,1,-112.07,33.54,"phoenix",333,-112.0740373,33.4483771
"162","oueddjemaa",10.3037731010704,1,0.76,35.73,"zammurah",1197,0.681389,35.797222
"167","potonico",10.3312028530666,1,-88.95,14.04,"chalatenango",423,-88.8922742,13.9655539
"128","latrinidad",10.5660240546456,1,-88.18,13.47,"sanmiguel",529,-88.1181559,13.5438827
"100","jalrez",10.6115518025821,1,68.78,34.45,"kabul",399,68.6678026,34.472681
"127","laspampas",10.7064040335012,1,-85.99,14.06,"trojes",1454,-85.9980188,13.9635488
"178","sanfelipe",10.8182197703198,1,-88.78,13.67,"apastepeque",424,-88.6813935,13.6537746
"55","comalapa",10.8536729554321,1,-88.95,14.04,"chalatenango",350,-88.9575449,14.1378221
