"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"26","behsud",4.39673309880902,1,70.44,34.44,"jalalabad",501,70.4848439,34.4538134
"132","mueang",4.42739574669895,1,101.73,17.49,"loei",773,101.7251311,17.5297299
"57","dangam",4.51945881537704,1,71.37,35.03,"asmar",627,71.4061876,35.0021932
"64","dinaig",4.69387851572684,1,124.22556,7.18056,"tamontaka",472,124.183889,7.188889
"210","valenzuela",4.7378766404432,1,120.94,14.71,"manila",1601,120.9830225,14.7010556
"31","benoyvedeno",4.983323308853,1,46.233971,42.983658,"belgatoy",1603,46.279712,42.953928
"126","mandani",4.98740888110125,1,71.83,34.32,"tordher",1505,71.7890821,34.3494838
"214","westgarohills",5.32946845629241,1,90.22,25.52,"tura",922,90.2244662,25.5679372
"137","newbataan",5.57502127258411,1,126.1298,7.604,"bantacan",1589,126.1403526,7.554702
"138","nombredejesus",5.57576212697809,1,-88.7,14.05,"lavirtud",1288,-88.7289492,14.0082761
"82","gorbaz",5.57867963267469,1,69.92041,33.33951,"khost",338,69.8833329,33.3
"27","beityahoun",5.68419376640288,1,35.40251,33.11023,"ainebel",565,35.4210971,33.1590379
"119","loughgall",6.12622665139625,1,-6.66667,54.45,"moy",487,-6.60069,54.41064
"56","dand",6.24012278536706,1,65.69,31.61,"qandahar",337,65.6242603,31.6114496
"177","sancarlos",6.40070829392379,1,-88.1,13.7,"sanfrancisco",888,-88.0876336,13.6434243
"178","sancarlos",6.40070829392379,1,-88.1,13.7,"gotera",888,-88.0876336,13.6434243
"118","lislique",6.55085666914466,1,-87.87,13.75,"anamoros",530,-87.8979248,13.8025442
"51","chupol",6.64617431912392,1,-90.28,15.82,"chisec",899,-90.230759,15.783471
"140","northernhighway",6.64617431912392,1,-90.28,15.82,"chisec",1317,-90.230759,15.783471
"66","dolores",6.90071651823141,1,-88.54,13.84,"ilobasco",418,-88.566667,13.783333
"87","igorre",6.90771297279231,1,-2.73333,43.21667,"amorebieta",1643,-2.7792444,43.1643497
"127","manglawar",6.9669093457832,1,72.36265,34.7795,"mingora",1507,72.4302529,34.8083757
"45","chaharbolak",6.96783039094425,1,66.8972,36.75635,"balkh",626,66.9511459,36.801729
"175","sanantoniolosranchos",7.05136281902422,1,-88.95,14.04,"chalatenango",676,-88.8946713,14.0061818
"183","santaclara",7.28235106736741,1,-86.32,13.68,"sanfernando",986,-86.2577605,13.7050839
"179","sangam",7.333796435701,1,77.88,18.66,"bodhan",1350,77.9163886,18.6035506
"91","jonesborough",7.45426172454737,1,-6.25731,54.10148,"warrenpoint",1715,-6.36973,54.09059
"166","rioescondido",7.54079729958674,1,-86.37,11.78,"elrosario",715,-86.3481319,11.7153271
"139","nortedesantander",7.59758296984232,1,-72.83,7.95,"lourdes",520,-72.8988069,7.9462831
"36","calera",7.65758412366734,1,-75.53,5.16,"neira",1232,-75.4708848,5.1958125
"206","u",7.97949885715185,1,-74.35,4.62,"bogota",866,-74.297333,4.570868
"161","qarghai",8.00233078462986,1,68.95,34.58,"kabul",1159,69.0314536,34.5542397
"199","surkhrod",8.2533909337195,1,70.44,34.44,"jalalabad",404,70.3598758,34.4064269
"3","aguascalientes",8.38234061870773,1,-86.14,13.92,"jalapa",707,-86.1892526,13.8614768
"194","sittandi",8.43291013224974,1,81.59,7.77,"eravur",1086,81.521241,7.8033396
"117","lisbellaw",8.53484722000746,1,-7.63,54.37,"enniskillen",1717,-7.53324,54.3182
"149","parsa",8.67478416552513,1,85.55,26.86,"malangwa",965,85.633333,26.883333
"192","shauri",8.71353085143275,1,45.95882,42.193699,"kidero",1609,45.9398131,42.2708621
"62","derrylin",8.89071118654345,1,-7.58333,54.11667,"ballyconnell",486,-7.57145,54.19624
"124","maipu",8.89097173951939,1,-70.72552,-33.4443,"santiago",283,-70.766667,-33.516667
"42","cerroblanco",8.97485559553628,1,-86.04,13.57,"quilali",968,-86.0961111,13.5102778
"185","saqlawiyah",9.01810951345058,1,43.77,33.36,"alfallujah",368,43.683333,33.396389
"25","bartella",9.02259997781602,1,43.37758,36.27093,"mosul",928,43.379722,36.352222
"17","balamurghab",9.11003338811658,1,63.33,35.56,"balamorgab",1126,63.309294,35.6403478
"105","khokkhian",9.39349975301971,1,101.82,6.43,"narathiwat",1691,101.7637775,6.4936584
"157","qadisiyah",9.53099211455255,1,45.24743,32.0643,"`afak",1381,45.1494505,32.043691
"49","chupamarca",9.61116281463771,1,-78.82,-6.37,"cutervo",1018,-78.8382644,-6.4549673
"16","bakkakhel",9.67973258546942,1,70.6,32.99,"bannu",1484,70.505,32.955278
"211","vankalai",9.72609360630532,1,79.89,8.97,"mannarama",1679,79.9346603,8.8940985
"112","lasburras",9.75601192553287,1,-89.45,14.52,"concepcionlasminas",1284,-89.4333333,14.4333333
"152","portigliolo",9.76217388129084,1,8.84578,41.83618,"pietrosella",682,8.741819,41.795233
"21","bandipora",10.3920669077317,1,74.65,34.416667,"bandipur",300,74.6868815,34.5052269
"171","samarisland",10.5492387675215,1,125.061389,11.839722,"tutubigan",747,125.0388164,11.932458
"180","sangerardo",10.6816041135279,1,-88.37,13.72,"sesori",533,-88.4076664,13.8092506
"136","negrosisland",10.7940161301785,1,122.90167,9.72722,"mabinay",473,122.9082384,9.8245918
"83","hafriyah",10.8659726495505,1,44.78,32.92,"assuwayrah",931,44.8588889,32.9919444
"12","asturias",11.1484470690405,1,-85.85,13.17,"santamariadepantasma",708,-85.9080917,13.2531582
"60","dehrahwod",11.5659329467264,1,65.45,32.62,"dehrawud",229,65.5707852,32.640755
"208","urgun",11.6452578998905,1,69.17,32.96,"orgun",405,69.1268263,32.8615132
"38","cappagh",11.8124161530065,1,-6.75,54.52,"dungannon",484,-6.92778,54.5439
"54","claudy",11.8764586478892,1,-7.18333,55.01667,"eglinton",777,-7.15189,54.91153
"78","gaitania",12.1095818190844,1,-75.65,3.2,"planadas",1235,-75.6717191,3.0926862
"24","bardiya",12.3626737023647,1,81.33,28.24,"gulariya",963,81.4278984,28.3102323
"23","bara",13.2107456344061,1,85,27.03,"kalaiya",252,85.0649071,27.1341114
"142","ojosdeagua",13.3013011951241,1,-88.88,14.3,"cololaca",422,-88.8922742,14.1803778
"198","surkhet",13.449447311719,1,81.65,28.56,"birendranagar",1437,81.7787021,28.517456
"98","kankesanturai",13.4928446165015,1,80.17,9.82,"valvedditturai",1654,80.0479039,9.8052712
"151","pavarando",13.6271621616564,1,-76.44,7.25,"mutata",412,-76.5618277,7.2695925
"14","atteridgeville",14.3444835655484,1,28.2,-25.83,"pretoria",756,28.071389,-25.773333
"186","sarafand",14.3865916592932,1,35.37564,33.55993,"beirut",1413,35.2906904,33.4514857
"217","yaqubi",14.5309223685832,1,69.92,33.34,"khowst",279,69.989929,33.45715
"154","puertoclaver",14.8173159648284,1,-74.81,7.59,"elbagre",1244,-74.733333,7.7
"70","elmozote",15.0326927751793,1,-88.08,13.77,"cacaopera",667,-88.1126634,13.9020711
"58","dantewara",15.336225182919,1,81.4,18.983333,"gidam",545,81.3839326,18.8456296
"37","capdjinet",15.812651565518,1,3.89,36.92,"dalis",819,3.7205556,36.8777778
"212","vinchos",16.0764298446297,1,-74.22,-13.17,"ayacucho",586,-74.343857,-13.24994
"61","dembia",16.2084853273587,1,15.13,4.12,"gamboula",1223,15.17962,3.982152
"34","buenavista",16.2635245425149,1,-84.4,11.02,"elcastillo",967,-84.4303959,11.16393
"209","valachenai",16.3578136133651,1,81.6038,7.7782,"eravurtown",1678,81.5331995,7.9082772
"53","churchak",17.0155408073597,1,73.38,33.59,"rawalpindi",1333,73.2271423,33.5054233
"39","carrickmore",17.0588414398203,1,-7.31,54.6,"omagh",1711,-7.04621,54.59495
"29","belpahari",17.1831837624959,1,86.716667,22.483333,"chakulia",908,86.7642624,22.6320726
"170","sakhakot",17.2074326453708,1,71.83,34.32,"tordher",1515,71.9134576,34.4588365
"8","arambala",17.5857144800429,1,-88.08,13.77,"cacaopera",349,-88.1327991,13.9203429
"111","langadu",17.6140133074554,1,92.04,22.78,"rangamati",1218,92.153458,22.89933
"167","riyom",17.6910148916104,1,8.78,9.73,"vom",1477,8.713707,9.5842063
"28","belcoo",17.7119560557491,1,-7.63,54.37,"enniskillen",614,-7.871449,54.2964532
"15","aughnacloy",18.1863524106896,1,-6.97,54.25,"monaghan",265,-6.97469,54.41336
"4","akkar",18.6263605285456,1,36.25,34.67,"talkalah",1398,36.1328132,34.5328763
"172","sambat",18.6478691159343,1,72.36265,34.7795,"mingora",728,72.427294,34.9389236
"130","matakhan",18.6552718041296,1,68.79213,33.14641,"zarahsharan",801,68.9539593,33.2453091
"7","alingar",19.1239681257977,1,70.38,34.94,"nuristan",497,70.4788937,34.7881047
"107","kohali",19.4507224530917,1,75.066667,16.733333,"athni",1341,75.2322867,16.8070444
"133","nagaland",19.5942483963131,1,94.533333,26.333333,"mokokchung",1347,94.5624426,26.1584354
"182","sanpedro",19.9530897436056,1,-85.58,11.57,"altagracia",1466,-85.4675305,11.4277619
"63","dhading",20.0680306497302,1,85.16,27.89,"kathmandu",1431,84.99,27.99
"191","shalozan",20.4532441892915,1,69.7,33.94,"alihayl",1010,69.9193004,33.9158529
"92","julcamarca",20.7589407110968,1,-74.57,-12.88,"acobamba",1024,-74.448357,-13.02483
"160","qaratapa",20.8367156994527,1,44.41,35.47,"kirkuk",448,44.1833333,35.5
"97","kanak",20.8795341096528,1,66.85,29.8,"mastung",1498,66.7449227,29.9646018
"159","qantara",21.0135953338851,1,35.87,34.43,"tarabulusassam",703,36.0720045,34.5188666
"120","luricocha",21.5444459420837,1,-76.54,-10.43,"chaupimarca",1026,-76.7,-10.316667
"148","pantasma",22.2051986691103,1,-85.85,13.17,"santamariadepantasma",374,-85.9445064,13.3480867
"11","assams",23.3292670541264,1,92.866667,26,"hojai",1327,92.9375739,26.2006043
"50","chupan",23.7598503525147,1,-75.87,-11.25,"sanpedrodecajas",1535,-75.788745,-11.0507534
"22","banki",23.9094852676882,1,14.14,11.04,"mora",461,14.1524147,11.255801
"52","churcapampa",25.3053976435603,1,-74.57,-12.88,"acobamba",1019,-74.3866039,-12.7388243
"113","lasminas",25.6985792081669,1,-85.82,13.61,"wiwili",1452,-85.654178,13.776332
"187","saran",25.9020772680469,1,84.866667,25.966667,"marhaura",548,84.6250199,26.0502233
"150","patan",25.9083852461071,1,69.7,33.94,"alihayl",805,69.941634,33.821926
"218","zinica",26.079057637252,1,-85.39,13.23,"waslala",989,-85.3019883,13.4494053
"114","lata",26.414979665578,1,41.67,42.84,"tkvarcheli",1309,41.4811712,43.033102
"88","jandola",28.4984003680692,1,70.38,32.21,"tank",312,70.114444,32.333056
"207","udawalawe",28.5381776724746,1,80.71,6.65,"balangoda",1674,80.8986111,6.4738889
"85","huayllay",28.5494936869269,1,-76.3,-10.75,"tinyahuarco",1023,-76.3653,-10.9999
"79","ghaljo",29.8689308070085,1,71.65,34.3,"tangi",1495,71.4800262,34.5294722
"74","elsemillerobarranahualate",30.0223156663712,1,-91.3,14.2,"nuevaconcepcion",1314,-91.5263094,14.0423576
"188","sayidkaram",30.0335120071769,1,69.22,33.6,"gardez",1163,69.5261238,33.6881215
"104","kharprakhol",30.0986343500975,1,82.916667,20.483333,"kantabanji",1339,82.8627162,20.7504099
"145","padaviya",30.8931933227191,1,80.49,8.76,"vavuniya",769,80.7607389,8.8340998
"94","kajaki",31.0120173689526,1,64.82,32.07,"sangin",339,65.049683,32.270119
"190","shalobar",31.5430876437505,1,70.7,34.12,"acin",1009,70.7685119,33.8414148
"203","tapuna",32.4572947798511,1,-72.72,-12.87,"santaana",1565,-73.0166667,-12.8333333
"19","baliki",32.757250566258,1,121.484616,12.963906,"tambong",1575,121.774017,12.879721
"99","kantalai",34.4982411169306,1,81.22,8.58,"trincomalee",607,81.0069928,8.3512634
"59","daquq",35.6412905428597,1,44.63256,34.88808,"tozkhurmato",692,44.3236557,35.0844989
"156","qadis",35.7937424232671,1,63.12891,34.98735,"qalainaw",1158,63.4862036,34.8550848
"215","williamnagar",37.4136166669925,1,90.22,25.52,"tura",689,90.5920027,25.5313902
"65","doab",38.1642225727817,1,61.77589,34.94023,"qarahbagh",1133,62.173828,34.83617
"101","kawkareik",39.1372894362882,1,98.57,16.71,"maesot",705,98.24,16.555556
"80","ghaziabad",40.510417224674,1,70.44,34.44,"jalalabad",794,70.75,34.7
"121","madremia",41.1133877809923,1,-76.41,-8.42,"uchiza",1547,-76.2276337,-8.7444061
"205","thanchi",41.2390027086243,1,92.08,21.99,"lohagara",841,92.435696,21.8210961
"158","qansaxdheere",41.7480824556513,1,42.97,2.48,"dinsor",1620,42.7857583,2.808958
"122","maelaen",42.0891046994635,1,99.21,17.6,"thoen",1693,98.8583309,17.7760319
"100","karumafalls",42.2476861683332,1,32.53,1.99,"apac",1709,32.2460318,2.2436968
"202","tamenglong",43.0244602758671,1,93.116667,25.166667,"mahur",363,93.495292,24.9879342
"189","senapati",44.806699294355,1,94.11,25.67,"kohima",362,94.0265,25.2727
"169","rumichaca",45.392296667201,1,-73.98,-13.01,"sanmiguel",1558,-73.599167,-13.180278
"103","khalanga",49.1126772734927,1,81.73,28.83,"narayan",1432,82.22,28.73
"135","nawa",49.7683900220835,1,66.27,33.37,"gazab",634,66.2917573,33.8183376
"155","puntagorda",54.9714017806717,1,-83.77,12.01,"bluefields",459,-83.7763416,11.5131021
"213","wadh",55.729190278574,1,66.6,27.8,"khuzdar",316,66.3706084,27.3405051
"48","chishtisharif",56.6480975626246,1,63.14,34.39,"awbeh",1130,63.75288,34.34013
"95","kalimela",57.3030957397843,1,81.77558,17.44088,"rampachodavaram",435,81.4272116,17.8364794
"134","namhkan",59.1631434919896,1,97.74,22.95,"lashio",1427,97.163333,22.965
"18","balcon",60.928549415127,1,-74.57,-11.35,"mazamari",1528,-74.6,-11.9
"13","ataghar",80.262868041486,1,66.90833,32.10575,"qalat",1124,67.5231713,31.6071805
"147","panjwayi",80.4704214328026,1,65.69,31.61,"qandahar",1156,65.1907309,31.0243075
"55","codazzi",95.2501611248201,1,-69.798969,4.445515,"cumaribo",286,-69.74533,3.58583
"86","iferouane",117.904424428275,1,7.33,18.82,"arlit",993,8.42,19.0625
"193","siberia",167.908997138708,1,96.379167,61.676944,"baykit",1248,99.1966559,61.0137097
