"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"196","thohoyandouvenda",4.49372907363664,1,30.48,-22.95,"thohoyandou",1637,30.4464797,-22.9761353
"102","krylatskoye",4.50512665224003,1,37.41667,55.71667,"moscow",1605,37.408013,55.756838
"103","krylatskoye",4.50512665224003,1,37.41667,55.71667,"moscow",1605,37.408013,55.756838
"167","renca",4.9790152278332,1,-70.72552,-33.4443,"santiago",1226,-70.7346887,-33.4000717
"127","mardinprov",5.01778087445403,1,40.78,37.33,"mardin",1708,40.7244774,37.3211634
"37","carolina",5.08236874673443,1,-88.32,13.89,"magdalena",878,-88.3057061,13.8462374
"73","gauhati",5.22359247038792,1,91.75,26.19,"guwahati",243,91.7362365,26.1445169
"191","tangcal",5.24909487976314,1,124.063611,7.975833,"munai",1047,124.034,8.013
"29","bintjubayl",5.26983626761983,1,35.40251,33.11023,"ainebel",1401,35.4124355,33.1570063
"15","bachdjerah",5.5798167629706,1,3.18,36.72,"algiers",647,3.1180085,36.7261506
"124","mahottari",5.67982073691125,1,85.80081,26.64711,"jaleswar",372,85.8230251,26.6943279
"125","mandozayi",5.81860853552083,1,69.92041,33.33951,"khost",799,69.871653,33.3066948
"89","jezzin",5.88222739769759,1,35.61,33.59,"beirut",702,35.5862413,33.5408371
"108","lacisterna",6.03819482720162,1,-70.63419,-33.58331,"santiago",847,-70.664167,-33.535
"109","ladha",6.04408179434074,1,72.43,33.77,"sanjwal",464,72.4860955,33.7978438
"151","panayisland",6.07082839046231,1,122.5094,11.3684,"agambulong",1593,122.5372741,11.3209094
"144","nuevoedendesanjuan",6.17742601316909,1,-88.54,13.84,"ilobasco",239,-88.485189,13.8242243
"198","tiuccia",6.27450011826072,1,8.76789,42.01454,"appietto",241,8.738417,42.0665819
"43","ciudadela",6.32526048907797,1,-58.481,-34.61082,"buenosaires",1210,-58.5432951,-34.6352975
"123","mahayahay",6.42112603592657,1,124.22,8.17,"iligan",1587,124.2407703,8.2242457
"115","laspacayas",6.42494511908428,1,-90.77,15.4,"chicaman",1316,-90.744827,15.45268
"118","levie",6.43046938781242,1,9.17102,41.74813,"zonza",1305,9.123025,41.702751
"215","zaharaniriver",6.43349018066872,1,35.48,33.41,"annabatiyatattahta",1417,35.4324275,33.4521137
"26","benchoud",6.46697337759841,1,3.89,36.92,"dalis",817,3.880556,36.862222
"71","fincasacchen",6.64617431951208,1,-90.28,15.82,"chisec",1315,-90.230759,15.783471
"175","sanpedro",6.69951109017532,1,-88.03,13.61,"jocoro",677,-88.0912974,13.6015099
"87","jamshoro",6.809717802421,1,68.3,25.36,"hyderabad",376,68.2743064,25.4168681
"24","baytlif",7.01225094046479,1,35.40251,33.11023,"ainebel",1400,35.3327275,33.1336734
"111","laflorida",7.28214211227195,1,-70.63419,-33.58331,"santiago",1224,-70.583333,-33.533333
"51","dhuluiyah",7.47389268248616,1,44.15,34.02,"balad",306,44.2159065,34.0591105
"5","aintagourait",7.49256292158665,1,2.68,36.64,"algiers",814,2.609444,36.603611
"176","santarita",7.49606057791892,1,-89.05,14.18,"sanfranciscomorazan",1296,-89.0047868,14.1285819
"200","trescalles",7.57624810593151,1,-88.6,13.43,"sanagustin",1299,-88.6693455,13.4209575
"22","batikot",7.67325446706507,1,70.87,34.25,"batsawul",787,70.78821,34.2631487
"184","sididaoud",7.68445830984147,1,3.89,36.92,"dalis",828,3.8583028,36.8556063
"130","mercedesumana",7.79775808110549,1,-88.57,13.55,"colon",295,-88.5,13.566667
"190","taftanaz",7.94915544768871,1,36.7138,35.95664,"binnish",1685,36.786667,35.996944
"18","baksa",8.36747569665578,1,77.933333,27.716667,"iglas",430,77.8513786,27.7362406
"188","sunsari",8.4110965712406,1,87.1,26.61,"inaruwa",373,87.1821709,26.6275522
"77","gizab",8.4286442017945,1,66.27,33.37,"gazab",631,66.2129178,33.4290146
"107","laceiba",8.50107188654849,1,-84.22,12.15,"elrama",712,-84.2828083,12.1043278
"138","nagornokarabakh",8.74931094128337,1,46.75,39.82,"xankendi",1212,46.677344,39.8754355
"98","kawkaba",8.90530527650207,1,35.59,33.34,"marjuyun",1406,35.6433333,33.4066667
"95","kanyosha",8.94453116876774,1,29.35,-3.37,"bujumbura",517,29.3598782,-3.4502773
"78","gortin",9.1148740589544,1,-7.37886,54.71778,"newtownstewart",1105,-7.23742,54.7183
"203","usme",9.21966656188041,1,-74.04,4.44,"bogota",1249,-74.1173893,4.4703046
"178","sarband",9.39469312459626,1,71.54,34.01,"peshawar",467,71.4867333,33.9378609
"16","bagramairfield",9.43047414053183,1,69.32,35.02,"mahmuderaqi",396,69.273331,34.944168
"110","laesperanza",9.5194796550438,1,-84.46,11.69,"nuevaguinea",976,-84.3739189,11.7044248
"72","gandara",9.54522198196836,1,80.53,5.96,"matara",1652,80.6132646,5.9376403
"60","eglish",9.69632565982504,1,-0.02,52.99,"boston",1104,0.0837728,53.0506292
"44","corcona",10.0402044559859,1,-76.67,-11.92,"lima",582,-76.5784427,-11.9095906
"66","elsalitre",10.1260285510191,1,-89.22,13.97,"sansalvador",1277,-89.2110559,14.0611052
"114","lasbela",10.2560031882698,1,66.62,25.81,"uthal",1500,66.5223902,25.837675
"17","bakakhel",10.3476377168515,1,70.6,32.99,"bannu",1483,70.5,32.95
"121","maderanegra",10.6124187280533,1,-87.17,12.53,"elrealejo",1457,-87.26,12.5672222
"28","bhojpur",10.7834056499474,1,84.416667,25.483333,"jagdispur",1331,84.5222189,25.466155
"35","cabragh",11.1063887373353,1,-6.75,54.52,"dungannon",1100,-6.91364,54.49023
"146","orissa",11.2570515351343,1,85.1,20.85,"angul",914,85.0985236,20.9516658
"99","kayts",11.35134176632,1,80.01,9.67,"jaffna",1655,79.9080757,9.6525626
"65","elnaranjo",11.4161211845111,1,-86.28,13.53,"telpaneca",710,-86.2416142,13.4338934
"25","beida",11.4224451584796,1,21.62,32.76,"albayda",1418,21.741667,32.766389
"68","eshkol",11.5335654336127,1,34.61,31.32,"ofaqim",1387,34.489593,31.30839
"212","yari",11.6444799011358,1,-78.72,2.1,"pizarro",1250,-78.61664,2.08337
"129","meanguera",11.6457393890201,1,-88.08,13.77,"cacaopera",294,-88.15,13.85
