"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"39","cloughmills",5.18586476702013,1,-6.41087,55.011,"dunloy",778,-6.33254,54.99904
"84","hungduan",5.40451576779477,1,121.016042,16.879661,"hapao",1582,121,16.833333
"165","pitayo",5.5399042379524,1,-76.33,2.79,"jambalo",1243,-76.3,2.75
"95","kanju",5.61438451664788,1,72.36,34.78,"mingaora",1002,72.3459123,34.8292567
"180","sanlorenzodam",5.69948400387795,1,-89.76,13.98,"atiquizaya",425,-89.7837404,14.0260037
"60","dulje",5.84387499186267,1,20.82194,42.38361,"peqan",1394,20.8821146,42.4115106
"17","arnoun",6.04344725664323,1,35.59,33.34,"marjuyun",699,35.525878,33.3315082
"30","catembe",6.09313735664079,1,32.57,-25.95,"maputo",1423,32.557362,-26.003799
"115","lascondes",6.12137660151422,1,-70.58024,-33.46069,"santiago",848,-70.55,-33.411667
"110","lamphu",6.28660421937684,1,101.82,6.43,"narathiwat",1692,101.8128252,6.3736079
"54","dhand",6.38238014372795,1,73.95,31.2,"baipheru",1493,73.9003415,31.2386314
"55","dhand",6.38238014372795,1,73.95,31.2,"bhaipheru",1493,73.9003415,31.2386314
"36","chrea",6.47479876257831,1,2.8277,36.47004,"algiers",1184,2.876389,36.426944
"98","kfarazza",6.50020283074548,1,34.46667,31.5,"gaza",1391,34.532291,31.483416
"122","macachacra",6.50816770809633,1,-74.25,-12.95,"huanta",1546,-74.2083943,-12.9923771
"205","tsakane",6.65589901244563,1,28.37,-26.29,"johannesburg",1638,28.366667,-26.35
"158","parakkadavu",6.97421989156168,1,76.4,10.2,"kochi",1349,76.336593,10.2055089
"114","lasana",7.01665542708129,1,75.583333,24.933333,"rawatbhata",1343,75.559693,24.8737718
"195","sidibakhti",7.11159534263231,1,-1.02,35.54,"alamriyah",826,-1.0143426,35.6039298
"102","khlongtoey",7.19106381021074,1,100.53,13.67,"bangkok",1690,100.583889,13.708056
"140","nancefield",7.34151612009565,1,27.84,-26.28,"johannesburg",1633,27.90645,-26.25169
"1","abdulkhel",7.34208211066352,1,70.7,34.12,"acin",496,70.6961111,34.0538889
"58","dickwella",7.38702161150289,1,80.7911,6.024,"tangalla",1072,80.73323,5.990751
"107","lamerced",7.54783511047869,1,-75.34,-11.13,"sanramon",742,-75.335,-11.061944
"171","ramain",7.57275528355912,1,124.29,8,"marawi",1597,124.35,7.966667
"61","eastchamparan",7.68035687308541,1,84.91,26.66,"motihari",242,84.8567932,26.6098139
"150","orlando",7.70290733254015,1,27.8725,-26.1625,"johannesburg",1634,27.9117185,-26.22235
"63","elcentro",7.97949885767728,1,-74.35,4.62,"bogota",1233,-74.297333,4.570868
"26","braachit",8.18883309349909,1,35.40251,33.11023,"ainebel",1402,35.4439843,33.1753011
"211","vosloorus",8.34898017883702,1,28.13,-26.33,"johannesburg",263,28.2075,-26.358333
"143","nawabad",8.96210589282269,1,68.79213,33.14641,"zarahsharan",1153,68.7199688,33.1997675
"189","saqlawiah",9.01810951366698,1,43.77,33.36,"alfallujah",308,43.683333,33.396389
"155","palaly",9.12058740980095,1,80.17,9.82,"valvedditturai",1084,80.0898085,9.7982377
"146","nembecreek",9.26051832382722,1,7,4.78,"portharcourt",1473,7.049861,4.8471654
"38","clogher",9.45028153483569,1,-7.3,54.38333,"fivemiletown",1102,-7.16452,54.4143
"8","alfonsobonillaaragon",9.48869640281836,1,-76.3,3.54,"cali",1229,-76.3854001,3.5398319
"18","awjah",9.82643749058733,1,43.68,34.61,"tikrit",927,43.733056,34.533056
"217","whitecross",10.0040062468196,1,-6.35,54.18,"newry",1721,-6.48616,54.22129
"4","adekar",10.2697660707345,1,4.77,36.65,"timazrit",813,4.669073,36.6942103
"65","elnispero",10.2905187647685,1,-86.28,13.53,"telpaneca",711,-86.234245,13.4484734
"116","laudium",10.4493902402659,1,28.2,-25.83,"pretoria",1630,28.106667,-25.788056
"82","huaripampa",10.5458545341517,1,-77.80901,-9.04692,"caras",1540,-77.8145701,-8.9517303
"77","hospitalet",10.6303423005981,1,0.97,41.08,"montroigdelcamp",1066,0.9237179,40.990924
