"","CityGTD","DistKM","fake","long","lat.x","name","X","lon","lat.y"
"166","sanaandaj",3.91894222157642,1,47.02,35.3,"sanandaj",551,46.9861647,35.3218748
"200","tangmarg",4.00586599159529,1,74.383333,34.05,"gulmarg",1352,74.4247164,34.0608525
"35","brazzaville",4.05469425173229,1,15.26,-4.25,"brazzaville",232,15.291944,-4.267778
"97","jusici",4.06393951356773,1,19.06,44.47,"petkovci",656,19.0483,44.5056
"128","mohammadia",4.42351768115611,1,3.18,36.72,"algiers",1193,3.133333,36.733333
"126","meadowlands",4.46328528076747,1,27.8725,-26.1625,"johannesburg",478,27.8765626,-26.2026186
"93","huizucar",4.49693159884311,1,-89.2,13.57,"sansalvador",1281,-89.2360234,13.5902564
"111","laoroyo",4.57566864581259,1,-75.94,-11.52,"laoroya",1544,-75.8984154,-11.5254018
"161","rukhi",4.75812642975952,1,41.86,42.5,"zugdidi",1310,41.8511887,42.542335
"58","dunmurry",4.76332283943424,1,-6.06,54.52,"lisburn",268,-6.0072184,54.5498161
"158","rasharkin",4.82003869387957,1,-6.55695,54.95091,"kilrea",1720,-6.48243,54.95686
"185","semender",4.82398463762455,1,47.35,42.97,"leninkent",1608,47.403611,42.988333
"211","yakouren",4.88628732470682,1,4.47,36.77,"buzqan",407,4.4386329,36.7339217
"150","poblacion",5.00907288957769,1,125.63,7.11,"davaocity",1596,125.6040785,7.072838
"41","campana",5.09568012851772,1,-89.03,13.5,"sansalvador",1269,-89.0770584,13.4991038
"170","sanjeronimo",5.14266901823792,1,-88.26,13.64,"chapeltique",889,-88.3008448,13.6637732
"52","cullyhanna",5.34574954730751,1,-6.6,54.08333,"crossmaglen",615,-6.58726,54.13077
"120","mamond",5.39056022887278,1,68.19484,26.91067,"bhiria",1503,68.1533539,26.8793134
"121","manipurs",5.70554636237566,1,93.883333,24.616667,"mayangimphal",1344,93.9062688,24.6637173
"84","guindulungan",5.75842425974403,1,124.4,6.97,"dalican",1581,124.348056,6.965833
"116","likoni",5.85206089061982,1,39.66,-4.04,"mombasa",945,39.6614446,-4.0929017
