"","merge","lng","lat","population"
"1","Abisinia, nicaragua","-85.77948","13.29787","0"
"2","Abonema, nigeria","6.77223","4.73171","0"
"3","abra province, philippines","120.7291","13.4437","2971"
"4","Achini Bala, pakistan","71.46633","33.96109","0"
"5","Acikkoy, turkey","41.1335","37.16529","423"
"6","Acomayo, peru","-71.68111","-13.91667","0"
"7","Adado, somalia","46.62413","6.13929","0"
"8","Adana Province, turkey","35.32889","37.00167","1248988"
"9","Aderbissinat, niger","7.8945","15.6275","0"
"10","Agri Province, turkey","43.05139","39.71944","92022"
"11","Agua Fria, nicaragua","-87.28486","12.77337","0"
"12","Ahmad Wal, pakistan","65.93542","29.42069","0"
"13","Al-Salam, sudan","33.4412","14.2801","0"
"14","Altinsu, turkey","44.55602","37.3252","0"
"15","Ama Khel, pakistan","70.52333","32.38333","0"
"16","Amarilis, peru","-76.21117","-10.00461","0"
"17","Ambar, peru","-77.37347","-10.89379","0"
"18","Ambar, pakistan","73.35649","32.24793","0"
"19","Ambarli, turkey","40.27806","37.22861","0"
"20","Amparai, srilanka","81.68202","7.29754","18348"
"21","Anahao Daan, philippines","126.155","8.96361","0"
"22","Anamaduwa, srilanka","80.008","7.8786","0"
"23","Ancos, peru","-78.10429","-8.48942","0"
"24","Andajes, peru","-76.88059","-10.80385","0"
"25","Angoor Ada, pakistan","69.27589","32.51859","0"
"26","Angulana, srilanka","79.872","6.7993","0"
"27","Anilmis, turkey","42.51243","37.39843","0"
"28","Arabe, peru","-76.04361","-9.05583","0"
"29","Arapai, uganda","33.62854","1.7795","0"
"30","Arhanga, pakistan","70.78952","33.77761","0"
"31","Asillo, peru","-70.35","-14.78333","0"
"32","Atiak, uganda","32.12273","3.26075","0"
"33","Atlanta, nicaragua","-84.01188","11.57655","0"
"34","Awdiinle, somalia","43.40875","3.17079","0"
"35","Ayahuanco, peru","-74.28853","-12.62879","0"
"36","Ayapal, nicaragua","-85.40118","13.77888","0"
"37","Aydinlikevler, turkey","32.87465","39.96266","0"
"38","Bacolor, philippines","120.652","15.0003","0"
"39","Badiana, senegal","-16.43806","12.91611","0"
"40","Baggao, philippines","121.67198","18.28208","0"
"41","Baglar, turkey","44.51639","37.28806","0"
"42","Bagzai, pakistan","70.33339","33.52998","0"
"43","Bahrain, pakistan","72.54768","35.20726","0"
"44","Baka Khel, pakistan","70.50255","32.97245","0"
"45","Bakka Khel, pakistan","70.50255","32.97245","0"
"46","Balcon, peru","-74.66522","-11.88393","0"
"47","Bam Khel, pakistan","72.53027","34.09892","0"
"48","Ban Ai Yoe Baro, thailand","101.16667","5.98333","0"
"49","Banawan, philippines","123.44783","13.03575","0"
"50","Banda Daud Shah, pakistan","71.18465","33.27012","0"
"51","Bang Khao, thailand","100.1","14.85","0"
"52","Bani Bangou, niger","2.7037","15.0416","0"
"53","Ban Rae, thailand","101.19208","6.12214","0"
"54","Ban Sala, thailand","100.82481","19.17694","0"
"55","Baraawe, somalia","44.0297","1.1132","0"
