"","merge","lng","lat","population"
"1","Ablah, lebanon","35.96806","33.87083","0"
"2","Abu Gharah, iraq","44.8209","34.0387","0"
"3","Abu Gharaq, iraq","44.34397","32.52711","0"
"4","Abu-Ghawsh, israel","35.1093","31.80592","5707"
"5","Abu Ghraib district, iraq","44.18477","33.30563","9e+05"
"6","Abu Karma, iraq","44.72452","33.90691","0"
"7","Abu Khamis, iraq","44.66583","33.60611","0"
"8","Abu Maria, iraq","42.59886","36.42768","0"
"9","Aceh Besar, indonesia","98.1269","4.4248","0"
"10","Acilia, italy","12.33078","41.76337","129362"
"11","Adsheet, lebanon","35.48028","33.27722","0"
"12","Aghalane, ireland","-7.4775","54.12278","0"
"13","Aghayir, iraq","44.71048","34.37738","0"
"14","Ahmadi, kuwait","48.08389","29.07694","637411"
"15","Aitit, lebanon","35.34361","33.21944","0"
"16","Akbara, israel","35.49545","32.94132","0"
"17","Al-Abbarah, iraq","44.87849","33.94523","0"
"18","Al-Andalus, iraq","44.33392","33.31239","0"
"19","Al-Arabi, iraq","44.62214","32.11732","0"
"20","Al-Askari, iraq","44.90978","32.33591","0"
"21","Al-Awjah, iraq","43.73333","34.53333","0"
"22","Al-Ayshiyah, lebanon","35.55667","33.40889","0"
"23","Al-Batha, iraq","45.87083","31.12598","0"
"24","Al-Biqa, lebanon","35.90203","33.84675","78145"
"25","Al-Dubat, iraq","46.07879","31.70221","0"
"26","Fallujah district, iraq","43.8084","33.36071","0"
"27","Al-Hamza, iraq","44.27889","32.81974","0"
"28","Al-Hawija, iraq","42.36667","34.08333","0"
"29","Al-Husseiniya, iraq","44.41667","33.54667","0"
"30","Ali Rash, iraq","43.69703","35.6728","0"
"31","Al-Ishaqi, iraq","43.98697","34.04764","0"
"32","Al Jahiliyah, lebanon","35.51111","33.66722","0"
"33","Al-Khadraniyah, iraq","43.24762","35.61156","0"
"34","Al-Khiam, lebanon","35.45","33.70667","0"
"35","Al-Khiyam, lebanon","35.61278","33.32778","0"
"36","Al-Kifl, iraq","44.38168","32.23019","0"
"37","Al-Mansuriyah, iraq","44.86318","34.06912","0"
"38","Al-Marawiyah, iraq","44.56379","33.68156","0"
"39","Almas, iraq","46.21463","31.40748","0"
"40","Al-Mazari, iraq","44.18477","33.30563","9e+05"
"41","al-Nabatiyah, lebanon","35.4925","33.36389","0"
"42","Al-Nahrawan, iraq","45.15885","32.92257","0"
"43","Al-Rashad, iraq","43.9414","33.41562","0"
"44","Al-Tariq al-Jadidah, lebanon","35.49823","33.87105","0"
"45","Anan, lebanon","35.50889","33.56806","0"
"46","Ankawah, iraq","43.39701","35.65541","0"
"47","Najafgarh, india","76.98334","28.61128","0"
"48","Antagarh, india","81.1586","20.09256","0"
"49","Antilyas, lebanon","35.59306","33.915","0"
"50","Arab Salim, lebanon","35.51583","33.42972","0"
"51","Ardenza, italy","10.31667","43.51667","0"
"52","Argaman, israel","35.5","32.16667","0"
"53","Arij, iraq","43.20871","36.18724","0"
"54","Arnun, lebanon","35.52639","33.33167","0"
"55","Ar Radwaniyah, iraq","44.00498","33.19067","0"
"56","Ar-Rumaylah, lebanon","35.91389","34.41167","0"
"57","Ash-Shiyah, lebanon","35.51861","33.86444","0"
"58","Ash-Shuwayfat, lebanon","35.51778","33.80861","0"
"59","Askari, iraq","44.90978","32.33591","0"
"60","Atshana, iraq","44.00951","35.40628","0"
