"","merge","lng","lat","population"
"123","Dubli, india","76.87921","30.24349","0"
"124","Clermont-Ferrand, france","3.08628","45.77966","138681"
"125","Dury, france","2.2707","49.84731","0"
"126","Dvani, georgia","43.86424","42.16968","0"
"127","Eberswalde-Finow, germany","13.81951","52.83492","41980"
"128","Ejersa Dera, ethiopia","38.58333","8.58333","0"
"129","El Arroyo, guatemala","-89.88333","14.75","0"
"130","El Caribe, guatemala","-90.46667","16.48333","0"
"131","El Cerrito, guatemala","-90.45","14.43333","0"
"132","El Chorro, guatemala","-92.08625","15.38104","0"
"133","El Juleque, guatemala","-89.76667","16.9","0"
"134","El Plomo, honduras","-86.25","14.58333","0"
"135","El Rodeito, guatemala","-89.45","14.53333","0"
"136","Erbenheim, germany","8.30283","50.05617","0"
"137","Ernakulam, india","76.26022","9.93988","604696"
"138","Eshera, georgia","40.93583","43.04056","0"
"139","Figoni, france","8.71869","41.75293","0"
"140","Filfil, eritrea","38.93722","15.63444","0"
"141","Friedrichshofen, germany","11.37941","48.77525","0"
"142","Ganderbal, india","74.7783","34.22992","16271"
"143","Gangalur, india","81.02421","18.75409","0"
"144","Ganmukhuri, georgia","41.62772","42.42532","0"
"145","Ghanpur, india","79.36667","17.85","0"
"146","Ghat, india","84.0066","27.12116","0"
"147","Ghinda, ethiopia","40.35","4.2","0"
"148","Ghisoni, france","9.21034","42.10262","295"
"149","Glessen, germany","6.74934","50.96742","0"
"150","Goa, india","73.82624","15.49574","65586"
"151","Godey, ethiopia","43.59778","5.88722","0"
"152","Golfe Juan, france","7.07744","43.56812","0"
"153","Gori, india","79.7871","27.1824","0"
"154","Goudi, greece","23.76667","37.98333","0"
"155","Govindpur, india","85.33389","21.48492","0"
"156","Gremmendorf, germany","7.67421","51.92892","0"
"157","Groningen, germany","11.19811","51.93654","0"
"158","Grossburgwedel, germany","9.85757","52.49271","0"
"159","Gudava, georgia","41.54282","42.64946","0"
"160","Gujarpur, india","79.59085","27.5566","0"
"161","Gul, india","76.83787","17.33763","483615"
"162","Guman, india","73.64441","24.38807","0"
"163","Gyzi, greece","23.74555","37.99102","0"
"164","Hari, india","77.31977","28.41252","1220229"
"165","Hariharganj, india","84.28042","24.54794","0"
"166","Harike, india","74.94702","31.16381","0"
"167","Haryana state, india","77.31977","28.41252","1220229"
"168","Hira, india","79.4302","27.09992","0"
"169","Homps, france","0.85691","43.81","88"
"170","Huzurabad, india","79.39876","18.20089","0"
"171","Idaux-Mendy, france","-0.91581","43.18097","282"
"172","Iholdy, france","-1.18077","43.28264","0"
"173","Immenstaad, germany","9.36667","47.66667","5946"
"174","Ingiri, georgia","41.81218","42.49632","0"
"175","Iraklio, greece","25.14341","35.32787","137154"
"176","Ixtan, guatemala","-91.9","14.31667","0"
"177","Jabal, india","108.0148","-7.0746","0"
"178","Jagpura, india","74.35453","23.86328","0"
"179","Jagra, india","108.5317","-7.0212","0"
"180","Jalpaiguri District, india","88.73333","26.51667","107832"
"181","Jammu + Kashmir State, india","74.86911","32.73569","465567"
"182","Jammu State, india","74.86911","32.73569","465567"
"183","Jamuguri, india","92.93113","26.72171","0"
"184","Jhanger, india","74.05","33.26667","0"
"185","Jhugian, india","76.59089","30.12275","0"
"186","Juan-les-Pins, france","7.11309","43.56945","0"
"187","Jullundur District, india","75.57917","31.32556","785178"
"188","Justo Rufino Barrios, guatemala","-91.53333","14.86667","0"
"189","Kab, india","69.01849","34.50032","0"
