"","merge","lng","lat","population"
"1","Aarhus, denmark","10.21076","56.15674","237551"
"2","Agua Bonita, colombia","-72.58893","2.57963","0"
"3","Akhaura, bangladesh","91.20768","23.87243","0"
"4","Alisales, colombia","-77.18415","1.02742","0"
"5","Altaquer, colombia","-78.09143","1.24663","0"
"6","Alto de Mulatos, colombia","-76.53407","8.12941","0"
"7","Alto de San Juan, colombia","-75.32255","4.20575","0"
"8","Alto Jordan, colombia","-73.74345","6.20473","0"
"9","alvira, colombia","-71.7186","2.90402","0"
"10","Amaceri, colombia","-74.7225","7.73727","0"
"11","Amanatpur, bangladesh","89.04963","23.8442","0"
"12","Amazonas State, brazil","-41.83333","-22.05","0"
"13","Am Dam, chad","20.48333","12.76667","0"
"14","Anderlecht, belgium","4.31454","50.83619","0"
"15","Angkor, cambodia","104.97162","10.9503","0"
"16","Angostura de Paine, chile","-70.70806","-33.92726","0"
"17","Anholt, denmark","11.54552","56.70361","160"
"18","Anjouan, comoros","44.39944","-12.16672","23594"
"19","Anlong Veng, cambodia","104.08107","14.23223","0"
"20","Antuco, chile","-71.67467","-37.33007","0"
"21","Las Flores, colombia","-74.8263","11.04036","0"
"22","Arboleda Corregimiento, colombia","-74.62687","8.81723","0"
"23","Argentina, colombia","-75.98","2.19611","3082"
"24","Aserrio, colombia","-77.10877","7.43311","0"
"25","Astillero, colombia","-74.61136","8.28812","0"
"26","Atacora, benin","1.37962","10.30416","80892"
"27","Atghoria, bangladesh","88.78787","24.20294","0"
"28","Baghmara, bangladesh","90.98075","23.3287","0"
"29","Bagmara, bangladesh","90.21803","23.04127","0"
"30","Bagre, colombia","-74.80951","7.60347","40798"
"31","Bajo Calima, colombia","-76.97444","3.99639","0"
"32","Bajo Lircay, chile","-71.31721","-35.49772","0"
"33","Balsillas, colombia","-75.60601","1.19891","0"
"34","Bardai, chad","17.00121","21.35494","0"
"35","Battambang Province, cambodia","103.19822","13.10271","150444"
"36","Belleza, colombia","-73.96167","5.86371","1649"
"37","Bello Antioquia, colombia","-75.55795","6.33732","392939"
"38","Berlin, colombia","-74.34345","10.14492","0"
"39","Bermeja, ecuador","-77.07944","0.28306","0"
"40","Bete, colombia","-76.7812","5.99458","0"
"41","Bhabanipur, bangladesh","89.22193","23.89087","0"
"42","Bierset, belgium","5.45102","50.65496","0"
"43","Birohe, burundi","29.9581","-3.4341","0"
"44","Bishnupur, bangladesh","87.31991","23.0738","64041"
"45","Bitare, burundi","29.9158","-3.2313","0"
"46","Blanqueado, chile","-70.7183","-33.43435","0"
"47","Borovac, croatia","18.33972","44.45678","0"
"48","Bosa, colombia","-75.43333","9.21667","0"
"49","Buganda, burundi","29.1944","-2.9663","0"
"50","Buganda Commune, burundi","29.1944","-2.9663","0"
"51","Buhonga, burundi","30.3319","-3.6524","0"
"52","Bukeye, burundi","29.6383","-3.1921","0"
"53","Burambi, burundi","29.54262","-3.81985","0"
"54","Buruhukiro, burundi","29.5159","-3.9984","0"
"55","Busoni, burundi","30.2177","-2.5286","0"
"56","Butezi, burundi","30.15167","-3.42278","0"
"57","Butwe, burundi","29.6741","-3.0589","0"
"58","Buyengero, burundi","29.54262","-3.81985","0"
"59","Buyenzi, burundi","29.3459","-3.6171","0"
"60","Bwambarangwe, burundi","30.33284","-2.58314","0"
"61","Cabanas, colombia","-77.75524","1.04377","0"
"62","Cacarica, colombia","-77.18064","7.72368","0"
"63","Cagizo, burundi","30.293","-2.6776","0"
"64","Cajapi, colombia","-78.71199","1.5966","0"
"65","Calala, bolivia","-67.55","-21.55","0"
"66","Calasanz, colombia","-75.5985","6.26076","0"
"67","Calderas, colombia","-76.04749","2.63901","0"
"68","Calima, colombia","-76.97444","3.99639","0"
"69","Callejas, colombia","-76.14807","8.1475","0"
"70","Campanario, colombia","-75.76132","8.42911","0"
"71","Campo Capote, colombia","-73.91889","6.61719","0"
"72","Campos de Jordao, brazil","-45.59139","-22.73944","53319"
"73","Canaveral, colombia","-74.55911","10.48434","0"
"74","Canito, colombia","-75.41968","9.61708","0"
"75","Caqueta P., colombia","-75.54667","1.65952","0"
"76","Casacara, colombia","-73.26087","9.83276","0"
"77","Casanare, colombia","-72.39586","5.33775","61029"
"78","Castilla, colombia","-73.67987","3.82845","1543"
"79","Casuarito, colombia","-67.64083","5.68194","0"
"80","Catonou, benin","2.41833","6.36536","690584"
"81","Cecilia, colombia","-77.21845","1.56098","0"
