"","eventid","iyear","country_txt","region_txt","pop.that.year","Rel.CS","inUC","aroundUC","Rank01.C","Rank01.W","capital","largestC","largest.UC","WC.UC.dist.km","TUPscale","PROPscale","HUMscale","Extra.WAR.In","Extra.WAR.Out","Intra.WAR","Inter.WAR","coast.dist","coast.dist.MIN","coast.dist.MAX","access","access.MAX","light","light.MAX","nldi","nldi.MAX","urbn.cover","city.gdp","gdp.MAX","density","density.MAX","density.growth","density.growth.MAX","EN.URB.MCTY.TL.ZS","SP.URB.TOTL.IN.ZS","EN.URB.LCTY.UR.ZS","latitude","longitude","WCUC.city.old","DV.Target.Urban","DV.Target.Crowded","DV.Target.Connected","DV.Target.Coastal"
"30504",200408090002,2004,"turkey","Middle East & North Africa",10123352,1,1,1,1,0.999837139791539,0,1,1,10.6970555938571,7,1,4,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1755,2141.6,0.329394387001477,0.461538461538462,31.7873021925815,67.18,22.5429776957651,41.1,29,"istanbul",0.822063492063492,0.754346118575383,0.98015873015873,0.982591876208897
"30505",200408090001,2004,"turkey","Middle East & North Africa",10123352,1,1,1,1,0.999837139791539,0,1,1,10.6970555938571,7,1,4,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1755,2141.6,0.329394387001477,0.461538461538462,31.7873021925815,67.18,22.5429776957651,41.1,29,"istanbul",0.822063492063492,0.754346118575383,0.98015873015873,0.982591876208897
"30484",199907300003,1999,"turkey","Middle East & North Africa",18553,0.00216908028399601,0,1,0.776437847866419,0.830029358043817,0,0,1,32.5608887810254,7,1,4,0,0,1,1,0,0,517,504,504,49,63,0.556508183479309,0.981698041653633,7,25,104,1347,1865.6,0.373637264618434,0.509433962264151,29.1494512246758,64.223,21.3967757004647,41,28.59,"gurpinar",0.406596176482048,0.709930994667168,0.254540598290598,1
"30503",199903180002,1999,"turkey","Middle East & North Africa",8553323,1,1,1,1,0.999808742385556,0,1,1,10.6970555938571,2,1000,4,0,0,1,1,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1530.8,1865.6,0.37434554973822,0.509433962264151,29.1494512246758,64.223,21.3967757004647,41.1,29,"istanbul",0.822063492063492,0.761323429890737,0.98015873015873,0.982591876208897
"30518",199809090001,1998,"turkey","Middle East & North Africa",4076,0.000487191329244255,0,0,0.439703153988868,0.531570544992209,0,0,0,129.132385416404,7,1,4,0,0,1,0,103,0,517,15,504,12,63,0.711485868358612,0.981698041653633,0,9,104,119.2,1811.2,0.150943396226415,0.509433962264151,28.8461263683405,63.703,21.4240139556445,37.92,28.46,"kuyucak",0.157666633948576,0.200851543061221,0.554372710622711,0.800773694390716
"37346",200801020015,2008,"turkey","Middle East & North Africa",11777944,1,1,1,1,0.999856110967222,0,1,1,10.6970555938571,7,1,3,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1934.4,2363.2,0.285079365079365,0.41025641025641,34.57517064491,69.562,24.0630081976018,41.1,29,"istanbul",0.822063492063492,0.748146265788058,0.98015873015873,0.982591876208897
"37351",200710280004,2007,"turkey","Middle East & North Africa",161433,0.0142357850612782,0,0,0.968342644320298,0.970246713522739,0,0,1,84.4622502775299,9,1,3,0,0,0,0,4,0,517,32,504,55,63,0.653855689454076,0.981698041653633,0,38,104,398.4,2307.8,0.217391304347826,0.41025641025641,33.8381639378079,68.975,23.6567913947198,40.77,29.93,"izmit",0.463898575599362,0.329151120490853,0.77785409035409,0.992263056092843
"37375",200610010003,2006,"turkey","Middle East & North Africa",500110,0.0458027278209404,0,0,0.992551210428305,0.992446825845658,0,0,0,65.1210607981845,9,1000,3,0,0,0,0,4,0,517,27,504,56,63,0.61703643728495,0.981698041653633,0,22,104,117.2,2252.4,0.2,0.41025641025641,33.1263943170972,68.382,23.2670677941058,36.81,34.63,"mersin",0.481810706784534,0.240324026891428,0.748321123321123,0.992263056092843
"37345",200604050005,2006,"turkey","Middle East & North Africa",10918784,1,1,1,1,0.99984663605778,0,1,1,10.6970555938571,9,1e+06,3,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1844.8,2252.4,0.285079365079365,0.41025641025641,33.1263943170972,68.382,23.2670677941058,41.1,29,"istanbul",0.822063492063492,0.748438078195605,0.98015873015873,0.982591876208897
"37344",200604020009,2006,"turkey","Middle East & North Africa",10918784,1,1,1,1,0.99984663605778,0,1,1,10.6970555938571,7,1000,3,0,0,0,0,9,0,517,12,504,61,63,0.476627257466316,0.981698041653633,32,104,104,1844.8,2252.4,0.285079365079365,0.41025641025641,33.1263943170972,68.382,23.2670677941058,41.1,29,"istanbul",0.822063492063492,0.748438078195605,0.98015873015873,0.982591876208897
