"","merge","lng","lat","population"
"1","Ab Band, afghanistan","67.96667","32.98333","0"
"2","Abdulkhel, afghanistan","69.60923","34.95069","0"
"3","Abra, lebanon","35.40583","33.56667","0"
"4","Abra, philippines","120.7291","13.4437","2971"
"5","Abu Sayda, iraq","44.76113","33.92359","0"
"6","Abu Saydah, iraq","44.76113","33.92359","0"
"7","Abyei, sudan","28.43493","9.59525","0"
"8","Aceh, indonesia","95.3222","5.5577","250757"
"9","Aceh Province, indonesia","95.3222","5.5577","250757"
"10","Acosvinchos, peru","-74.09718","-13.10885","0"
"11","Adekar, algeria","4.67152","36.69314","0"
"12","Adezai, pakistan","71.57849","33.78757","0"
"13","Adhaim, iraq","44.53853","34.27544","0"
"14","Adraskan, afghanistan","62.26959","33.64573","0"
"15","Afmadow, somalia","42.07962","0.51265","0"
"16","Agua Caliente, guatemala","-92.07151","15.36618","0"
"17","Aguas Blancas, colombia","-73.68214","8.42129","0"
"18","Aguas Blancas, mexico","-100.61","17.18528","276"
"19","Aguas Calientes, nicaragua","-86.20175","11.62017","0"
"20","Aguaytia, peru","-75.50906","-9.03778","0"
"21","Agusan del Sur, philippines","125.9558","8.0731","18114"
"22","Ahmadabad, pakistan","72.63779","32.16374","0"
"23","Ahmadabad, afghanistan","63.75134","32.43243","0"
"24","Aija, peru","-77.6094","-9.78105","0"
"25","Ain El Hamra, algeria","3.7175","36.79778","0"
"26","Ain Zaouia, algeria","3.89416","36.54828","0"
"27","Akuressa, srilanka","80.4693","6.1007","0"
"28","Amarah, iraq","47.14399","31.83588","323302"
"29","Al-Baghdadi, iraq","46.10186","31.29358","0"
"30","Alegria, spain","-2.51178","42.84121","0"
"31","Aley, lebanon","35.6","33.80528","0"
"32","Ali Shir, afghanistan","67.1679","31.56514","0"
"33","Al-Hadid, iraq","44.80004","33.84935","0"
"34","Al-Hussainiyah, iraq","44.41417","33.54806","0"
"35","Aliabad, afghanistan","62.89682","32.05512","0"
"36","Ali Masjid, pakistan","72.36864","30.48939","0"
"37","Alingar, afghanistan","70.3593","34.83529","0"
"38","Alishang, afghanistan","70.10917","34.78278","0"
"39","Alishing, afghanistan","70.15369","34.7038","0"
"40","Almar, afghanistan","68.08869","32.83942","0"
"41","Mosul district, iraq","43.37758","36.27093","50000"
"42","Alutgama, srilanka","80.08833","7.86806","0"
"43","Amadiyah, iraq","43.48769","37.09214","0"
"44","Amiriyah, iraq","44.53963","33.67062","0"
"45","Amritsar District, india","74.87476","31.63661","1092450"
"46","Rawa, iraq","41.91898","34.48229","20580"
"47","Anco, peru","-73.30303","-13.59759","0"
"48","Andamarca, peru","-70.58827","-15.63861","0"
"49","Andar, afghanistan","67.98267","33.1255","0"
"50","Andhra Pradesh, india","80.63049","16.51928","874587"
"51","andhra pradesh state, india","80.63049","16.51928","874587"
"52","Antigua, guatemala","-90.73444","14.56111","39368"
"53","Antigua, nicaragua","-86.30815","13.6406","1787"
"54","Aomar, algeria","3.77396","36.501","0"
"55","Aramta, lebanon","35.575","33.465","0"
"56","Arghandab, afghanistan","65.65048","31.6536","0"
"57","Arnoun, lebanon","35.52639","33.33167","0"
"58","Eshkolot, israel","34.65479","31.71185","0"
"59","Arsal, lebanon","36.42083","34.17944","0"
"60","Ashaka, nigeria","11.51179","10.83342","0"
