"","name","country.etc","pop","lat","long","capital","Region"
"24877","badneuenahr-ahrweiler","germany",27970,50.55,7.13,"0",NA
"26538","rendsburg","germany",27970,54.31,9.66,"0",NA
"50779","mechrabelksiri","morocco",27967,34.59,-5.96,"0",NA
"91513","beitbridge","zimbabwe",27967,-22.21,29.99,"0",NA
"35634","losal","india",27966,27.4,74.916667,NA,"24"
"1672","bathurst-orange","australia",27961,-33.42,149.57,"0",NA
"24927","baesweiler","germany",27959,50.9,6.18,"0",NA
"76314","morondelafrontera","spain",27957,37.13,-5.46,"0",NA
"77306","landskrona","sweden",27957,55.88,12.83,"0",NA
"23471","rillieux-la-pape","france",27955,45.82,4.91,"0",NA
"90852","piskent","uzbekistan",27954,40.89,69.35,"0",NA
"58467","castillejos","philippines",27953,14.93,120.2,"0",NA
"34903","hisua","india",27946,24.833333,85.416667,NA,"34"
"68100","bezhetsk","russianfederation",27946,57.78,36.7,"0",NA
"73620","tayma'","saudiarabia",27938,27.63,38.48,"0",NA
"80866","eskil","turkey",27938,38.32,33.41,"0",NA
"90466","winterhaven","unitedstates",27938,28.0219444,-81.7330556,NA,"FL"
"76750","valdepenas","spain",27936,38.76,-3.39,"0",NA
"77104","tandalti","sudan",27934,13.01,31.86,"0",NA
"38143","sijunjung","indonesia",27931,-0.7,100.97,"0",NA
"34404","dasna","india",27928,28.683333,77.533333,NA,"36"
"40009","chiavari","italy",27928,44.32,9.34,"0",NA
"76456","premiademar","spain",27927,41.5,2.38,"0",NA
"25472","geislingen","germany",27926,48.63,9.83,"0",NA
"15583","dubrovnik","croatia",27920,42.66,18.07,"0",NA
"21298","maych'ew","ethiopia",27920,12.78,39.54,"0",NA
"70287","nakhabino","russianfederation",27916,55.83,37.26,"0",NA
"40920","pontedera","italy",27915,43.66,10.63,"0",NA
"22121","aix-les-bains","france",27913,45.7,5.9,"0",NA
"81194","malkara","turkey",27912,40.9,26.91,"0",NA
"90372","westspringfield","unitedstates",27912,42.1069444,-72.6208333,NA,"MA"
"90785","gurlan","uzbekistan",27912,41.84,60.4,"0",NA
"4717","doboj","bosniaandherzegovina",27911,44.73,18.09,"0",NA
"40600","moglianoveneto","italy",27909,45.56,12.23,"0",NA
"6483","ipira","brazil",27905,-12.15,-39.74,"0",NA
"37079","talikota","india",27905,16.483333,76.316667,NA,"19"
"35786","maner","india",27904,25.65,84.883333,NA,"34"
"46952","limbang","malaysia",27904,4.75,115,"0",NA
"70978","pokhvistnevo","russianfederation",27900,53.63,52.13,"0",NA
"5773","caetite","brazil",27898,-14.07,-42.5,"0",NA
"80913","golbasi","turkey",27898,37.78,37.66,"0",NA
"42923","oga","japan",27897,39.91,139.82,"0",NA
"73541","badr","saudiarabia",27895,23.78,38.79,"0",NA
"85611","aventura","unitedstates",27892,25.9561111,-80.1394444,NA,"FL"
"26137","mechernich","germany",27891,50.6,6.65,"0",NA
"51416","gemert-bakel","netherlands",27891,51.56,5.7,"0",NA
"58025","brooke'spoint","philippines",27890,8.77,117.84,"0",NA
"57063","paramonga","peru",27887,-10.67,-77.84,"0",NA
"46716","tsiroanomandidy","madagascar",27886,-18.77,46.04,"0",NA
"39631","bacoli","italy",27884,40.8,14.08,"0",NA
"83236","ternivka","ukraine",27884,48.52,36.09,"0",NA
"42168","hojo","japan",27883,33.97,132.77,"0",NA
"79507","sikonge","tanzania",27883,-5.63,32.77,"0",NA
"34132","birmitrapur","india",27882,22.4,84.766667,NA,"21"
"83730","bearsden","unitedkingdom",27876,55.93,-4.34,"0",NA
"3954","oudenaarde","belgium",27875,50.85,3.6,"0",NA
"22959","lateste-de-buch","france",27875,44.63,-1.16,"0",NA
"37435","yerraguntla","india",27874,14.633333,78.533333,NA,"2"
"43453","uenohara","japan",27873,35.62,139.11,"0",NA
"81557","annau","turkmenistan",27872,37.88,58.51,"0",NA
"90857","pskent","uzbekistan",27864,40.8972222,69.3505556,NA,"14"
"85165","sunbury","unitedkingdom",27853,51.42,-0.42,"0",NA
"86513","deerpark","unitedstates",27853,40.7616667,-73.3297222,NA,"NY"
"67758","aleysk","russianfederation",27851,52.49,82.78,"0",NA
"84797","newry","unitedkingdom",27849,54.18,-6.35,"0",NA
"85341","wisbech","unitedkingdom",27842,52.67,-0.16,"0",NA
"41451","triggiano","italy",27839,41.07,16.91,"0",NA
"90860","qibray","uzbekistan",27839,41.38,69.47,"0",NA
"19433","eldaba","egyptarabrep",27837,31.03,28.44,"0",NA
"85131","stocktonheath-thelwall","unitedkingdom",27837,53.38,-2.52,"0",NA
"91130","tariba","venezuelarb",27837,7.82,-72.24,"0",NA
"6063","cordeiropolis","brazil",27836,-22.48,-47.46,"0",NA
"11112","machali","chile",27835,-34.18,-70.67,"0",NA
"36625","razam","india",27835,18.466667,83.666667,NA,"2"
"27127","winnenden","germany",27830,48.88,9.4,"0",NA
"80454","silyanah","tunisia",27827,36.09,9.36,"0",NA
"6357","guararapes","brazil",27821,-21.25,-50.65,"0",NA
"50272","tuladeallende","mexico",27816,20.06,-99.35,"0",NA
"23989","matoury","france",27815,4.85,-52.34,"0",NA
"7729","santavitoriadopalmar","brazil",27814,-33.52,-53.37,"0",NA
"59616","lupon","philippines",27813,6.9,126,"0",NA
"35260","kareli","india",27811,22.916667,79.066667,NA,"35"
"76573","santaeulaliadelrio","spain",27810,38.99,1.51,"0",NA
"86902","ferrypass","unitedstates",27810,30.51,-87.2125,NA,"FL"
"36516","rajauri","india",27803,33.383333,74.3,NA,"12"
"42127","hikawa","japan",27803,35.4,132.84,"0",NA
"82853","pershotravens'k","ukraine",27802,48.35,36.38,"0",NA
"88182","masoncity","unitedstates",27802,43.1536111,-93.2008333,NA,"IA"
"51113","gaur","nepal",27800,26.77,85.27,"0",NA
"89670","slidell","unitedstates",27799,30.275,-89.7811111,NA,"LA"
"3444","deinze","belgium",27797,50.98,3.53,"0",NA
"42992","ora","japan",27784,36.26,139.44,"0",NA
"75302","mpophomeni","southafrica",27781,-29.56,30.2,"0",NA
"35056","jaswantnagar","india",27780,26.878611,78.902778,NA,"36"
"68886","inozemtsevo","russianfederation",27776,44.1,43.09,"0",NA
"63870","lapossession","france",27773,-20.92,55.34,"0",NA
"75546","aldaia","spain",27769,39.47,-0.46,"0",NA
"40292","gioiadelcolle","italy",27763,40.8,16.92,"0",NA
"48739","gabrielleyvasolano","mexico",27757,25.67,-108.64,"0",NA
"7577","riobrancodosul","brazil",27756,-25.17,-49.32,"0",NA
"22299","bezons","france",27756,48.93,2.2,"0",NA
"33503","afzalgarh","india",27756,29.4,78.683333,NA,"36"
"68989","kalach-na-donu","russianfederation",27756,48.71,43.5,"0",NA
"89606","shakerheights","unitedstates",27755,41.4738889,-81.5372222,NA,"OH"
"90803","kibray","uzbekistan",27750,41.3897222,69.465,NA,"14"
"40968","putignano","italy",27749,40.86,17.11,"0",NA
"7407","piumhi","brazil",27748,-20.47,-45.96,"0",NA
"88762","olivebranch","unitedstates",27748,34.9616667,-89.8294444,NA,"MS"
"82313","khust","ukraine",27745,48.18,23.3,"0",NA
"51687","sint-michielsgestel","netherlands",27740,51.64,5.34,"0",NA
"40347","iglesias","italy",27732,39.32,8.52,"0",NA
"90792","iskandar","uzbekistan",27725,41.55,69.68,"0",NA
"62458","nowydwormazowiecki","poland",27723,52.43,20.71,"0",NA
"82032","chortkiv","ukraine",27723,49.02,25.8,"0",NA
"34190","byadgi","india",27722,14.683333,75.483333,NA,"19"
"47666","silibabi","mauritania",27720,15.17,-12.18,"0",NA
"32299","jaszbereny","hungary",27719,47.5,19.91,"0",NA
"72826","zarechnyy","russianfederation",27718,56.81,61.33,"0",NA
"85941","brooklyncenter","unitedstates",27718,45.0761111,-93.3325,NA,"MN"
"70469","novoaleksandrovsk","russianfederation",27716,45.49,41.22,"0",NA
"69054","kamyshlov","russianfederation",27709,56.84,62.71,"0",NA
"36628","rehli","india",27708,23.633333,79.083333,NA,"35"
"43610","'aynal-basa","jordan",27707,32.07,35.83,"0",NA
"75877","ciutadellademenorca","spain",27707,40,3.83,"0",NA
"16169","gibara","cuba",27706,21.11,-76.14,"0",NA
"89555","scarborough","unitedstates",27706,43.5780556,-70.3222222,NA,"ME"
"35952","mungeli","india",27701,22.066667,81.683333,NA,"37"
"4503","llallagua","bolivia",27694,-18.42,-66.64,"0",NA
"70082","mayskiy","russianfederation",27694,43.68,44.07,"0",NA
"25272","einbeck","germany",27693,51.83,9.87,"0",NA
"42974","omiya","japan",27690,36.55,140.42,"0",NA
"69393","kolpashevo","russianfederation",27690,58.31,82.91,"0",NA
"63768","catano","puertorico",27681,18.45,-66.14,"0",NA
"88866","palmvalley","unitedstates",27680,30.1772222,-81.3877778,NA,"FL"
"560","sidi'akasah","algeria",27673,36.47,1.3,"0",NA
"77346","nykoping","sweden",27673,58.76,17.02,"0",NA
"26570","rinteln","germany",27672,52.21,9.08,"0",NA
"25999","leichlingen","germany",27671,51.1,6.99,"0",NA
"75931","eibar","spain",27671,43.19,-2.45,"0",NA
"5647","biritiba-mirim","brazil",27668,-23.58,-46.03,"0",NA
"14153","puertoboyaca","colombia",27668,5.98,-74.59,"0",NA
"60324","paete","philippines",27667,14.36,121.48,"0",NA
"25894","konigsbrunn","germany",27664,48.28,10.89,"0",NA
"46997","permatangkuching","malaysia",27663,5.48,100.4,"0",NA
"76823","xabia","spain",27657,38.79,0.16,"0",NA
"87461","hopkinsville","unitedstates",27656,36.8655556,-87.4886111,NA,"KY"
"56295","kokopo","papuanewguinea",27654,-4.34,152.27,"0",NA
"10915","nola","centralafricanrepublic",27651,3.52,16.04,"0",NA
"15139","libenge","congodemrep",27651,3.66,18.62,"0",NA
"26612","saalfeld","germany",27650,50.65,11.35,"0",NA
"59244","kiokong","philippines",27648,7.73,125.1,"0",NA
"3220","aarschot","belgium",27646,50.98,4.83,"0",NA
"37453","ambulu","indonesia",27645,-8.35,113.65,"0",NA
"35764","manawar","india",27640,22.233333,75.083333,NA,"35"
"5591","barrinha","brazil",27638,-21.2,-48.15,"0",NA
"22869","illkirch-graffenstaden","france",27638,48.53,7.7,"0",NA
"53273","wamba","nigeria",27638,8.93,8.6,"0",NA
"55395","sillanwali","pakistan",27637,31.82,72.54,"0",NA
"24677","senaki","georgia",27633,42.27,42.06,"0",NA
"60670","pulupandan","philippines",27633,10.53,122.81,"0",NA
"35466","kondagaon","india",27630,19.6,81.666667,NA,"37"
"84546","kirkbyinashfield","unitedkingdom",27630,53.11,-1.26,"0",NA
"6907","marau","brazil",27626,-28.45,-52.21,"0",NA
"461","buqadir","algeria",27624,36.07,1.12,"0",NA
"89640","shoreview","unitedstates",27622,45.0791667,-93.1469444,NA,"MN"
"91603","ruwa","zimbabwe",27616,-19.17,32.62,"0",NA
"37109","tehri","india",27614,30.383333,78.483333,NA,"39"
"58473","catanauan","philippines",27613,13.59,122.32,"0",NA
"71653","sol-iletsk","russianfederation",27613,51.16,55,"0",NA
"74994","barawe","somalia",27608,1.11,44.02,"0",NA
"13748","latebaida","colombia",27607,4.44,-75.79,"0",NA
"7091","niquelandia","brazil",27603,-14.47,-48.47,"0",NA
"26317","nordenham","germany",27601,53.52,8.49,"0",NA
"15427","sanpedro","costarica",27599,9.93,-84.05,"0",NA
"26745","selm","germany",27599,51.7,7.46,"0",NA
"38318","wonosari","indonesia",27596,-7.96,110.6,"0",NA
"37646","delitua","indonesia",27593,3.5,98.68,"0",NA
"42170","hokota","japan",27592,36.19,140.55,"0",NA
"79279","malinyi","tanzania",27592,-8.93,36.13,"0",NA
"84101","denton","unitedkingdom",27592,53.45,-2.12,"0",NA
"42661","menuma","japan",27590,36.22,139.37,"0",NA
"76541","sanjavier","spain",27590,37.81,-0.84,"0",NA
"8791","kokologo","burkinafaso",27585,12.2,-1.88,"0",NA
"41470","valdagno","italy",27581,45.65,11.3,"0",NA
"18748","svendborg","denmark",27579,55.07,10.6,"0",NA
"59022","iba","philippines",27579,15.32,119.98,"0",NA
"77014","ar-rank","sudan",27579,11.76,32.88,"0",NA
"9035","mbandjock","cameroon",27574,4.45,11.9,"0",NA
"88708","nutley","unitedstates",27572,40.8222222,-74.1602778,NA,"NJ"
"83662","ashington","unitedkingdom",27570,55.19,-1.57,"0",NA
"37566","bulakamba","indonesia",27569,-6.87,108.92,"0",NA
"73891","indija","serbia",27569,45.05,20.09,"0",NA
"77351","ornskoldsvik","sweden",27566,63.3,18.72,"0",NA
"43712","jaras","jordan",27561,32.27,35.89,"0",NA
"75905","crevillent","spain",27559,38.26,-0.81,"0",NA
"44825","banayd-al-qar","kuwait",27553,29.36,48.01,"0",NA
"88028","losgatos","unitedstates",27551,37.2266667,-121.9736111,NA,"CA"
"36012","nahan","india",27547,30.55,77.3,NA,"11"
"37267","umarkot","india",27547,19.666667,82.216667,NA,"37"
"24615","khashuri","georgia",27544,41.99,43.6,"0",NA
"73604","samitah","saudiarabia",27541,16.6,42.94,"0",NA
"42597","kurose","japan",27537,34.32,132.67,"0",NA
"43579","yugawara","japan",27534,35.15,139.07,"0",NA
"50746","bouznika","morocco",27534,33.79,-7.16,"0",NA
"1784","geraldton","australia",27531,-28.77,114.59,"0",NA
"80069","thamuang","thailand",27530,13.97,99.63,"0",NA
"23832","vallauris","france",27526,43.58,7.04,"0",NA
"36748","sankrail","india",27526,22.55,88.2,NA,"28"
"45074","'alayh","lebanon",27523,33.81,35.61,"0",NA
"83996","cleckheatonandliversedge","unitedkingdom",27520,53.72,-1.72,"0",NA
"25958","landsberg","germany",27518,48.06,10.87,"0",NA
"81002","ilgin","turkey",27512,38.28,31.91,"0",NA
"52971","isa","nigeria",27506,13.23,6.33,"0",NA
"38703","semirom","iranislamicrep",27505,31.42,51.57,"0",NA
"89129","prichard","unitedstates",27505,30.7386111,-88.0788889,NA,"AL"
"76613","santvicencdelshorts","spain",27504,41.4,2.01,"0",NA
"59926","manolofortich","philippines",27497,8.37,124.86,"0",NA
"25415","friedberg","germany",27496,50.34,8.75,"0",NA
"35759","manamadurai","india",27496,9.7,78.483333,NA,"25"
"33970","beldanga","india",27491,23.933333,88.25,NA,"28"
"26407","overath","germany",27487,50.95,7.3,"0",NA
"56966","lapeca","peru",27487,-5.61,-78.44,"0",NA
"42892","nogi","japan",27484,36.24,139.73,"0",NA
"8246","viana","brazil",27481,-3.21,-45,"0",NA
"85342","wishaw","unitedkingdom",27481,55.78,-3.93,"0",NA
"8795","kongoussi","burkinafaso",27479,13.32,-1.53,"0",NA
"55057","kandiaro","pakistan",27479,27.06,68.2,"0",NA
"25617","hamminkeln","germany",27478,51.74,6.57,"0",NA
"90938","zomin","uzbekistan",27478,39.96,68.41,"0",NA
"91049","lafria","venezuelarb",27477,8.22,-72.25,"0",NA
"41155","sanminiato","italy",27476,43.69,10.83,"0",NA
"55490","zaida","pakistan",27474,34.07,72.47,"0",NA
"23767","taverny","france",27473,49.02,2.19,"0",NA
"83562","zolotonosha","ukraine",27471,49.67,32.03,"0",NA
"36485","rahatgarh","india",27465,23.783333,78.366667,NA,"35"
"21229","dubti","ethiopia",27459,11.74,41.08,"0",NA
"41416","tortona","italy",27458,44.91,8.85,"0",NA
"37649","demak","indonesia",27452,-6.89,110.64,"0",NA
"21219","dembidolo","ethiopia",27451,8.53,34.79,"0",NA
"42902","nyuzen","japan",27448,36.94,137.5,"0",NA
"76532","sanandresdelrabanedo","spain",27447,42.62,-5.61,"0",NA
"26246","neckarsulm","germany",27445,49.19,9.22,"0",NA
"67887","atkarsk","russianfederation",27445,51.88,45,"0",NA
"55135","kunri","pakistan",27444,25.18,69.57,"0",NA
"40257","galatina","italy",27443,40.18,18.16,"0",NA
"6491","ipu","brazil",27442,-4.32,-40.72,"0",NA
"7","andarab","afghanistan",27441,35.62,69.21,"0",NA
"90868","qorao'zak","uzbekistan",27434,43.03,60.02,"0",NA
"74432","cadca","slovakrepublic",27433,49.44,18.78,"0",NA
"18035","valasskemezirici","czechrepublic",27432,49.48,17.97,"0",NA
"52716","baro","nigeria",27432,8.6,6.43,"0",NA
"61555","tabuk","philippines",27432,17.41,121.43,"0",NA
"71210","rodniki","russianfederation",27432,57.1,41.73,"0",NA
"76509","rota","spain",27427,36.63,-6.36,"0",NA
"36287","pardi","india",27425,20.516667,72.95,NA,"9"
"41379","terlizzi","italy",27420,41.14,16.53,"0",NA
"80545","alaca","turkey",27418,40.18,34.84,"0",NA
"43737","ma'an","jordan",27417,30.19,35.73,"0",NA
"88823","owingsmills","unitedstates",27415,39.4194444,-76.7805556,NA,"MD"
"6726","joaopinheiro","brazil",27414,-17.74,-46.17,"0",NA
"25932","kulmbach","germany",27411,50.12,11.44,"0",NA
"39965","cecina","italy",27411,43.32,10.51,"0",NA
"81126","kirkagac","turkey",27404,39.11,27.66,"0",NA
"41882","arai","japan",27403,37.04,138.25,"0",NA
"44607","sonbong","koreademrep",27403,42.33,130.4,"0",NA
"25657","heiligenhaus","germany",27399,51.32,6.96,"0",NA
"74610","topol'cany","slovakrepublic",27397,48.57,18.16,"0",NA
"35882","miranpur","india",27392,29.3,77.933333,NA,"36"
"62835","zakopane","poland",27390,49.29,19.96,"0",NA
"76649","sueca","spain",27390,39.21,-0.32,"0",NA
"88311","millville","unitedstates",27390,39.4019444,-75.0397222,NA,"NJ"
"75686","barberadelvalles","spain",27381,41.52,2.12,"0",NA
"62059","brodnica","poland",27370,53.26,19.4,"0",NA
"7503","promissao","brazil",27367,-21.53,-49.86,"0",NA
"42692","minowa","japan",27366,35.91,137.98,"0",NA
"26001","leimen","germany",27362,49.35,8.69,"0",NA
"27755","eleusis","greece",27362,38.03,23.53,"0",NA
"76073","inca","spain",27362,39.72,2.91,"0",NA
"36925","silvassa","india",27359,20.266667,73.016667,NA,"6"
"88212","medina","unitedstates",27358,41.1383333,-81.8638889,NA,"OH"
"35161","kalanwali","india",27357,29.85,74.95,NA,"10"
"21304","mendi","ethiopia",27355,9.8,35.1,"0",NA
"79482","nzega","tanzania",27350,-4.21,33.18,"0",NA
"90890","shovot","uzbekistan",27349,41.66,60.29,"0",NA
"69156","kayerkan","russianfederation",27348,69.38,87.74,"0",NA
"88588","norco","unitedstates",27346,33.9311111,-117.5477778,NA,"CA"
"7893","saomigueldooeste","brazil",27339,-26.72,-53.51,"0",NA
"86130","centereach","unitedstates",27338,40.8583333,-73.1,NA,"NY"
"56304","madang","papuanewguinea",27333,-5.23,145.79,"0",NA
"77924","lancy","switzerland",27332,46.19,6.12,"0",NA
"48742","garcia","mexico",27329,25.82,-100.58,"0",NA
"80490","umm-al-'arais","tunisia",27327,34.5,8.27,"0",NA
"76702","torre-pacheco","spain",27325,37.74,-0.96,"0",NA
"39990","cervia","italy",27320,44.28,12.35,"0",NA
"23103","lunel","france",27318,43.69,4.13,"0",NA
"88788","orangevale","unitedstates",27318,38.6786111,-121.2247222,NA,"CA"
"8290","xinguara","brazil",27316,-7,-50.23,"0",NA
"37743","kadipaten","indonesia",27311,-6.76,108.17,"0",NA
"85566","atascadero","unitedstates",27308,35.4894444,-120.6697222,NA,"CA"
"55039","kalat","pakistan",27307,29.03,66.58,"0",NA
"73524","al-wajh","saudiarabia",27304,26.23,36.47,"0",NA
"5415","andradas","brazil",27303,-22.07,-46.57,"0",NA
"469","butlilis","algeria",27300,35.58,-0.91,"0",NA
"89673","smithtown","unitedstates",27300,40.8558333,-73.2011111,NA,"NY"
"90899","taxtako'pir","uzbekistan",27297,43.03,60.29,"0",NA
"73492","al-jawf","saudiarabia",27290,29.81,39.87,"0",NA
"30144","sanmarcos","guatemala",27287,14.96,-91.8,"0",NA
"35158","kalamb","india",27287,19.05,73.95,NA,"16"
"29064","salamis","greece",27283,37.97,23.48,"0",NA
"45409","taurage","lithuania",27283,55.25,22.28,"0",NA
"412","assiraga","algeria",27282,36.77,2.97,"0",NA
"34895","hirakud","india",27279,21.516667,83.866667,NA,"21"
"87122","glenellyn","unitedstates",27276,41.8775,-88.0669444,NA,"IL"
"58010","bongao","philippines",27275,5.03,119.77,"0",NA
"44629","yangdok","koreademrep",27272,39.21,126.63,"0",NA
"27015","wangen","germany",27271,47.69,9.83,"0",NA
"88290","midvale","unitedstates",27264,40.6111111,-111.8991667,NA,"UT"
"75554","algemesi","spain",27256,39.2,-0.44,"0",NA
"90176","waldorf","unitedstates",27254,38.6244444,-76.9394444,NA,"MD"
"50811","tawnat","morocco",27249,34.538222,-4.641434,NA,"58"
"63091","canidelo","portugal",27248,41.12,-8.64,"0",NA
"6433","igarape-miri","brazil",27246,-1.98,-48.97,"0",NA
"64588","caransebes","romania",27245,45.41,22.22,"0",NA
"19654","launion","elsalvador",27244,13.34,-87.85,"0",NA
"21990","savonlinna","finland",27243,61.87,28.91,"0",NA
"54696","banibuhassan","oman",27240,22.08,59.28,"0",NA
"85400","aiken","unitedstates",27237,33.5602778,-81.7197222,NA,"SC"
"69598","krasnouralsk","russianfederation",27235,58.35,60.05,"0",NA
"46625","anosibean'ala","madagascar",27234,-19.43,48.2,"0",NA
"77028","bur","sudan",27223,6.23,31.56,"0",NA
"81972","bucha","ukraine",27223,50.37,30.21,"0",NA
"89865","suisuncity","unitedstates",27219,38.2383333,-122.0391667,NA,"CA"
"35676","magadi","india",27215,12.966667,77.233333,NA,"19"
"37967","paciran","indonesia",27212,-6.87,112.33,"0",NA
"19183","cayambe","ecuador",27211,0.05,-78.16,"0",NA
"56820","chancay","peru",27207,-11.56,-77.27,"0",NA
"34788","gundlupet","india",27200,11.8,76.683333,NA,"19"
"35555","kundarki","india",27200,28.7,78.783333,NA,"36"
"37365","virapandi","india",27197,9.95,77.45,NA,"25"
"49916","tantoyuca","mexico",27197,21.35,-98.23,"0",NA
"90028","trotwood","unitedstates",27197,39.7972222,-84.3113889,NA,"OH"
"79808","maetaeng","thailand",27195,19.12,98.95,"0",NA
"88168","martinez","unitedstates",27195,33.5172222,-82.0758333,NA,"GA"
"79379","mtinko","tanzania",27194,-4.55,34.85,"0",NA
"3239","ans","belgium",27193,50.65,5.53,"0",NA
"87174","grantspass","unitedstates",27191,42.4391667,-123.3272222,NA,"OR"
"62042","bilgoraj","poland",27189,50.54,22.73,"0",NA
"3142","krycaw","belarus",27188,53.7,31.72,"0",NA
"53160","okuta","nigeria",27186,9.21,3.2,"0",NA
"39714","boscoreale","italy",27181,40.79,14.46,"0",NA
"37465","babat","indonesia",27179,-7.1,112.17,"0",NA
"34120","bilgram","india",27176,27.183333,80.033333,NA,"36"
"6981","miracema","brazil",27174,-21.41,-42.2,"0",NA
"38186","stabat","indonesia",27173,3.75,98.47,"0",NA
"44564","manpo","koreademrep",27173,41.15,126.29,"0",NA
"84485","jarrow","unitedkingdom",27171,54.97,-1.52,"0",NA
"7605","riopardo","brazil",27169,-29.98,-52.37,"0",NA
"34094","bidhuna","india",27161,26.8022,79.5088,NA,"36"
"40268","garbagnatemilanese","italy",27161,45.57,9.06,"0",NA
"14157","puertocolombia","colombia",27158,10.99,-74.95,"0",NA
"10877","bossangoa","centralafricanrepublic",27157,6.5,17.46,"0",NA
"38779","ad-dujayl","iraq",27157,33.85,44.23,"0",NA
"89561","schererville","unitedstates",27157,41.4788889,-87.4547222,NA,"IN"
"23927","villiers-le-bel","france",27144,49.01,2.38,"0",NA
"48144","atotonilcoelalto","mexico",27144,20.55,-102.52,"0",NA
"2953","lohagara","bangladesh",27137,21.99,92.08,"0",NA
"77222","akersberga","sweden",27127,59.48,18.31,"0",NA
"87762","lakejackson","unitedstates",27127,29.0336111,-95.4341667,NA,"TX"
"18698","sonderborg","denmark",27126,54.92,9.8,"0",NA
"87709","kirkwood","unitedstates",27126,38.5833333,-90.4066667,NA,"MO"
"6864","mamanguape","brazil",27118,-6.85,-35.14,"0",NA
"58257","calabanga","philippines",27118,13.71,123.22,"0",NA
"22664","epernay","france",27112,49.04,3.95,"0",NA
"84239","fleetwood","unitedkingdom",27111,53.93,-3.02,"0",NA
"606","tirmirtin","algeria",27109,36.65,3.98,"0",NA
"36358","perumpavur","india",27108,10.133333,76.483333,NA,"13"
"52707","badagri","nigeria",27108,6.41,2.89,"0",NA
"26428","petershagen","germany",27104,52.39,8.96,"0",NA
"90383","wethersfield","unitedstates",27104,41.7141667,-72.6530556,NA,"CT"
"85641","barberton","unitedstates",27099,41.0127778,-81.6052778,NA,"OH"
"89549","savage","unitedstates",27096,44.7791667,-93.3361111,NA,"MN"
"33985","berasia","india",27093,23.633333,77.433333,NA,"35"
"74981","'eldere","somalia",27093,3.85,47.18,"0",NA
"68823","guryevsk","russianfederation",27092,54.29,85.94,"0",NA
"87515","imperialbeach","unitedstates",27091,32.5838889,-117.1122222,NA,"CA"
"63059","caldasdarainha","portugal",27090,39.4,-9.13,"0",NA
"42838","nasu","japan",27088,37.02,140.13,"0",NA
"77410","vallentuna","sweden",27087,59.54,18.08,"0",NA
"2565","emircan","azerbaijan",27086,40.43,49.98,"0",NA
"66844","sebes","romania",27086,45.96,23.57,"0",NA
"90797","karauzyak","uzbekistan",27081,43.0275,60.0125,NA,"9"
"90751","bulung'ur","uzbekistan",27080,39.76,67.27,"0",NA
"44684","kosong","korearep",27073,34.97,128.32,"0",NA
"22787","gonesse","france",27072,48.99,2.45,"0",NA
"34718","gobindpur","india",27069,22.633333,86.066667,NA,"38"
"11134","parral","chile",27064,-36.14,-71.83,"0",NA
"40524","mascalucia","italy",27062,37.57,15.05,"0",NA
"69505","kotovo","russianfederation",27062,50.3,44.82,"0",NA
"78602","busr-as-sam","syrianarabrepublic",27060,32.52,36.48,"0",NA
"79587","banbung","thailand",27059,13.04,101,"0",NA
"51343","culemborg","netherlands",27057,51.96,5.23,"0",NA
"90793","jarqurgon","uzbekistan",27057,37.55,67.25,"0",NA
"26953","verden","germany",27055,52.93,9.24,"0",NA
"41935","chiyoda","japan",27053,36.15,140.23,"0",NA
"15266","cartago","costarica",27049,9.87,-83.93,"0",NA
"76727","totana","spain",27047,37.77,-1.5,"0",NA
"37916","mentok","indonesia",27046,-2.06,105.16,"0",NA
"43445","uchinada","japan",27044,36.65,136.64,"0",NA
"356","al-amriyah","algeria",27042,35.54,-1.02,"0",NA
"23876","vichy","france",27042,46.14,3.43,"0",NA
"40283","giarre","italy",27038,37.73,15.18,"0",NA
"66530","radauti","romania",27037,47.85,25.92,"0",NA
"23677","sannois","france",27035,48.98,2.24,"0",NA
"26034","limbach-oberfrohna","germany",27029,50.87,12.74,"0",NA
"52735","birninkudu","nigeria",27026,11.44,9.5,"0",NA
"71950","tara","russianfederation",27025,56.9,74.37,"0",NA
"75819","carmona","spain",27024,37.48,-5.63,"0",NA
"45181","mizdah","libya",27023,31.43,12.98,"0",NA
"46686","marolambo","madagascar",27022,-20.05,48.12,"0",NA
"16083","amancio","cuba",27016,20.83,-77.68,"0",NA
"35498","kotdwara","india",27012,29.75,78.533333,NA,"39"
"15268","chacarita","costarica",27008,9.99,-84.78,"0",NA
"487","hajut","algeria",27004,36.51,2.41,"0",NA
"42027","gobo","japan",27004,33.9,135.14,"0",NA
"6314","gramado","brazil",27003,-29.37,-50.89,"0",NA
"6937","matadesaojoao","brazil",26998,-12.54,-38.3,"0",NA
"7709","santanadoparaiso","brazil",26998,-19.36,-42.52,"0",NA
"48859","huimanguillo","mexico",26996,17.85,-93.38,"0",NA
"62382","lubon","poland",26996,52.34,16.87,"0",NA
"54857","daudkhel","pakistan",26994,32.88,71.56,"0",NA
"79254","magugu","tanzania",26992,-4.02,35.77,"0",NA
"51603","nunspeet","netherlands",26989,52.39,5.79,"0",NA
"63841","al-wakrah","qatar",26989,25.18,51.61,"0",NA
"61208","santacatalina","philippines",26985,9.35,122.86,"0",NA
"458","bumardas","algeria",26981,36.77,3.46,"0",NA
"22444","cavaillon","france",26978,43.85,5.03,"0",NA
"44546","kaechon","koreademrep",26974,39.7,125.9,"0",NA
