"","name","country.etc","pop","lat","long","capital","Region"
"36010","nagpur","india",2272891,21.16,79.08,"0",NA
"5700","brasilia","brazil",2260541,-15.78,-47.91,"1",NA
"19097","santodomingo","dominicanrepublic",2253437,18.48,-69.91,"1",NA
"42797","nagoya","japan",2194748,35.15,136.91,"0",NA
"16184","havanna","cuba",2163132,23.13,-82.39,"1",NA
"38800","al-mawsil","iraq",2143094,36.34,43.14,"0",NA
"23372","paris","france",2141839,48.86,2.34,"1",NA
"38782","al-basrah","iraq",2141270,30.5,47.83,"0",NA
"11353","changsha","china",2131620,28.2,112.97,"3",NA
"11808","jinan","china",2109987,36.67,117,"3",NA
"75225","johannesburg","southafrica",2091491,-26.19,28.04,"0",NA
"77053","khartoum","sudan",2090001,15.58,32.52,"1",NA
"12323","shijiazhuang","china",2080120,38.05,114.48,"3",NA
"11403","dalian","china",2076179,38.92,121.65,"0",NA
"87473","houston","unitedstates",2043005,29.77,-95.39,"0",NA
"390","algiers","algeria",2029936,36.77,3.04,"1",NA
"27210","accra","ghana",2029143,5.56,-0.2,"1",NA
"12804","zhengzhou","china",2023495,34.75,113.67,"3",NA
"13873","medellin","colombia",2021392,6.29,-75.54,"0",NA
"91068","maracaibo","venezuelarb",2000482,10.73,-71.66,"0",NA
"11848","jiulong","china",1983415,22.32,114.17,"0",NA
"30372","conakry","guinea",1970382,9.55,-13.67,"1",NA
"90896","tashkent","uzbekistan",1967879,41.31,69.3,"1",NA
"11804","jilin","china",1955804,43.85,126.55,"0",NA
"19215","guayaquil","ecuador",1952029,-2.21,-79.9,"0",NA
"12106","nanchang","china",1934445,28.68,115.88,"3",NA
"91361","san'a","yemenrep",1921589,15.38,44.21,"1",NA
"34954","indore","india",1901271,22.72,75.86,"0",NA
"43092","sapporo","japan",1895505,43.06,141.34,"0",NA
"11628","hangzhou","china",1894655,30.25,120.17,"3",NA
"1689","brisbane","australia",1891999,-27.46,153.02,"0",NA
"64459","bucharest","romania",1862930,44.44,26.1,"1",NA
"48632","ecatepec","mexico",1844447,19.6,-99.05,"0",NA
"10643","vancouver","canada",1839314,49.28,-123.13,"0",NA
"90986","caracas","venezuelarb",1808937,10.54,-66.93,"1",NA
"55318","rawalpindi","pakistan",1793197,33.6,73.04,"0",NA
"75387","soweto","southafrica",1766824,-26.28,27.84,"0",NA
"37912","medan","indonesia",1757817,3.59,98.67,"0",NA
"3161","minsk","belarus",1747482,53.91,27.55,"1",NA
"6125","curitiba","brazil",1746484,-25.42,-49.29,"0",NA
"25611","hamburg","germany",1743891,53.55,10,"0",NA
"31888","budapest","hungary",1700019,47.51,19.08,"1",NA
"50790","rabat","morocco",1688738,34.02,-6.84,"1",NA
"75349","pretoria","southafrica",1687779,-25.73,28.22,"1",NA
"37486","bandung","indonesia",1676048,-6.91,107.6,"0",NA
"8894","phnumpenh","cambodia",1673131,11.57,104.92,"1",NA
"12214","qingdao","china",1668503,36.07,120.32,"0",NA
"36321","patna","india",1660126,25.62,85.13,"0",NA
"12599","xinyang","china",1653171,32.13,114.07,"0",NA
"34074","bhopal","india",1643049,23.24,77.4,"0",NA
"6871","manaus","brazil",1642982,-3.12,-60.02,"0",NA
"48757","guadalajara","mexico",1637213,20.67,-103.35,"0",NA
"62781","warsaw","poland",1634441,52.26,21.02,"1",NA
"76993","al-hartumbahri","sudan",1626638,15.64,32.52,"0",NA
"78582","aleppo","syrianarabrepublic",1626218,36.23,37.17,"0",NA
"53000","kaduna","nigeria",1619164,10.52,7.44,"0",NA
"12417","tangshan","china",1610214,39.62,118.19,"0",NA
"75688","barcelona","spain",1591485,41.4,2.17,"0",NA
"35637","ludhiana","india",1584743,30.91,75.84,"0",NA
"78605","damascus","syrianarabrepublic",1580909,33.5,36.32,"1",NA
"91549","harare","zimbabwe",1575127,-17.82,31.05,"1",NA
"38453","esfahan","iranislamicrep",1573378,32.68,51.68,"0",NA
"2444","vienna","austria",1570976,48.22,16.37,"1",NA
"37519","bekasi","indonesia",1569289,-6.22,106.97,"0",NA
"37130","thana","india",1548351,19.2,72.97,"0",NA
"12459","urumqi","china",1538778,43.8,87.58,"3",NA
"27281","kumasi","ghana",1535478,6.69,-1.63,"0",NA
"42509","kobe","japan",1535384,34.68,135.17,"0",NA
"38525","karaj","iranislamicrep",1523085,35.8,50.97,"0",NA
"78744","kaohsiung","china",1516276,22.63,120.27,"0",NA
"44745","taejon","korearep",1495342,36.33,127.43,"0",NA
"7534","recife","brazil",1489055,-8.08,-34.92,"0",NA
"46919","kualalumpur","malaysia",1482359,3.16,101.71,"1",NA
"33509","agra","india",1475091,27.19,78.01,"0",NA
"1946","perth","australia",1472075,-31.96,115.84,"0",NA
"55221","multan","pakistan",1471978,30.2,71.45,"0",NA
"46629","antananarivo","madagascar",1463754,-18.89,47.51,"1",NA
"38738","tabriz","iranislamicrep",1460961,38.08,46.3,"0",NA
"80702","bursa","turkey",1458459,40.2,29.08,"0",NA
"42613","kyoto","japan",1458183,35.01,135.75,"0",NA
"91204","hanoi","vietnam",1452055,21.03,105.84,"1",NA
"88982","phoenix","unitedstates",1450884,33.54,-112.07,"0",NA
"810","cordoba","argentina",1442911,-31.4,-64.19,"0",NA
"88978","philadelphia","unitedstates",1439814,40.01,-75.13,"0",NA
"5619","belem","brazil",1436287,-1.44,-48.5,"0",NA
"37308","vadodara","india",1435716,22.31,73.18,"0",NA
"11912","lanzhou","china",1431171,36.05,103.68,"3",NA
"50129","tijuana","mexico",1427118,32.53,-117.02,"0",NA
"15149","lubumbashi","congodemrep",1425001,-11.66,27.48,"0",NA
"54944","gujranwala","pakistan",1421834,32.16,74.18,"0",NA
"82293","kharkiv","ukraine",1421205,49.98,36.22,"0",NA
"91142","valencia","venezuelarb",1421142,10.23,-67.98,"0",NA
"70553","novosibirsk","russianfederation",1417107,55.04,82.93,"0",NA
"54980","hyderabad","pakistan",1417082,25.38,68.37,"0",NA
"11536","fushun","china",1410771,41.87,123.88,"0",NA
"11644","hefei","china",1406741,31.85,117.28,"3",NA
"13026","barranquilla","colombia",1405405,10.96,-74.8,"0",NA
"4590","santacruz","bolivia",1404609,-17.77,-63.21,"0",NA
"81677","kampala","uganda",1403619,0.32,32.58,"1",NA
"42001","fukuoka","japan",1402674,33.59,130.41,"0",NA
"38229","tangerang","indonesia",1402600,-6.18,106.63,"0",NA
"19305","quito","ecuador",1399814,-0.19,-78.5,"1",NA
"7458","portoalegre","brazil",1380983,-30.04,-51.22,"0",NA
"8976","douala","cameroon",1371448,4.06,9.71,"0",NA
"2936","khulna","bangladesh",1371363,22.84,89.56,"0",NA
"12297","shantou","china",1370361,23.37,116.67,"0",NA
"11624","handan","china",1369601,36.58,114.48,"0",NA
"36388","pimpri","india",1366010,18.62,73.8,"0",NA
"73583","mecca","saudiarabia",1353480,21.43,39.82,"0",NA
"37889","makasar","indonesia",1351104,-5.14,119.41,"0",NA
"36086","nashik","india",1348872,20.01,73.78,"0",NA
"9123","yaounde","cameroon",1344617,3.87,11.52,"1",NA
"34601","faridabad","india",1344436,28.38,77.3,"0",NA
"47314","bamako","mali",1342519,12.65,-7.99,"1",NA
"15042","brazzaville","congorep",1326975,-4.25,15.26,"1",NA
"12522","xianggangdao","china",1321432,22.27,114.14,"0",NA
"40576","milan","italy",1316218,45.48,9.19,"0",NA
"91441","lusaka","zambia",1306577,-15.42,28.29,"1",NA
"44740","suwon","korearep",1306343,37.26,127.01,"0",NA
"43608","'amman","jordan",1303197,31.95,35.93,"1",NA
"11287","baotou","china",1301768,40.6,110.05,"0",NA
"44685","koyang","korearep",1300684,37.7,126.93,"0",NA
"89464","sandiego","unitedstates",1299352,32.81,-117.14,"0",NA
"38120","semarang","indonesia",1287754,-6.97,110.42,"0",NA
"72696","yekaterinburg","russianfederation",1285879,56.85,60.6,"0",NA
"38722","shiraz","iranislamicrep",1279140,29.63,52.57,"0",NA
"35182","kalyan","india",1278933,19.25,73.16,"0",NA
"89451","sanantonio","unitedstates",1278171,29.46,-98.51,"0",NA
"30583","port-au-prince","haiti",1277104,18.54,-72.34,"1",NA
"70427","nizhniynovgorod","russianfederation",1275318,56.33,44,"0",NA
"45081","bayrut","lebanon",1273440,33.88,35.5,"1",NA
"26227","munich","germany",1272179,48.14,11.58,"0",NA
"80505","adana","turkey",1271894,37,35.32,"0",NA
"90631","montevideo","uruguay",1271664,-34.87,-56.17,"1",NA
"34701","ghaziabad","india",1264968,28.66,77.41,"0",NA
"35883","mirat","india",1262757,28.99,77.7,"0",NA
"77383","stockholm","sweden",1260712,59.33,18.07,"1",NA
"55276","peshawar","pakistan",1253687,34.01,71.54,"0",NA
"45082","beirut","lebanon",1252010,33.8719444,35.5097222,NA,"4"
"37982","palembang","indonesia",1249543,-2.99,104.75,"0",NA
"58694","davao","philippines",1245382,7.11,125.63,"0",NA
"36524","rajkot","india",1237157,22.31,70.79,"0",NA
"50922","mandalay","myanmar",1237028,21.98,96.09,"0",NA
"12635","xuzhou","china",1231240,34.27,117.18,"0",NA
"49336","nezahualcoyotl","mexico",1230816,19.41,-99.03,"0",NA
"50849","maputo","mozambique",1220167,-25.95,32.57,"1",NA
"86467","dallas","unitedstates",1216543,32.79,-96.77,"0",NA
"43831","almaty","kazakhstan",1216378,43.32,76.92,"0",NA
"11246","anshan","china",1203894,41.12,122.95,"0",NA
"11549","fuzhou","china",1202136,26.08,119.3,"3",NA
"6369","guarulhos","brazil",1198633,-23.46,-46.49,"0",NA
"6301","goiania","brazil",1188787,-16.72,-49.26,"0",NA
"11588","guiyang","china",1183692,26.58,106.72,"3",NA
"83582","dubai","unitedarabemirates",1182439,25.27,55.33,"0",NA
"37326","varanasi","india",1179484,25.32,83.01,"0",NA
"53207","portharcourt","nigeria",1177191,4.78,7,"0",NA
"892","rosario","argentina",1176177,-32.94,-60.67,"0",NA
"17677","prague","czechrepublic",1168374,50.08,14.43,"1",NA
"8669","sofia","bulgaria",1166143,42.69,23.31,"1",NA
"45198","tripoli","libya",1164634,32.87,13.18,"1",NA
"53076","maiduguri","nigeria",1155094,11.85,13.16,"0",NA
"42153","hiroshima","japan",1147357,34.39,132.44,"0",NA
"52726","benin","nigeria",1147188,6.34,5.62,"0",NA
"12509","wuxi","china",1139609,31.58,120.3,"0",NA
"49107","leon","mexico",1134232,21.12,-101.69,"0",NA
"70700","omsk","russianfederation",1127864,55,73.4,"0",NA
"71310","samara","russianfederation",1127228,53.2,50.15,"0",NA
"49277","monterrey","mexico",1123777,25.67,-100.32,"0",NA
"33620","amritsar","india",1123365,31.64,74.87,"0",NA
"8809","ouagadougou","burkinafaso",1119775,12.37,-1.53,"1",NA
"2526","baku","azerbaijan",1118725,40.39,49.86,"1",NA
"73805","belgrade","serbia",1113589,44.83,20.5,"1",NA
"69163","kazan","russianfederation",1104802,55.75,49.13,"0",NA
"78805","taichung","china",1103794,24.15,120.68,"0",NA
"80885","gaziantep","turkey",1102364,37.07,37.39,"0",NA
"33563","allahabad","india",1094199,25.45,81.84,"0",NA
"18306","copenhagen","denmark",1091978,55.68,12.57,"1",NA
"1620","yerevan","armenia",1090537,40.17,44.52,"1",NA
"43056","saitama","japan",1088954,35.87,139.64,"0",NA
"37377","visakhapatnam","india",1087237,17.73,83.3,"0",NA
"1644","adelaide","australia",1076969,-34.93,138.6,"0",NA
"71235","rostov-na-donu","russianfederation",1076897,47.24,39.71,"0",NA
"11691","huainan","china",1075754,32.63,116.98,"0",NA
"12319","shenzhen","china",1072093,22.53,114.13,"0",NA
"68341","chelyabinsk","russianfederation",1058281,55.15,61.43,"0",NA
"12534","xianyang","china",1055317,34.37,108.7,"0",NA
"44735","songnam","korearep",1052440,37.44,127.15,"0",NA
"34971","jabalpur","india",1049768,23.17,79.94,"0",NA
"5823","campinas","brazil",1047239,-22.91,-47.08,"0",NA
"38654","qom","iranislamicrep",1046578,34.65,50.95,"0",NA
"11889","kunming","china",1044356,25.05,102.7,"3",NA
"24694","tbilisi","georgia",1038343,41.72,44.79,"1",NA
"3384","brussels","belgium",1031925,50.83,4.33,"1",NA
"34843","haora","india",1031223,22.58,88.33,"0",NA
"36883","sholapur","india",1030655,17.67,75.89,"0",NA
"38987","dublin","ireland",1030431,53.33,-6.25,"1",NA
"72200","ufa","russianfederation",1030423,54.78,56.04,"0",NA
"11277","baoding","china",1027984,38.87,115.48,"0",NA
"82067","dnipropetrovs'k","ukraine",1025044,48.45,34.98,"0",NA
"7113","novaiguacu","brazil",1019753,-22.74,-43.47,"0",NA
"11306","benxi","china",1011025,41.33,123.75,"0",NA
"29851","guatemala","guatemala",1010253,14.63,-90.55,"1",NA
"72516","volgograd","russianfederation",1010221,48.71,44.48,"0",NA
"19541","shubra-el-khema","egyptarabrep",1005975,30.11,31.25,"0",NA
"50490","zapopan","mexico",1003742,20.72,-103.4,"0",NA
"53302","zaria","nigeria",998032,11.08,7.71,"0",NA
