"","lon","lat"
"194",47.516667,-18.933333
"195",75.78041,11.2587531
"196",51.6679826,32.6546275
"197",120.450372,41.573734
"198",128.601445,35.8714354
"199",118.180194,39.630867
"200",76.2673041,9.9312328
"201",-76.522222,3.420556
"202",120.586109,29.995762
"203",6.993333,4.79
"204",119.015288,33.61036
"205",-123.1207375,49.2827291
"206",-76.6121893,39.2903848
"207",69.216667,41.266667
"208",30.5234,50.4501
"209",76.2144349,10.5276416
"210",111.749181,40.842585
"211",31.029722,-17.863889
"212",85.144,25.611
"213",35.4954794,33.8886289
"214",-115.1398296,36.1699412
"215",19.0237815,50.2648919
"216",28.283333,-15.416667
"217",-90.1994042,38.6270025
"218",79.861243,6.9270786
"219",109.840349,40.657378
"220",-66.1057217,18.4663338
"221",-82.271056,23.159167
"222",74.1842254,32.1543783
"223",45.35,2.033333
"224",-49.2647943,-16.6868912
"225",-63,-17.866667
"226",76.083,11.041
"227",6.9602786,50.937531
"228",4.3517103,50.8503396
"229",-98.2061996,19.0412967
"230",9.9936818,53.5510846
"231",77.412615,23.2599333
"232",75.3703662,11.8744775
"233",-81.3792365,28.5383355
"234",-71.633333,10.633333
"235",114.538962,36.625657
"236",27.479444,-11.664722
"237",23.6,-6.15
"238",153.0234489,-27.4710107
"239",10.1815316,36.8064948
"240",110.198293,20.044002
"241",11.5819806,48.1351253
"242",130.8752161,33.8834093
"243",-48.4901799,-1.4557549
"244",-122.6764816,45.5230622
"245",-98.4936282,29.4241219
"246",-117.0382471,32.5149469
"247",73.1812187,22.3071588
"248",1.222778,6.131944
"249",112.45404,34.619683
"250",78.0080745,27.1766701
"251",-13.712222,9.509167
"252",32.581111,0.313611
"253",76.9366376,8.5241391
"254",8.6821267,50.1109221
"255",27.5615244,53.9045398
"256",83.2184815,17.6868159
"257",-68.15,-16.5
"258",71.4687028,30.1983807
"259",-60.0217314,-3.1190275
"260",-1.5490774,53.8007554
"261",-121.4943996,38.5815719
"262",-99.6556653,19.2826098
"263",52.5836982,29.5917677
"264",26.1025384,44.4267674
"265",15.291944,-4.267778
"266",-6.8498129,33.9715904
"267",29.067084,40.182846
"268",110.3694896,-7.7955798
"269",35.321333,37
"270",120.980737,31.385598
"271",-81.6943605,41.49932
"272",16.3738189,48.2081743
"273",114.416196,23.111847
"274",115.8570471,-31.9535132
"275",73.7898023,19.9974533
"276",-74.7970435,10.9642103
"277",71.5804899,34.0149748
"278",-79.9958864,40.4406248
"279",104.8921668,11.5448729
"280",-78.4678382,-0.1806532
"281",21.0122287,52.2296756
"282",80.6480153,16.5061743
"283",75.8572758,30.900965
"284",19.040235,47.497912
"285",113.300129,40.076763
"286",120.075058,29.306841
"287",-56.1645314,-34.9011127
"288",46.3,38.066667
"289",103.7413591,1.492659
"290",-84.5120196,39.1031182
"291",43.13,36.34
"292",-46.3288865,-23.9678823
"293",39.816667,21.416667
"294",118.054927,36.813487
"295",36.709444,34.730833
"296",126.549572,43.837883
"297",110.416667,-6.966667
"298",125.455341,7.190708
"299",4.8951679,52.3702157
"300",-86.158068,39.768403
"301",-97.7430608,30.267153
"302",106.230909,38.487194
"303",126.8526012,35.1595454
"304",119.161756,36.706774
"305",-94.5785667,39.0997265
"306",-64.1821289,-31.3989296
"307",121.420757,28.656386
"308",4.835659,45.764043
"309",78.1197754,9.9252007
"310",125.171618,6.1163861
"311",109.415953,24.325502
"312",70.8021599,22.3038945
"313",51.5304368,25.2916097
"314",127.3845475,36.3504119
"315",119.412966,32.39421
"316",-0.3762881,39.4699075
"317",113.576726,22.270715
"318",77.7064137,28.9844618
"319",82.9739144,25.3176452
"320",-80.8431267,35.2270869
"321",7.6868565,45.070312
"322",121.447935,37.463822
"323",122.994329,41.108647
"324",76.8512485,43.2220146
"325",-79.516667,8.983333
"326",121.266595,30.17078
"327",5.6145,6.3176
"328",82.9357327,55.0083526
"329",119.4165284,-5.1308551
"330",18.0685808,59.3293235
"331",-82.9987942,39.9611755
"332",-67.9972104,10.1579312
"333",-8.6291053,41.1579438
"334",-101.6859605,21.1250077
"335",119.007777,25.454085
"336",-75.977985,36.8529263
"337",118.432941,31.352859
"338",86.2028754,22.8045665
"339",36.230383,49.9935
"340",104.7565565,-2.990934
"341",117.647481,24.512949
"342",74.7973681,34.0836581
"343",-87.9064736,43.0389025
"344",114.392393,36.097577
"345",113.081901,22.578738
"346",5.36978,43.296482
"347",37.38332,37.06622
"348",-106.4245478,31.6903638
"349",9.1829321,48.7758459
"350",132.4552927,34.3852029
"351",60.6057025,56.8389261
"352",174.7633315,-36.8484597
"353",76.6141396,8.8932118
"354",101.778224,36.617134
"355",120.752503,31.653686
"356",50.583333,26.216667
"357",79.933333,23.166667
"358",-60.6665001,-32.9507408
"359",100.3297612,5.414921
"360",81.6296413,21.2513844
"361",-103.4067861,25.5428443
"362",123.957208,41.880872
"363",75.3433139,19.8761653
"364",110.816667,-7.566667
"365",86.99,23.68
"366",48.6706187,31.3183272
"367",14.4378005,50.0755381
"368",117.284124,34.205768
"369",115.464806,38.873891
"370",81.846311,25.4358011
"371",-90.535278,14.613333
"372",140.8693558,38.268215
"373",44.516667,40.183333
"374",73.0243094,26.2389469
"375",74.8722642,31.6339793
"376",15.733333,-12.766667
"377",15.049167,12.113056
"378",86.4303859,23.7956531
"379",121.385604,28.372506
"380",-100.3898881,20.5887932
"381",12.5683371,55.6760968
"382",85.309562,23.3440997
"383",123.918186,47.354348
"384",-66.166667,-17.383333
"385",106.92,47.92
"386",81.28,21.19
"387",39.6,24.466667
"388",118.886856,42.257817
"389",36.75,35.133333
"390",-4.251806,55.864237
"391",120.2268758,22.9998999
"392",25.6,-33.958056
"393",122.12042,37.513068
"394",24.9410248,60.1733244
"395",78.1828308,26.2182871
"396",118.674767,37.434751
"397",43.9360589,56.2965039
"398",-71.4128343,41.8239891
"399",23.3218675,42.6977082
"400",-5,34.033333
"401",120.758543,30.753924
"402",32.483333,37.866667
"403",-114.0708459,51.0486151
"404",137.7261258,34.7108344
"405",120.894291,31.980172
"406",112.122415,32.008986
"407",85.333333,27.7
"408",20.4489216,44.786568
"409",72.8397317,19.3919275
"410",77.3410656,11.1085242
"411",115.216667,-8.65
"412",-8.008889,31.63
"413",-40.2957768,-20.2976178
"414",-44.2829046,-2.5391099
"415",-84.0907246,9.9280694
"416",50.140833,53.202778
"417",-6.2603097,53.3498053
"418",96.083333,21.975
"419",49.134722,55.790278
"420",114.886335,40.767545
"421",73.366667,54.983333
